nama_kabupaten,tahun,luas_panen_ha,produksi_ton,yield_ton_ha,tanaman,tanaman_encoded,yield_relative,status_aktual,yield_lag1,yield_trend,musim,tahun_panen,musim_encoded,temp_veg_mean,temp_rep_mean,temp_mat_mean,rain_veg_total,rain_rep_total,rain_mat_total,rain_total_musim,humidity_mean_musim,radiation_veg,radiation_rep,drought_index_mean,n_bulan_data,water_balance,ph_h2o,nitrogen_cn_kg,clay_pct,sand_pct,silt_pct,soc_dg_kg,cec_mmol_kg,bulk_density,fertility_index,whc_proxy,ph_status_encoded,texture_encoded,kesesuaian_encoded
Kab. Bandung,2014,5200,28900,5.56,Jagung,1,0.9696546913149633,NORMAL,,,MR,2014,1,,,,,,,,,,,,,,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2014,5200,28900,5.56,Jagung,1,0.9696546913149633,NORMAL,,,MG,2014,0,24.755,24.16,23.535,657.0,388.3,106.8,1152.1,81.657,1040.52,966.19,2.489,5.0,903.2,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2015,4900,26900,5.49,Jagung,1,0.9574468085106383,NORMAL,5.56,-0.0699999999999994,MR,2015,1,24.432,23.935,23.586,576.9,922.0,505.3,2004.2,81.979,1175.2,915.83,4.959,5.0,1508.3,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2015,4900,26900,5.49,Jagung,1,0.9574468085106383,NORMAL,5.56,-0.0699999999999994,MG,2015,0,24.508,23.992,24.277,592.0,96.8,22.0,710.8,77.485,1029.69,1155.61,1.628,5.0,548.0,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2016,5100,28300,5.55,Jagung,1,0.9679107080572026,NORMAL,5.49,0.05999999999999961,MR,2016,1,24.588,24.756,24.39,600.1,873.4,584.0,2057.5,81.243,1283.04,978.76,4.699,5.0,1587.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2016,5100,28300,5.55,Jagung,1,0.9679107080572026,NORMAL,5.49,0.05999999999999961,MG,2016,0,25.353,24.59,24.284,711.8,397.2,241.4,1350.4,81.422,928.87,974.45,2.977,5.0,1052.7,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2017,5600,31600,5.64,Jagung,1,0.9836065573770492,NORMAL,5.55,0.08999999999999986,MR,2017,1,24.419,24.342,23.786,1267.6,579.4,521.8,2368.8,83.382,894.36,932.86,6.038,5.0,1765.0,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2017,5600,31600,5.64,Jagung,1,0.9836065573770492,NORMAL,5.55,0.08999999999999986,MG,2017,0,24.768,24.389,24.048,710.1,318.4,38.0,1066.5,79.899,1013.8,1018.27,2.515,5.0,815.0,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2018,5900,33800,5.73,Jagung,1,0.9993024066968957,NORMAL,5.64,0.09000000000000075,MR,2018,1,24.4,24.029,23.693,902.3,645.7,413.2,1961.2,83.365,1045.73,957.21,4.75,5.0,1486.2,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2018,5900,33800,5.73,Jagung,1,0.9993024066968957,NORMAL,5.64,0.09000000000000075,MG,2018,0,24.846,24.032,23.571,396.5,161.9,38.9,597.3,78.225,1122.14,1137.1,1.267,5.0,470.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
