nama_kabupaten,tahun,luas_panen_ha,produksi_ton,produktivitas_ku_ha,yield_ton_ha,sumber,yield_relative,status_aktual,yield_yoy_pct
Kab. Bandung,2019,52800,287200,54.4,5.4399999999999995,bps_embed,0.9956076134699852,NORMAL,
Kab. Bandung,2020,51200,279500,54.6,5.46,bps_embed,0.9992679355783308,NORMAL,0.37
Kab. Bandung,2021,50100,273900,54.7,5.470000000000001,bps_embed,1.0010980966325036,NORMAL,0.18
Kab. Bandung,2022,54200,297000,54.8,5.4799999999999995,bps_embed,1.0029282576866763,NORMAL,0.18
Kab. Bandung,2023,48500,265300,54.7,5.470000000000001,bps_embed,1.0010980966325036,NORMAL,-0.18
Kab. Bandung Barat,2019,28000,153500,54.8,5.4799999999999995,bps_embed,0.9996351696461144,NORMAL,
Kab. Bandung Barat,2020,27500,150800,54.8,5.4799999999999995,bps_embed,0.9996351696461144,NORMAL,0.0
Kab. Bandung Barat,2021,27000,148000,54.8,5.4799999999999995,bps_embed,0.9996351696461144,NORMAL,0.0
Kab. Bandung Barat,2022,29200,160200,54.9,5.49,bps_embed,1.0014593214155418,NORMAL,0.18
Kab. Bandung Barat,2023,25000,137100,54.8,5.4799999999999995,bps_embed,0.9996351696461144,NORMAL,-0.18
Kab. Bekasi,2019,78500,441700,56.3,5.63,bps_embed,1.0,NORMAL,
Kab. Bekasi,2020,76800,432500,56.3,5.63,bps_embed,1.0,NORMAL,0.0
Kab. Bekasi,2021,75200,423700,56.3,5.63,bps_embed,1.0,NORMAL,0.0
Kab. Bekasi,2022,80500,453600,56.3,5.63,bps_embed,1.0,NORMAL,0.0
Kab. Bekasi,2023,71000,399900,56.3,5.63,bps_embed,1.0,NORMAL,0.0
Kab. Bogor,2019,118500,607200,51.2,5.12,bps_embed,0.9964966913195796,NORMAL,
Kab. Bogor,2020,115200,591800,51.4,5.14,bps_embed,1.0003892565200467,NORMAL,0.39
Kab. Bogor,2021,112800,580500,51.5,5.15,bps_embed,1.0023355391202804,NORMAL,0.19
Kab. Bogor,2022,119300,614200,51.5,5.15,bps_embed,1.0023355391202804,NORMAL,0.0
Kab. Bogor,2023,110500,566800,51.3,5.13,bps_embed,0.9984429739198132,NORMAL,-0.39
Kab. Ciamis,2019,72000,389200,54.1,5.41,bps_embed,1.0,NORMAL,
Kab. Ciamis,2020,70500,381200,54.1,5.41,bps_embed,1.0,NORMAL,0.0
Kab. Ciamis,2021,69200,374500,54.1,5.41,bps_embed,1.0,NORMAL,0.0
Kab. Ciamis,2022,74500,403200,54.1,5.41,bps_embed,1.0,NORMAL,0.0
Kab. Ciamis,2023,65000,351500,54.1,5.41,bps_embed,1.0,NORMAL,0.0
Kab. Cianjur,2019,142000,754600,53.1,5.3100000000000005,bps_embed,0.9966216216216217,NORMAL,
Kab. Cianjur,2020,139500,742800,53.3,5.33,bps_embed,1.0003753753753752,NORMAL,0.38
Kab. Cianjur,2021,136800,729000,53.3,5.33,bps_embed,1.0003753753753752,NORMAL,0.0
Kab. Cianjur,2022,145200,775000,53.4,5.34,bps_embed,1.0022522522522521,NORMAL,0.19
Kab. Cianjur,2023,132000,703200,53.3,5.33,bps_embed,1.0003753753753752,NORMAL,-0.19
Kab. Cirebon,2019,92000,514600,55.9,5.59,bps_embed,0.9989278055754108,NORMAL,
Kab. Cirebon,2020,89500,500500,55.9,5.59,bps_embed,0.9989278055754108,NORMAL,0.0
Kab. Cirebon,2021,87800,491800,56.0,5.6,bps_embed,1.0007147962830591,NORMAL,0.18
Kab. Cirebon,2022,94200,528000,56.0,5.6,bps_embed,1.0007147962830591,NORMAL,0.0
