nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Bandung,-7.04,107.59,2014-01-01,25.5,21.5,23.1,5.6,5.6,15.0,6.7,11.55,2.36,97,76,4.0,86.5,2.3728813559322033
Kab. Bandung,-7.04,107.59,2014-01-02,29.0,21.4,24.1,20.9,20.9,6.0,6.9,20.58,4.16,97,70,7.600000000000001,83.5,5.024038461538461
Kab. Bandung,-7.04,107.59,2014-01-03,28.5,21.5,24.3,3.4,3.4,10.0,7.1,21.1,4.25,97,66,7.0,81.5,0.7999999999999999
Kab. Bandung,-7.04,107.59,2014-01-04,26.9,22.1,23.7,22.7,22.7,22.0,9.0,9.56,2.04,97,77,4.799999999999997,87.0,11.127450980392156
Kab. Bandung,-7.04,107.59,2014-01-05,27.9,21.3,23.4,12.5,12.5,18.0,9.7,15.68,3.1,97,79,6.599999999999998,88.0,4.032258064516129
Kab. Bandung,-7.04,107.59,2014-01-06,26.8,21.1,23.3,1.7,1.7,7.0,12.1,13.63,2.8,96,75,5.699999999999999,85.5,0.6071428571428572
Kab. Bandung,-7.04,107.59,2014-01-07,28.4,20.6,23.7,4.8,4.8,9.0,9.4,14.53,3.01,98,69,7.799999999999997,83.5,1.5946843853820598
Kab. Bandung,-7.04,107.59,2014-01-08,24.6,21.1,22.1,37.2,37.2,17.0,4.8,10.81,2.16,99,83,3.5,91.0,17.22222222222222
Kab. Bandung,-7.04,107.59,2014-01-09,28.5,21.4,24.5,11.2,11.2,11.0,8.2,17.27,3.61,98,69,7.100000000000001,83.5,3.102493074792244
Kab. Bandung,-7.04,107.59,2014-01-10,28.3,22.0,24.0,36.8,36.8,10.0,7.2,16.75,3.48,96,70,6.300000000000001,83.0,10.57471264367816
Kab. Bandung,-7.04,107.59,2014-01-11,28.5,20.8,23.8,19.2,19.2,9.0,7.6,15.53,3.16,100,73,7.699999999999999,86.5,6.075949367088607
Kab. Bandung,-7.04,107.59,2014-01-12,25.8,20.9,22.4,12.6,12.6,16.0,10.3,11.48,2.25,98,83,4.900000000000002,90.5,5.6
Kab. Bandung,-7.04,107.59,2014-01-13,24.9,21.0,22.6,31.0,31.0,24.0,8.4,5.61,1.28,96,84,3.8999999999999986,90.0,24.21875
Kab. Bandung,-7.04,107.59,2014-01-14,27.3,21.3,23.5,13.8,13.8,14.0,11.2,16.73,3.32,99,71,6.0,85.0,4.156626506024097
Kab. Bandung,-7.04,107.59,2014-01-15,25.9,21.0,22.6,9.4,9.4,14.0,11.4,15.18,2.91,99,76,4.899999999999999,87.5,3.2302405498281788
Kab. Bandung,-7.04,107.59,2014-01-16,24.8,21.2,22.6,22.4,22.4,18.0,9.9,13.47,2.57,99,82,3.6000000000000014,90.5,8.715953307392995
Kab. Bandung,-7.04,107.59,2014-01-17,23.5,21.0,22.2,10.9,10.9,19.0,7.7,7.37,1.47,100,90,2.5,95.0,7.4149659863945585
Kab. Bandung,-7.04,107.59,2014-01-18,23.6,21.1,22.1,21.4,21.4,22.0,9.6,7.14,1.4,99,92,2.5,95.5,15.285714285714286
