nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Bandung Barat,-6.84,107.45,2014-01-01,24.5,20.0,21.7,4.5,4.5,12.0,7.2,14.38,2.73,97,77,4.5,87.0,1.6483516483516483
Kab. Bandung Barat,-6.84,107.45,2014-01-02,27.4,19.8,22.7,16.7,16.7,7.0,8.7,21.33,4.12,97,67,7.599999999999998,82.0,4.0533980582524265
Kab. Bandung Barat,-6.84,107.45,2014-01-03,27.1,20.0,22.8,3.0,3.0,6.0,7.9,20.85,4.05,98,64,7.100000000000001,81.0,0.7407407407407408
Kab. Bandung Barat,-6.84,107.45,2014-01-04,26.2,20.3,22.6,9.5,9.5,15.0,10.9,10.68,2.22,97,71,5.899999999999999,84.0,4.279279279279279
Kab. Bandung Barat,-6.84,107.45,2014-01-05,26.9,19.9,22.4,8.7,8.7,10.0,10.2,16.93,3.3,96,70,7.0,83.0,2.6363636363636362
Kab. Bandung Barat,-6.84,107.45,2014-01-06,26.4,19.6,22.3,0.7,0.7,3.0,14.8,16.33,3.25,96,66,6.799999999999997,81.0,0.21538461538461537
Kab. Bandung Barat,-6.84,107.45,2014-01-07,26.6,19.0,22.3,1.0,1.0,4.0,12.5,14.29,2.89,97,66,7.600000000000001,81.5,0.3460207612456747
Kab. Bandung Barat,-6.84,107.45,2014-01-08,23.7,19.3,20.7,26.8,26.8,14.0,6.1,12.54,2.36,100,84,4.399999999999999,92.0,11.355932203389832
Kab. Bandung Barat,-6.84,107.45,2014-01-09,28.1,19.9,23.3,6.6,6.6,7.0,7.3,16.32,3.37,98,60,8.200000000000003,79.0,1.9584569732937684
Kab. Bandung Barat,-6.84,107.45,2014-01-10,27.1,19.9,22.6,32.2,32.2,9.0,7.5,16.61,3.35,95,66,7.200000000000003,80.5,9.611940298507463
Kab. Bandung Barat,-6.84,107.45,2014-01-11,26.8,19.2,22.3,12.9,12.9,8.0,10.8,16.46,3.18,98,71,7.600000000000001,84.5,4.056603773584905
Kab. Bandung Barat,-6.84,107.45,2014-01-12,24.1,19.2,20.7,14.4,14.4,17.0,9.4,10.86,2.07,96,82,4.900000000000002,89.0,6.9565217391304355
Kab. Bandung Barat,-6.84,107.45,2014-01-13,23.4,19.4,21.1,25.4,25.4,19.0,6.6,6.96,1.47,96,80,4.0,88.0,17.27891156462585
Kab. Bandung Barat,-6.84,107.45,2014-01-14,26.4,19.5,22.1,11.7,11.7,14.0,12.6,18.06,3.46,99,66,6.899999999999999,82.5,3.3815028901734103
Kab. Bandung Barat,-6.84,107.45,2014-01-15,25.3,19.5,21.4,5.9,5.9,14.0,12.1,16.6,3.08,98,72,5.800000000000001,85.0,1.9155844155844157
Kab. Bandung Barat,-6.84,107.45,2014-01-16,23.4,19.5,21.0,30.0,30.0,18.0,12.7,12.78,2.31,99,82,3.8999999999999986,90.5,12.987012987012987
Kab. Bandung Barat,-6.84,107.45,2014-01-17,21.7,19.4,20.4,19.1,19.1,24.0,8.9,6.67,1.34,100,88,2.3000000000000007,94.0,14.253731343283583
Kab. Bandung Barat,-6.84,107.45,2014-01-18,22.5,19.4,20.4,16.7,16.7,22.0,10.6,6.8,1.32,99,90,3.1000000000000014,94.5,12.65151515151515
Kab. Bandung Barat,-6.84,107.45,2014-01-19,22.5,19.0,20.3,15.2,15.2,21.0,9.8,7.01,1.42,99,83,3.5,91.0,10.704225352112676
Kab. Bandung Barat,-6.84,107.45,2014-01-20,21.8,18.7,20.5,12.4,12.4,17.0,13.8,11.61,2.05,97,84,3.1000000000000014,90.5,6.048780487804879
Kab. Bandung Barat,-6.84,107.45,2014-01-21,21.3,18.7,19.7,13.9,13.9,17.0,10.3,5.9,1.14,98,89,2.6000000000000014,93.5,12.192982456140353
Kab. Bandung Barat,-6.84,107.45,2014-01-22,24.2,18.7,21.1,5.3,5.3,16.0,12.5,18.52,3.38,99,71,5.5,85.0,1.5680473372781065
Kab. Bandung Barat,-6.84,107.45,2014-01-23,20.7,18.8,19.6,4.8,4.8,16.0,8.9,5.04,1.03,100,88,1.8999999999999986,94.0,4.660194174757281
Kab. Bandung Barat,-6.84,107.45,2014-01-24,23.4,19.0,20.5,7.5,7.5,17.0,11.9,16.21,2.8,99,79,4.399999999999999,89.0,2.678571428571429
Kab. Bandung Barat,-6.84,107.45,2014-01-25,23.6,18.9,20.9,3.5,3.5,14.0,12.3,14.83,2.7,100,72,4.700000000000003,86.0,1.2962962962962963
Kab. Bandung Barat,-6.84,107.45,2014-01-26,26.0,19.3,22.1,4.4,4.4,7.0,11.0,20.75,3.95,98,66,6.699999999999999,82.0,1.1139240506329113
Kab. Bandung Barat,-6.84,107.45,2014-01-27,24.8,20.2,21.7,11.8,11.8,9.0,10.1,16.61,3.11,97,72,4.600000000000001,84.5,3.794212218649518
Kab. Bandung Barat,-6.84,107.45,2014-01-28,22.8,20.1,20.9,5.8,5.8,17.0,10.4,9.85,1.85,97,82,2.6999999999999993,89.5,3.135135135135135
Kab. Bandung Barat,-6.84,107.45,2014-01-29,22.5,19.4,20.7,4.0,4.0,13.0,8.9,9.65,1.84,99,81,3.1000000000000014,90.0,2.1739130434782608
Kab. Bandung Barat,-6.84,107.45,2014-01-30,24.6,20.0,21.6,7.3,7.3,16.0,12.8,16.64,3.02,96,78,4.600000000000001,87.0,2.4172185430463577
Kab. Bandung Barat,-6.84,107.45,2014-01-31,23.4,20.2,21.3,4.3,4.3,13.0,14.6,14.79,2.67,99,78,3.1999999999999993,88.5,1.6104868913857677
Kab. Bandung Barat,-6.84,107.45,2014-02-01,25.4,19.5,21.7,6.4,6.4,12.0,13.6,17.1,3.12,100,74,5.899999999999999,87.0,2.0512820512820515
Kab. Bandung Barat,-6.84,107.45,2014-02-02,22.1,19.5,20.7,10.4,10.4,14.0,10.2,12.53,2.26,100,85,2.6000000000000014,92.5,4.601769911504426
