nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Bekasi,-6.37,107.14,2014-01-01,28.9,24.0,26.0,7.4,7.4,19.0,13.5,16.24,3.28,95,76,4.899999999999999,85.5,2.25609756097561
Kab. Bekasi,-6.37,107.14,2014-01-02,30.8,23.9,26.6,5.2,5.2,11.0,15.3,23.18,4.66,96,65,6.900000000000002,80.5,1.1158798283261802
Kab. Bekasi,-6.37,107.14,2014-01-03,30.7,24.1,26.7,7.7,7.7,9.0,13.5,22.63,4.57,95,64,6.599999999999998,79.5,1.684901531728665
Kab. Bekasi,-6.37,107.14,2014-01-04,30.7,24.5,27.0,9.0,9.0,13.0,21.3,16.87,3.68,94,70,6.199999999999999,82.0,2.4456521739130435
Kab. Bekasi,-6.37,107.14,2014-01-05,30.9,24.2,26.8,2.2,2.2,3.0,19.4,19.14,4.33,93,65,6.699999999999999,79.0,0.5080831408775982
Kab. Bekasi,-6.37,107.14,2014-01-06,29.4,24.3,26.5,2.4,2.4,5.0,22.9,17.32,3.77,90,68,5.099999999999998,79.0,0.636604774535809
Kab. Bekasi,-6.37,107.14,2014-01-07,29.8,24.3,26.5,2.9,2.9,7.0,16.9,13.76,3.1,93,69,5.5,81.0,0.9354838709677419
Kab. Bekasi,-6.37,107.14,2014-01-08,28.3,23.9,25.2,16.0,16.0,16.0,11.2,16.0,3.09,96,75,4.400000000000002,85.5,5.177993527508091
Kab. Bekasi,-6.37,107.14,2014-01-09,31.8,24.0,27.1,9.0,9.0,5.0,15.2,20.39,4.39,95,59,7.800000000000001,77.0,2.050113895216401
Kab. Bekasi,-6.37,107.14,2014-01-10,31.1,23.9,26.7,20.9,20.9,8.0,8.9,19.12,4.01,92,64,7.200000000000003,78.0,5.211970074812967
Kab. Bekasi,-6.37,107.14,2014-01-11,30.1,23.7,26.3,18.7,18.7,14.0,15.1,19.7,3.9,95,69,6.400000000000002,82.0,4.794871794871795
Kab. Bekasi,-6.37,107.14,2014-01-12,27.7,23.6,24.9,24.2,24.2,24.0,11.2,9.85,2.02,96,81,4.099999999999998,88.5,11.98019801980198
