nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Bogor,-6.5971,106.806,2014-01-01,28.8,22.4,24.7,6.4,6.4,14.0,5.5,13.18,2.68,97,72,6.400000000000002,84.5,2.388059701492537
Kab. Bogor,-6.5971,106.806,2014-01-02,30.8,21.9,25.4,7.5,7.5,5.0,8.9,21.05,4.3,98,65,8.900000000000002,81.5,1.744186046511628
Kab. Bogor,-6.5971,106.806,2014-01-03,31.2,21.9,25.9,4.4,4.4,5.0,7.4,20.75,4.26,98,61,9.3,79.5,1.0328638497652582
Kab. Bogor,-6.5971,106.806,2014-01-04,30.6,23.6,25.8,6.5,6.5,9.0,10.7,16.35,3.41,95,69,7.0,82.0,1.9061583577712609
Kab. Bogor,-6.5971,106.806,2014-01-05,29.8,23.2,25.3,0.6,0.6,2.0,13.3,15.73,3.36,93,68,6.600000000000001,80.5,0.17857142857142858
Kab. Bogor,-6.5971,106.806,2014-01-06,28.5,22.8,25.0,1.3,1.3,5.0,13.5,13.58,2.9,94,72,5.699999999999999,83.0,0.4482758620689655
Kab. Bogor,-6.5971,106.806,2014-01-07,29.9,22.9,25.3,3.9,3.9,11.0,10.5,13.11,2.84,94,67,7.0,80.5,1.3732394366197183
Kab. Bogor,-6.5971,106.806,2014-01-08,27.1,21.9,23.5,25.9,25.9,13.0,7.6,13.18,2.58,98,76,5.200000000000003,87.0,10.038759689922479
Kab. Bogor,-6.5971,106.806,2014-01-09,32.0,21.7,25.8,18.5,18.5,16.0,11.8,18.08,3.97,96,57,10.3,76.5,4.659949622166247
Kab. Bogor,-6.5971,106.806,2014-01-10,31.1,23.3,26.1,6.1,6.1,6.0,9.2,17.73,3.83,93,63,7.800000000000001,78.0,1.5926892950391645
Kab. Bogor,-6.5971,106.806,2014-01-11,30.2,22.1,25.4,11.0,11.0,7.0,9.4,15.42,3.2,98,68,8.099999999999998,83.0,3.4375
Kab. Bogor,-6.5971,106.806,2014-01-12,26.6,22.1,23.7,19.5,19.5,18.0,8.8,10.55,2.09,98,82,4.5,90.0,9.330143540669857
Kab. Bogor,-6.5971,106.806,2014-01-13,27.2,22.1,24.0,16.7,16.7,19.0,5.1,4.92,1.16,98,77,5.099999999999998,87.5,14.39655172413793
Kab. Bogor,-6.5971,106.806,2014-01-14,29.8,21.9,25.1,8.7,8.7,14.0,10.7,16.66,3.47,98,65,7.900000000000002,81.5,2.507204610951008
Kab. Bogor,-6.5971,106.806,2014-01-15,27.5,22.3,24.2,4.7,4.7,21.0,12.0,13.82,2.76,96,77,5.199999999999999,86.5,1.702898550724638
Kab. Bogor,-6.5971,106.806,2014-01-16,27.1,22.2,24.2,25.3,25.3,16.0,11.5,14.48,2.83,97,77,4.900000000000002,87.0,8.939929328621908
Kab. Bogor,-6.5971,106.806,2014-01-17,25.9,21.9,23.8,19.1,19.1,22.0,9.4,9.18,1.92,99,79,4.0,89.0,9.947916666666668
Kab. Bogor,-6.5971,106.806,2014-01-18,26.3,22.2,23.8,16.7,16.7,22.0,8.9,9.24,1.89,98,85,4.100000000000001,91.5,8.835978835978835
Kab. Bogor,-6.5971,106.806,2014-01-19,25.4,21.9,23.4,17.2,17.2,21.0,8.2,6.33,1.41,97,83,3.5,90.0,12.198581560283689
Kab. Bogor,-6.5971,106.806,2014-01-20,26.3,21.7,23.8,13.2,13.2,13.0,11.2,12.1,2.4,97,78,4.600000000000001,87.5,5.5
Kab. Bogor,-6.5971,106.806,2014-01-21,24.3,21.9,22.7,19.7,19.7,21.0,10.0,5.37,1.14,99,85,2.400000000000002,92.0,17.280701754385966
Kab. Bogor,-6.5971,106.806,2014-01-22,27.6,21.6,24.1,6.1,6.1,16.0,11.5,16.18,3.21,98,69,6.0,83.5,1.9003115264797508
Kab. Bogor,-6.5971,106.806,2014-01-23,24.0,22.3,22.9,6.5,6.5,19.0,10.2,5.32,1.19,98,86,1.6999999999999993,92.0,5.46218487394958
Kab. Bogor,-6.5971,106.806,2014-01-24,26.8,21.9,23.6,9.8,9.8,13.0,10.8,15.14,2.87,99,76,4.900000000000002,87.5,3.4146341463414633
Kab. Bogor,-6.5971,106.806,2014-01-25,27.8,21.9,24.2,4.9,4.9,13.0,10.1,19.35,3.68,100,77,5.900000000000002,88.5,1.3315217391304348
Kab. Bogor,-6.5971,106.806,2014-01-26,29.6,21.5,25.0,12.6,12.6,9.0,7.7,20.2,4.07,99,65,8.100000000000001,82.0,3.0958230958230954
Kab. Bogor,-6.5971,106.806,2014-01-27,27.4,22.8,24.6,14.2,14.2,13.0,10.2,16.0,3.11,98,76,4.599999999999998,87.0,4.565916398713826
Kab. Bogor,-6.5971,106.806,2014-01-28,26.5,23.1,24.4,9.2,9.2,23.0,10.3,13.47,2.64,96,80,3.3999999999999986,88.0,3.4848484848484844
Kab. Bogor,-6.5971,106.806,2014-01-29,26.7,22.4,24.1,7.8,7.8,18.0,8.0,12.46,2.48,99,76,4.300000000000001,87.5,3.1451612903225805
Kab. Bogor,-6.5971,106.806,2014-01-30,27.3,23.4,24.8,5.0,5.0,13.0,11.3,14.91,2.98,96,76,3.900000000000002,86.0,1.6778523489932886
Kab. Bogor,-6.5971,106.806,2014-01-31,27.0,22.6,24.5,10.7,10.7,16.0,11.1,16.33,3.18,97,76,4.399999999999999,86.5,3.364779874213836
Kab. Bogor,-6.5971,106.806,2014-02-01,28.3,22.0,24.8,5.4,5.4,13.0,10.4,17.52,3.48,98,73,6.300000000000001,85.5,1.5517241379310347
Kab. Bogor,-6.5971,106.806,2014-02-02,26.2,22.9,24.2,13.4,13.4,17.0,10.7,15.3,2.95,98,80,3.3000000000000007,89.0,4.542372881355932
Kab. Bogor,-6.5971,106.806,2014-02-03,27.0,22.3,24.2,21.1,21.1,21.0,10.9,14.23,2.78,98,78,4.699999999999999,88.0,7.589928057553958
Kab. Bogor,-6.5971,106.806,2014-02-04,27.1,22.5,24.4,9.6,9.6,19.0,9.2,9.44,1.99,99,76,4.600000000000001,87.5,4.824120603015075
Kab. Bogor,-6.5971,106.806,2014-02-05,27.1,22.6,24.6,5.4,5.4,14.0,8.0,14.26,2.83,99,79,4.5,89.0,1.9081272084805654
Kab. Bogor,-6.5971,106.806,2014-02-06,28.4,23.4,25.2,6.3,6.3,10.0,9.0,15.69,3.16,98,75,5.0,86.5,1.9936708860759491
Kab. Bogor,-6.5971,106.806,2014-02-07,29.4,22.7,25.1,15.8,15.8,10.0,11.2,13.19,2.75,98,71,6.699999999999999,84.5,5.745454545454546
Kab. Bogor,-6.5971,106.806,2014-02-08,27.1,23.1,24.8,34.7,34.7,24.0,8.3,7.16,1.58,97,83,4.0,90.0,21.962025316455698
Kab. Bogor,-6.5971,106.806,2014-02-09,28.0,22.4,24.6,19.9,19.9,22.0,10.8,13.03,2.67,100,76,5.600000000000001,88.0,7.453183520599251
Kab. Bogor,-6.5971,106.806,2014-02-10,29.4,22.7,25.3,17.7,17.7,12.0,10.7,18.84,3.77,97,68,6.699999999999999,82.5,4.694960212201591
Kab. Bogor,-6.5971,106.806,2014-02-11,30.6,22.0,25.9,0.2,0.2,1.0,8.5,22.32,4.55,99,65,8.600000000000001,82.0,0.04395604395604396
Kab. Bogor,-6.5971,106.806,2014-02-12,29.6,24.0,26.2,2.9,2.9,12.0,11.2,18.43,3.78,96,68,5.600000000000001,82.0,0.7671957671957672
