nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Ciamis,-7.33,108.35,2014-01-01,27.6,23.6,25.1,12.3,12.3,18.0,4.0,9.27,1.96,98,84,4.0,91.0,6.275510204081633
Kab. Ciamis,-7.33,108.35,2014-01-02,31.0,23.2,26.1,8.8,8.8,7.0,8.2,18.93,3.96,97,69,7.800000000000001,83.0,2.2222222222222223
Kab. Ciamis,-7.33,108.35,2014-01-03,31.1,24.0,26.3,1.5,1.5,7.0,6.0,17.83,3.76,98,66,7.100000000000001,82.0,0.398936170212766
Kab. Ciamis,-7.33,108.35,2014-01-04,29.6,24.1,26.0,17.7,17.7,12.0,9.5,12.31,2.62,97,74,5.5,85.5,6.755725190839694
Kab. Ciamis,-7.33,108.35,2014-01-05,31.0,23.3,26.0,19.2,19.2,13.0,8.3,17.42,3.65,98,72,7.699999999999999,85.0,5.260273972602739
Kab. Ciamis,-7.33,108.35,2014-01-06,30.3,23.1,25.6,6.0,6.0,18.0,6.4,10.21,2.22,99,73,7.199999999999999,86.0,2.7027027027027026
Kab. Ciamis,-7.33,108.35,2014-01-07,32.0,22.6,25.9,33.0,33.0,9.0,6.5,17.37,3.65,98,67,9.399999999999999,82.5,9.04109589041096
Kab. Ciamis,-7.33,108.35,2014-01-08,28.1,23.3,25.0,15.5,15.5,21.0,3.9,14.18,2.95,100,81,4.800000000000001,90.5,5.2542372881355925
Kab. Ciamis,-7.33,108.35,2014-01-09,31.9,22.9,26.8,8.2,8.2,6.0,8.8,21.43,4.53,99,65,9.0,82.0,1.8101545253863132
Kab. Ciamis,-7.33,108.35,2014-01-10,31.3,23.8,26.7,4.2,4.2,5.0,8.0,17.9,3.84,96,65,7.5,80.5,1.09375
Kab. Ciamis,-7.33,108.35,2014-01-11,31.5,23.1,26.5,18.1,18.1,9.0,5.9,16.91,3.62,99,68,8.399999999999999,83.5,5.0
Kab. Ciamis,-7.33,108.35,2014-01-12,30.6,23.1,25.3,28.4,28.4,12.0,7.2,14.41,2.97,99,70,7.5,84.5,9.56228956228956
Kab. Ciamis,-7.33,108.35,2014-01-13,27.9,23.6,25.4,24.3,24.3,24.0,4.1,5.28,1.28,100,81,4.299999999999997,90.5,18.984375
Kab. Ciamis,-7.33,108.35,2014-01-14,30.1,23.3,26.1,18.2,18.2,13.0,7.2,16.39,3.47,99,73,6.800000000000001,86.0,5.244956772334294
Kab. Ciamis,-7.33,108.35,2014-01-15,29.4,23.3,25.7,14.0,14.0,12.0,5.8,15.7,3.29,99,72,6.099999999999998,85.5,4.25531914893617
Kab. Ciamis,-7.33,108.35,2014-01-16,29.4,23.5,25.8,30.9,30.9,17.0,4.9,15.81,3.3,99,76,5.899999999999999,87.5,9.363636363636363
Kab. Ciamis,-7.33,108.35,2014-01-17,26.9,23.2,25.0,26.4,26.4,19.0,7.3,7.5,1.62,100,83,3.6999999999999993,91.5,16.296296296296294
Kab. Ciamis,-7.33,108.35,2014-01-18,27.1,23.4,24.7,12.1,12.1,22.0,7.1,7.75,1.68,99,81,3.700000000000003,90.0,7.2023809523809526
Kab. Ciamis,-7.33,108.35,2014-01-19,29.1,22.6,25.0,11.6,11.6,11.0,11.2,15.12,3.09,98,73,6.5,85.5,3.754045307443366
Kab. Ciamis,-7.33,108.35,2014-01-20,27.8,22.4,25.1,8.8,8.8,16.0,7.2,14.47,2.97,98,75,5.400000000000002,86.5,2.962962962962963
Kab. Ciamis,-7.33,108.35,2014-01-21,26.7,22.8,24.5,13.9,13.9,9.0,7.6,8.15,1.7,99,88,3.8999999999999986,93.5,8.176470588235295
