nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Cianjur,-6.82,107.14,2014-01-01,27.0,21.8,23.8,4.4,4.4,15.0,5.7,13.78,2.76,99,76,5.199999999999999,87.5,1.5942028985507248
Kab. Cianjur,-6.82,107.14,2014-01-02,30.0,21.3,24.6,8.9,8.9,4.0,5.9,21.41,4.33,98,66,8.7,82.0,2.0554272517321017
Kab. Cianjur,-6.82,107.14,2014-01-03,29.6,21.8,24.8,4.7,4.7,5.0,6.2,20.61,4.17,98,62,7.800000000000001,80.0,1.1270983213429258
Kab. Cianjur,-6.82,107.14,2014-01-04,28.8,22.3,24.5,6.2,6.2,12.0,10.1,12.21,2.58,97,70,6.5,83.5,2.4031007751937983
Kab. Cianjur,-6.82,107.14,2014-01-05,28.9,21.7,24.1,4.0,4.0,7.0,10.5,17.14,3.46,96,71,7.199999999999999,83.5,1.1560693641618498
Kab. Cianjur,-6.82,107.14,2014-01-06,28.3,21.2,24.0,0.8,0.8,4.0,11.6,15.69,3.21,98,68,7.100000000000001,83.0,0.24922118380062308
Kab. Cianjur,-6.82,107.14,2014-01-07,29.1,20.8,24.1,1.2,1.2,7.0,9.7,13.91,2.92,98,65,8.3,81.5,0.410958904109589
Kab. Cianjur,-6.82,107.14,2014-01-08,26.2,20.6,22.5,32.0,32.0,14.0,6.2,13.0,2.52,100,80,5.599999999999998,90.0,12.698412698412698
Kab. Cianjur,-6.82,107.14,2014-01-09,30.3,21.4,25.1,5.1,5.1,4.0,7.7,17.11,3.66,100,59,8.900000000000002,79.5,1.3934426229508194
Kab. Cianjur,-6.82,107.14,2014-01-10,30.0,21.9,24.6,18.1,18.1,9.0,7.5,16.96,3.55,95,62,8.100000000000001,78.5,5.098591549295775
Kab. Cianjur,-6.82,107.14,2014-01-11,29.0,21.0,24.1,12.5,12.5,9.0,9.6,16.1,3.24,98,72,8.0,85.0,3.8580246913580245
Kab. Cianjur,-6.82,107.14,2014-01-12,26.5,21.1,22.6,15.2,15.2,17.0,8.2,11.05,2.19,98,81,5.399999999999999,89.5,6.940639269406392
Kab. Cianjur,-6.82,107.14,2014-01-13,25.6,21.1,22.9,21.9,21.9,23.0,4.1,6.04,1.32,98,84,4.5,91.0,16.59090909090909
Kab. Cianjur,-6.82,107.14,2014-01-14,29.1,21.0,23.9,8.6,8.6,13.0,9.7,17.59,3.53,99,65,8.100000000000001,82.0,2.4362606232294617
Kab. Cianjur,-6.82,107.14,2014-01-15,27.5,21.1,23.2,5.4,5.4,15.0,10.6,16.32,3.16,99,72,6.399999999999999,85.5,1.7088607594936709
Kab. Cianjur,-6.82,107.14,2014-01-16,26.2,21.3,23.0,22.9,22.9,18.0,10.1,12.99,2.51,100,75,4.899999999999999,87.5,9.123505976095618
Kab. Cianjur,-6.82,107.14,2014-01-17,24.3,20.9,22.6,16.3,16.3,23.0,6.3,7.79,1.61,100,85,3.400000000000002,92.5,10.124223602484472
Kab. Cianjur,-6.82,107.14,2014-01-18,24.7,21.1,22.5,14.2,14.2,19.0,8.4,7.29,1.49,100,87,3.599999999999998,93.5,9.53020134228188
Kab. Cianjur,-6.82,107.14,2014-01-19,24.5,20.8,22.3,9.7,9.7,20.0,7.0,6.56,1.4,100,82,3.6999999999999993,91.0,6.928571428571429
Kab. Cianjur,-6.82,107.14,2014-01-20,24.5,20.3,22.5,9.7,9.7,14.0,11.0,11.6,2.24,99,81,4.199999999999999,90.0,4.330357142857142
Kab. Cianjur,-6.82,107.14,2014-01-21,23.7,20.6,21.7,11.6,11.6,18.0,7.5,5.98,1.23,99,90,3.099999999999998,94.5,9.43089430894309
Kab. Cianjur,-6.82,107.14,2014-01-22,26.8,20.6,23.2,3.6,3.6,15.0,9.2,17.68,3.48,99,69,6.199999999999999,84.0,1.0344827586206897
Kab. Cianjur,-6.82,107.14,2014-01-23,23.2,21.1,21.7,3.9,3.9,15.0,5.8,4.81,1.05,100,85,2.099999999999998,92.5,3.714285714285714
Kab. Cianjur,-6.82,107.14,2014-01-24,25.9,20.8,22.5,5.8,5.8,15.0,9.9,15.74,2.96,99,76,5.099999999999998,87.5,1.9594594594594594
Kab. Cianjur,-6.82,107.14,2014-01-25,26.3,20.9,23.1,3.0,3.0,12.0,9.8,16.0,3.09,100,72,5.400000000000002,86.0,0.970873786407767
Kab. Cianjur,-6.82,107.14,2014-01-26,28.5,20.9,24.1,3.8,3.8,7.0,8.2,20.42,4.08,99,65,7.600000000000001,82.0,0.9313725490196078
Kab. Cianjur,-6.82,107.14,2014-01-27,26.9,21.9,23.7,12.9,12.9,9.0,8.5,16.83,3.28,98,71,5.0,84.5,3.932926829268293
Kab. Cianjur,-6.82,107.14,2014-01-28,24.9,22.2,23.1,4.0,4.0,16.0,9.2,10.38,2.05,98,82,2.6999999999999993,90.0,1.9512195121951221
Kab. Cianjur,-6.82,107.14,2014-01-29,25.1,21.3,22.9,3.2,3.2,12.0,7.3,10.48,2.08,99,79,3.8000000000000007,89.0,1.5384615384615385
Kab. Cianjur,-6.82,107.14,2014-01-30,27.0,22.1,23.8,3.1,3.1,11.0,11.6,15.73,3.1,97,75,4.899999999999999,86.0,1.0
Kab. Cianjur,-6.82,107.14,2014-01-31,26.1,22.1,23.5,6.3,6.3,12.0,10.7,15.2,2.93,99,79,4.0,89.0,2.150170648464164
Kab. Cianjur,-6.82,107.14,2014-02-01,27.8,21.2,23.8,3.0,3.0,9.0,10.5,17.29,3.38,100,73,6.600000000000001,86.5,0.8875739644970414
Kab. Cianjur,-6.82,107.14,2014-02-02,25.3,21.4,23.0,10.4,10.4,13.0,7.7,13.57,2.63,99,80,3.900000000000002,89.5,3.954372623574145
Kab. Cianjur,-6.82,107.14,2014-02-03,26.3,20.9,22.9,10.7,10.7,13.0,8.8,12.82,2.55,100,76,5.400000000000002,88.0,4.196078431372549
Kab. Cianjur,-6.82,107.14,2014-02-04,26.4,21.5,23.2,8.5,8.5,18.0,9.4,9.11,1.88,100,75,4.899999999999999,87.5,4.521276595744681
Kab. Cianjur,-6.82,107.14,2014-02-05,26.3,22.1,23.7,3.2,3.2,11.0,8.4,11.67,2.31,99,83,4.199999999999999,91.0,1.3852813852813852
Kab. Cianjur,-6.82,107.14,2014-02-06,27.5,22.2,23.9,11.0,11.0,10.0,7.8,15.01,2.99,99,74,5.300000000000001,86.5,3.6789297658862874
Kab. Cianjur,-6.82,107.14,2014-02-07,27.9,21.8,24.1,8.0,8.0,8.0,8.3,14.1,2.86,98,79,6.099999999999998,88.5,2.7972027972027975
Kab. Cianjur,-6.82,107.14,2014-02-08,27.4,21.9,24.1,21.0,21.0,24.0,8.2,11.59,2.4,99,80,5.5,89.5,8.75
Kab. Cianjur,-6.82,107.14,2014-02-09,25.9,21.8,23.2,15.6,15.6,24.0,7.7,9.26,1.92,100,80,4.099999999999998,90.0,8.125
Kab. Cianjur,-6.82,107.14,2014-02-10,28.0,21.6,23.9,11.8,11.8,12.0,10.5,16.6,3.28,99,72,6.399999999999999,85.5,3.5975609756097566
Kab. Cianjur,-6.82,107.14,2014-02-11,29.6,21.3,24.7,0.6,0.6,2.0,8.4,22.53,4.49,100,65,8.3,82.5,0.13363028953229397
Kab. Cianjur,-6.82,107.14,2014-02-12,28.5,22.8,25.0,1.9,1.9,9.0,10.5,17.99,3.65,100,69,5.699999999999999,84.5,0.5205479452054794
Kab. Cianjur,-6.82,107.14,2014-02-13,29.7,21.3,25.2,0.9,0.9,5.0,9.6,21.91,4.43,97,65,8.399999999999999,81.0,0.2031602708803612
Kab. Cianjur,-6.82,107.14,2014-02-14,28.7,21.7,24.8,3.3,3.3,11.0,10.0,17.94,3.65,99,67,7.0,83.0,0.9041095890410958
Kab. Cianjur,-6.82,107.14,2014-02-15,26.7,21.4,23.4,5.3,5.3,12.0,7.3,14.3,2.8,99,73,5.300000000000001,86.0,1.892857142857143
Kab. Cianjur,-6.82,107.14,2014-02-16,28.6,21.5,24.1,4.7,4.7,9.0,8.7,20.7,4.09,98,66,7.100000000000001,82.0,1.1491442542787287
Kab. Cianjur,-6.82,107.14,2014-02-17,29.3,20.7,24.5,2.6,2.6,7.0,7.3,21.67,4.38,98,61,8.600000000000001,79.5,0.5936073059360731
Kab. Cianjur,-6.82,107.14,2014-02-18,27.0,22.2,24.1,5.3,5.3,16.0,7.7,12.2,2.53,100,70,4.800000000000001,85.0,2.0948616600790513
Kab. Cianjur,-6.82,107.14,2014-02-19,29.5,21.0,24.9,0.0,0.0,0.0,6.8,22.75,4.61,98,58,8.5,78.0,0.0
Kab. Cianjur,-6.82,107.14,2014-02-20,30.3,21.7,25.3,1.7,1.7,4.0,7.0,24.7,5.03,98,54,8.600000000000001,76.0,0.3379721669980119
Kab. Cianjur,-6.82,107.14,2014-02-21,27.0,22.0,24.0,2.6,2.6,7.0,9.3,14.34,2.87,97,73,5.0,85.0,0.9059233449477352
Kab. Cianjur,-6.82,107.14,2014-02-22,26.5,21.5,22.6,31.6,31.6,18.0,10.2,11.46,2.29,98,76,5.0,87.0,13.799126637554586
Kab. Cianjur,-6.82,107.14,2014-02-23,25.2,21.0,22.7,26.1,26.1,24.0,7.3,6.19,1.38,99,81,4.199999999999999,90.0,18.91304347826087
Kab. Cianjur,-6.82,107.14,2014-02-24,26.0,21.3,22.8,10.2,10.2,17.0,7.2,9.53,1.92,99,77,4.699999999999999,88.0,5.3125
Kab. Cianjur,-6.82,107.14,2014-02-25,26.8,20.8,23.1,3.6,3.6,11.0,9.8,13.92,2.75,96,73,6.0,84.5,1.309090909090909
Kab. Cianjur,-6.82,107.14,2014-02-26,24.9,21.3,22.7,10.6,10.6,9.0,9.8,14.32,2.68,100,81,3.599999999999998,90.5,3.9552238805970146
Kab. Cianjur,-6.82,107.14,2014-02-27,24.9,21.0,22.7,6.0,6.0,10.0,8.7,10.08,1.98,99,82,3.8999999999999986,90.5,3.0303030303030303
Kab. Cianjur,-6.82,107.14,2014-02-28,28.0,20.4,23.7,6.0,6.0,10.0,7.0,20.92,4.09,98,70,7.600000000000001,84.0,1.466992665036675
Kab. Cianjur,-6.82,107.14,2014-03-01,28.2,21.7,24.1,19.5,19.5,13.0,7.2,18.36,3.65,98,71,6.5,84.5,5.342465753424658
Kab. Cianjur,-6.82,107.14,2014-03-02,28.3,21.9,24.6,17.0,17.0,16.0,5.6,19.23,3.87,97,74,6.400000000000002,85.5,4.3927648578811365
Kab. Cianjur,-6.82,107.14,2014-03-03,29.6,21.7,24.8,12.8,12.8,11.0,7.3,20.74,4.15,97,70,7.900000000000002,83.5,3.08433734939759
Kab. Cianjur,-6.82,107.14,2014-03-04,29.7,21.9,25.2,1.6,1.6,6.0,7.2,23.46,4.73,98,62,7.800000000000001,80.0,0.3382663847780127
Kab. Cianjur,-6.82,107.14,2014-03-05,28.7,22.2,24.0,14.3,14.3,7.0,6.5,18.56,3.67,95,74,6.5,84.5,3.8964577656675754
Kab. Cianjur,-6.82,107.14,2014-03-06,30.4,21.3,24.4,7.7,7.7,9.0,5.8,21.07,4.27,97,62,9.099999999999998,79.5,1.8032786885245904
Kab. Cianjur,-6.82,107.14,2014-03-07,29.5,21.3,24.4,8.4,8.4,10.0,7.6,18.94,3.83,98,65,8.2,81.5,2.1932114882506526
Kab. Cianjur,-6.82,107.14,2014-03-08,29.1,22.8,25.1,7.9,7.9,16.0,7.4,12.82,2.73,96,70,6.300000000000001,83.0,2.8937728937728937
Kab. Cianjur,-6.82,107.14,2014-03-09,28.2,22.8,24.8,13.7,13.7,13.0,7.2,19.27,3.8,96,73,5.399999999999999,84.5,3.6052631578947367
Kab. Cianjur,-6.82,107.14,2014-03-10,26.0,22.1,23.5,5.4,5.4,13.0,8.4,16.54,3.13,98,80,3.8999999999999986,89.0,1.7252396166134187
Kab. Cianjur,-6.82,107.14,2014-03-11,26.6,21.7,23.9,6.4,6.4,9.0,7.2,15.57,3.08,98,75,4.900000000000002,86.5,2.077922077922078
Kab. Cianjur,-6.82,107.14,2014-03-12,26.5,21.8,23.7,16.7,16.7,8.0,9.4,15.35,2.98,99,78,4.699999999999999,88.5,5.604026845637584
Kab. Cianjur,-6.82,107.14,2014-03-13,29.2,21.2,23.7,7.7,7.7,10.0,7.2,15.06,3.07,99,66,8.0,82.5,2.5081433224755703
Kab. Cianjur,-6.82,107.14,2014-03-14,28.4,21.4,23.9,3.4,3.4,9.0,8.0,17.61,3.47,100,70,7.0,85.0,0.9798270893371757
Kab. Cianjur,-6.82,107.14,2014-03-15,28.2,21.4,24.2,6.9,6.9,9.0,9.4,17.01,3.41,98,73,6.800000000000001,85.5,2.0234604105571847
Kab. Cianjur,-6.82,107.14,2014-03-16,29.4,21.3,24.8,4.7,4.7,6.0,7.8,21.09,4.23,98,66,8.099999999999998,82.0,1.111111111111111
Kab. Cianjur,-6.82,107.14,2014-03-17,29.0,22.4,24.6,17.7,17.7,14.0,5.8,15.78,3.2,96,72,6.600000000000001,84.0,5.531249999999999
Kab. Cianjur,-6.82,107.14,2014-03-18,29.8,22.3,24.8,12.4,12.4,11.0,8.2,17.34,3.52,98,65,7.5,81.5,3.522727272727273
Kab. Cianjur,-6.82,107.14,2014-03-19,29.4,21.9,24.4,11.4,11.4,7.0,5.4,17.47,3.55,97,67,7.5,82.0,3.211267605633803
Kab. Cianjur,-6.82,107.14,2014-03-20,30.2,21.3,24.6,20.4,20.4,9.0,6.5,20.09,4.08,99,68,8.899999999999999,83.5,5.0
Kab. Cianjur,-6.82,107.14,2014-03-21,28.9,21.5,24.2,10.5,10.5,8.0,9.9,15.99,3.21,98,71,7.399999999999999,84.5,3.2710280373831777
Kab. Cianjur,-6.82,107.14,2014-03-22,27.9,21.8,24.1,9.3,9.3,16.0,9.5,12.02,2.45,98,76,6.099999999999998,87.0,3.795918367346939
Kab. Cianjur,-6.82,107.14,2014-03-23,26.9,22.1,24.1,13.8,13.8,17.0,8.6,12.44,2.5,97,77,4.799999999999997,87.0,5.5200000000000005
Kab. Cianjur,-6.82,107.14,2014-03-24,29.3,22.1,24.7,8.1,8.1,4.0,7.6,17.77,3.58,97,68,7.199999999999999,82.5,2.2625698324022343
Kab. Cianjur,-6.82,107.14,2014-03-25,27.2,22.5,24.4,18.2,18.2,15.0,7.1,13.26,2.69,97,73,4.699999999999999,85.0,6.765799256505576
Kab. Cianjur,-6.82,107.14,2014-03-26,26.7,21.7,23.9,13.5,13.5,15.0,7.6,13.87,2.75,96,77,5.0,86.5,4.909090909090909
Kab. Cianjur,-6.82,107.14,2014-03-27,29.3,21.6,24.8,10.7,10.7,9.0,7.9,17.41,3.54,97,70,7.699999999999999,83.5,3.022598870056497
Kab. Cianjur,-6.82,107.14,2014-03-28,29.6,22.1,25.1,13.9,13.9,11.0,8.8,18.81,3.83,97,74,7.5,85.5,3.629242819843342
Kab. Cianjur,-6.82,107.14,2014-03-29,30.5,21.6,25.0,5.3,5.3,7.0,6.6,19.62,4.01,97,65,8.899999999999999,81.0,1.3216957605985038
Kab. Cianjur,-6.82,107.14,2014-03-30,29.0,22.7,25.1,2.5,2.5,6.0,7.9,19.84,3.99,96,66,6.300000000000001,81.0,0.6265664160401002
Kab. Cianjur,-6.82,107.14,2014-03-31,30.1,21.7,25.1,2.6,2.6,6.0,8.7,21.68,4.36,97,65,8.400000000000002,81.0,0.5963302752293578
Kab. Cianjur,-6.82,107.14,2014-04-01,30.5,21.6,25.2,5.3,5.3,8.0,9.5,19.47,3.96,97,67,8.899999999999999,82.0,1.3383838383838385
Kab. Cianjur,-6.82,107.14,2014-04-02,29.8,22.3,25.1,5.6,5.6,7.0,7.7,18.14,3.72,98,65,7.5,81.5,1.5053763440860213
Kab. Cianjur,-6.82,107.14,2014-04-03,30.6,21.8,25.4,7.4,7.4,6.0,6.1,20.29,4.14,96,66,8.8,81.0,1.7874396135265702
Kab. Cianjur,-6.82,107.14,2014-04-04,29.3,22.4,25.0,7.0,7.0,7.0,7.2,17.78,3.62,96,67,6.900000000000002,81.5,1.9337016574585635
Kab. Cianjur,-6.82,107.14,2014-04-05,30.1,21.9,25.0,13.8,13.8,10.0,7.7,17.98,3.68,97,64,8.200000000000003,80.5,3.75
Kab. Cianjur,-6.82,107.14,2014-04-06,29.0,22.1,24.8,11.8,11.8,14.0,8.0,16.41,3.33,97,69,6.899999999999999,83.0,3.5435435435435436
Kab. Cianjur,-6.82,107.14,2014-04-07,31.0,21.5,24.9,5.2,5.2,3.0,8.0,18.68,3.87,97,63,9.5,80.0,1.3436692506459949
Kab. Cianjur,-6.82,107.14,2014-04-08,30.6,21.8,25.1,5.9,5.9,5.0,7.9,20.5,4.17,98,64,8.8,81.0,1.4148681055155876
Kab. Cianjur,-6.82,107.14,2014-04-09,29.8,22.4,24.7,7.0,7.0,5.0,6.8,15.21,3.2,96,63,7.400000000000002,79.5,2.1875
Kab. Cianjur,-6.82,107.14,2014-04-10,29.4,21.5,24.2,7.5,7.5,7.0,11.8,17.0,3.41,98,70,7.899999999999999,84.0,2.19941348973607
Kab. Cianjur,-6.82,107.14,2014-04-11,29.2,21.6,24.4,12.6,12.6,9.0,7.3,15.87,3.23,94,68,7.599999999999998,81.0,3.900928792569659
Kab. Cianjur,-6.82,107.14,2014-04-12,29.1,21.3,24.2,2.8,2.8,9.0,5.9,16.63,3.37,98,67,7.800000000000001,82.5,0.830860534124629
Kab. Cianjur,-6.82,107.14,2014-04-13,28.5,22.1,24.1,15.6,15.6,18.0,5.4,11.46,2.43,97,68,6.399999999999999,82.5,6.419753086419752
Kab. Cianjur,-6.82,107.14,2014-04-14,28.4,21.8,23.9,14.2,14.2,20.0,6.5,13.48,2.75,96,72,6.599999999999998,84.0,5.163636363636363
Kab. Cianjur,-6.82,107.14,2014-04-15,30.3,21.3,24.9,12.4,12.4,6.0,5.1,15.38,3.25,98,63,9.0,80.5,3.8153846153846156
Kab. Cianjur,-6.82,107.14,2014-04-16,30.4,22.0,24.8,14.0,14.0,10.0,5.8,18.15,3.72,94,63,8.399999999999999,78.5,3.7634408602150535
Kab. Cianjur,-6.82,107.14,2014-04-17,30.4,21.8,24.9,5.2,5.2,5.0,5.4,19.97,4.07,96,60,8.599999999999998,78.0,1.2776412776412776
Kab. Cianjur,-6.82,107.14,2014-04-18,30.2,22.0,24.9,1.2,1.2,5.0,5.8,20.01,4.06,96,62,8.2,79.0,0.2955665024630542
Kab. Cianjur,-6.82,107.14,2014-04-19,30.0,21.9,24.8,1.2,1.2,3.0,5.8,19.53,3.95,96,59,8.100000000000001,77.5,0.30379746835443033
Kab. Cianjur,-6.82,107.14,2014-04-20,29.8,22.1,25.1,26.1,26.1,12.0,7.1,19.57,3.97,96,67,7.699999999999999,81.5,6.574307304785894
Kab. Cianjur,-6.82,107.14,2014-04-21,29.5,22.7,25.0,10.8,10.8,9.0,6.4,14.43,3.01,95,66,6.800000000000001,80.5,3.588039867109635
Kab. Cianjur,-6.82,107.14,2014-04-22,30.4,21.8,25.2,2.9,2.9,9.0,7.6,16.15,3.38,94,64,8.599999999999998,79.0,0.8579881656804734
Kab. Cianjur,-6.82,107.14,2014-04-23,31.1,21.7,25.6,1.7,1.7,4.0,6.5,20.28,4.18,97,60,9.400000000000002,78.5,0.40669856459330145
Kab. Cianjur,-6.82,107.14,2014-04-24,31.0,23.0,26.3,2.1,2.1,2.0,6.1,19.06,3.96,95,59,8.0,77.0,0.5303030303030303
Kab. Cianjur,-6.82,107.14,2014-04-25,31.0,23.5,26.2,9.5,9.5,11.0,4.9,18.83,3.89,92,62,7.5,77.0,2.442159383033419
