nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Cirebon,-6.76,108.55,2014-01-01,28.3,25.1,26.4,4.1,4.1,11.0,15.0,13.68,2.79,94,78,3.1999999999999993,86.0,1.4695340501792113
Kab. Cirebon,-6.76,108.55,2014-01-02,30.5,25.4,27.2,5.9,5.9,7.0,9.8,20.72,4.25,91,69,5.100000000000001,80.0,1.3882352941176472
Kab. Cirebon,-6.76,108.55,2014-01-03,30.6,25.6,27.3,2.6,2.6,5.0,7.7,18.26,3.81,91,68,5.0,79.5,0.6824146981627297
Kab. Cirebon,-6.76,108.55,2014-01-04,29.0,25.5,26.6,24.1,24.1,14.0,7.9,12.15,2.56,92,78,3.5,85.0,9.4140625
Kab. Cirebon,-6.76,108.55,2014-01-05,29.1,25.2,26.5,31.5,31.5,19.0,8.2,17.1,3.5,93,77,3.900000000000002,85.0,9.0
Kab. Cirebon,-6.76,108.55,2014-01-06,29.7,25.0,26.6,19.4,19.4,13.0,15.8,16.11,3.3,93,73,4.699999999999999,83.0,5.878787878787879
Kab. Cirebon,-6.76,108.55,2014-01-07,29.5,25.0,27.1,2.9,2.9,9.0,14.2,19.13,3.87,94,75,4.5,84.5,0.7493540051679586
Kab. Cirebon,-6.76,108.55,2014-01-08,28.3,25.4,26.2,18.1,18.1,20.0,13.2,15.04,3.04,93,79,2.900000000000002,86.0,5.953947368421053
Kab. Cirebon,-6.76,108.55,2014-01-09,30.6,25.2,27.3,9.8,9.8,8.0,6.9,18.36,3.86,92,68,5.400000000000002,80.0,2.538860103626943
Kab. Cirebon,-6.76,108.55,2014-01-10,30.0,25.4,27.0,17.6,17.6,11.0,10.6,16.28,3.39,91,71,4.600000000000001,81.0,5.191740412979351
Kab. Cirebon,-6.76,108.55,2014-01-11,29.4,24.8,26.8,9.7,9.7,12.0,11.7,19.52,3.88,94,75,4.599999999999998,84.5,2.5
Kab. Cirebon,-6.76,108.55,2014-01-12,28.2,24.6,25.9,8.1,8.1,16.0,12.7,14.5,2.85,94,79,3.599999999999998,86.5,2.8421052631578947
Kab. Cirebon,-6.76,108.55,2014-01-13,27.7,24.8,26.0,30.0,30.0,21.0,13.0,5.44,1.38,93,81,2.8999999999999986,87.0,21.73913043478261
Kab. Cirebon,-6.76,108.55,2014-01-14,30.0,24.9,26.5,26.5,26.5,16.0,12.8,18.52,3.78,95,71,5.100000000000001,83.0,7.010582010582011
Kab. Cirebon,-6.76,108.55,2014-01-15,29.6,25.0,26.4,19.8,19.8,13.0,16.9,16.73,3.47,94,71,4.600000000000001,82.5,5.706051873198847
Kab. Cirebon,-6.76,108.55,2014-01-16,27.8,24.8,25.9,37.4,37.4,23.0,17.4,13.71,2.77,94,78,3.0,86.0,13.501805054151625
Kab. Cirebon,-6.76,108.55,2014-01-17,27.1,24.7,25.4,26.1,26.1,24.0,18.9,6.37,1.51,95,82,2.400000000000002,88.5,17.284768211920532
Kab. Cirebon,-6.76,108.55,2014-01-18,27.1,24.0,25.2,15.3,15.3,24.0,17.8,10.48,2.17,97,82,3.1000000000000014,89.5,7.050691244239632
Kab. Cirebon,-6.76,108.55,2014-01-19,27.7,24.3,25.4,10.5,10.5,23.0,22.3,10.51,2.25,95,77,3.3999999999999986,86.0,4.666666666666667
Kab. Cirebon,-6.76,108.55,2014-01-20,27.0,24.0,25.5,10.7,10.7,22.0,20.5,13.59,2.68,95,82,3.0,88.5,3.9925373134328352
Kab. Cirebon,-6.76,108.55,2014-01-21,26.1,24.2,25.0,9.4,9.4,19.0,23.7,8.64,1.82,94,88,1.9000000000000021,91.0,5.164835164835165
Kab. Cirebon,-6.76,108.55,2014-01-22,28.4,24.2,25.9,5.8,5.8,16.0,23.2,18.6,3.77,93,71,4.199999999999999,82.0,1.5384615384615383
Kab. Cirebon,-6.76,108.55,2014-01-23,26.5,24.6,25.2,5.2,5.2,19.0,21.4,11.45,2.42,93,82,1.8999999999999986,87.5,2.1487603305785123
