nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Garut,-7.23,107.9,2014-01-01,24.1,20.3,21.9,11.3,11.3,17.0,3.6,9.08,1.85,98,83,3.8000000000000007,90.5,6.108108108108108
Kab. Garut,-7.23,107.9,2014-01-02,28.6,20.2,23.1,17.3,17.3,6.0,6.3,19.12,3.85,98,67,8.400000000000002,82.5,4.4935064935064934
Kab. Garut,-7.23,107.9,2014-01-03,28.0,20.6,23.3,1.2,1.2,7.0,5.9,19.38,3.88,97,63,7.399999999999999,80.0,0.30927835051546393
Kab. Garut,-7.23,107.9,2014-01-04,26.5,21.2,23.0,12.5,12.5,14.0,8.6,11.12,2.32,97,73,5.300000000000001,85.0,5.387931034482759
Kab. Garut,-7.23,107.9,2014-01-05,27.4,20.8,22.9,9.0,9.0,11.0,7.7,16.35,3.3,97,73,6.599999999999998,85.0,2.7272727272727275
Kab. Garut,-7.23,107.9,2014-01-06,26.8,20.3,22.5,4.4,4.4,16.0,5.9,9.82,2.08,97,72,6.5,84.5,2.1153846153846154
Kab. Garut,-7.23,107.9,2014-01-07,28.3,19.1,22.6,36.3,36.3,15.0,4.3,16.1,3.28,99,70,9.2,84.5,11.067073170731707
Kab. Garut,-7.23,107.9,2014-01-08,24.5,20.0,21.6,18.6,18.6,23.0,3.7,12.14,2.45,100,82,4.5,91.0,7.591836734693878
Kab. Garut,-7.23,107.9,2014-01-09,28.8,19.9,23.8,4.3,4.3,7.0,6.4,20.79,4.23,100,58,8.900000000000002,79.0,1.016548463356974
Kab. Garut,-7.23,107.9,2014-01-10,27.7,20.4,23.5,1.7,1.7,6.0,6.2,17.92,3.66,94,60,7.300000000000001,77.0,0.46448087431693985
Kab. Garut,-7.23,107.9,2014-01-11,28.5,19.9,23.3,15.6,15.6,7.0,6.1,16.38,3.37,99,66,8.600000000000001,82.5,4.629080118694362
Kab. Garut,-7.23,107.9,2014-01-12,26.8,19.9,22.0,28.7,28.7,14.0,5.8,13.38,2.66,99,73,6.900000000000002,86.0,10.789473684210526
Kab. Garut,-7.23,107.9,2014-01-13,24.5,20.4,22.1,38.8,38.8,24.0,3.6,4.82,1.13,100,80,4.100000000000001,90.0,34.336283185840706
Kab. Garut,-7.23,107.9,2014-01-14,26.9,19.9,22.9,16.0,16.0,16.0,6.9,15.87,3.2,99,74,7.0,86.5,5.0
Kab. Garut,-7.23,107.9,2014-01-15,25.8,19.9,22.3,20.0,20.0,13.0,6.6,14.67,2.93,99,72,5.900000000000002,85.5,6.8259385665529
Kab. Garut,-7.23,107.9,2014-01-16,26.2,20.1,22.5,40.1,40.1,18.0,4.3,15.2,3.02,100,75,6.099999999999998,87.5,13.27814569536424
Kab. Garut,-7.23,107.9,2014-01-17,23.6,19.9,21.8,24.7,24.7,16.0,5.8,7.53,1.55,100,84,3.700000000000003,92.0,15.93548387096774
Kab. Garut,-7.23,107.9,2014-01-18,23.4,20.1,21.6,18.4,18.4,22.0,5.8,7.86,1.6,100,92,3.299999999999997,96.0,11.499999999999998
Kab. Garut,-7.23,107.9,2014-01-19,25.9,19.5,21.8,13.2,13.2,17.0,6.2,14.64,2.86,100,80,6.399999999999999,90.0,4.615384615384615
Kab. Garut,-7.23,107.9,2014-01-20,24.9,19.3,22.0,12.7,12.7,16.0,5.4,14.16,2.78,99,77,5.599999999999998,88.0,4.568345323741007
