nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Indramayu,-6.33,108.32,2014-01-01,29.5,24.8,26.4,3.6,3.6,8.0,13.5,15.23,3.07,95,75,4.699999999999999,85.0,1.1726384364820848
Kab. Indramayu,-6.33,108.32,2014-01-02,32.4,24.8,27.4,9.9,9.9,11.0,13.4,21.03,4.43,94,62,7.599999999999998,78.0,2.234762979683973
Kab. Indramayu,-6.33,108.32,2014-01-03,32.0,24.8,27.3,5.1,5.1,10.0,8.1,19.53,4.1,94,62,7.199999999999999,78.0,1.2439024390243902
Kab. Indramayu,-6.33,108.32,2014-01-04,30.5,24.8,26.8,21.9,21.9,15.0,12.3,11.62,2.53,96,74,5.699999999999999,85.0,8.65612648221344
Kab. Indramayu,-6.33,108.32,2014-01-05,31.2,24.3,26.6,16.2,16.2,13.0,8.8,16.07,3.4,97,68,6.899999999999999,82.5,4.764705882352941
Kab. Indramayu,-6.33,108.32,2014-01-06,31.9,24.5,27.0,4.8,4.8,6.0,21.1,17.46,3.69,96,65,7.399999999999999,80.5,1.3008130081300813
Kab. Indramayu,-6.33,108.32,2014-01-07,31.6,24.4,27.4,1.6,1.6,9.0,17.6,17.54,3.8,94,66,7.200000000000003,80.0,0.4210526315789474
Kab. Indramayu,-6.33,108.32,2014-01-08,28.5,24.5,25.9,11.4,11.4,15.0,12.5,15.57,3.06,97,82,4.0,89.5,3.7254901960784315
Kab. Indramayu,-6.33,108.32,2014-01-09,32.6,24.7,27.6,15.2,15.2,7.0,5.5,19.69,4.18,96,59,7.900000000000002,77.5,3.6363636363636362
Kab. Indramayu,-6.33,108.32,2014-01-10,31.8,25.2,27.4,12.0,12.0,14.0,9.3,17.13,3.63,94,72,6.600000000000001,83.0,3.3057851239669422
Kab. Indramayu,-6.33,108.32,2014-01-11,31.5,24.0,27.5,13.6,13.6,10.0,11.9,20.19,4.18,97,68,7.5,82.5,3.2535885167464116
Kab. Indramayu,-6.33,108.32,2014-01-12,28.2,23.8,25.6,16.7,16.7,18.0,12.4,13.77,2.74,96,78,4.399999999999999,87.0,6.094890510948904
Kab. Indramayu,-6.33,108.32,2014-01-13,28.3,23.7,25.6,45.1,45.1,24.0,12.2,5.56,1.36,96,81,4.600000000000001,88.5,33.161764705882355
