nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Karawang,-6.32,107.34,2014-01-01,29.1,24.1,26.2,7.4,7.4,19.0,13.5,16.24,3.29,95,76,5.0,85.5,2.2492401215805473
Kab. Karawang,-6.32,107.34,2014-01-02,30.9,24.1,26.8,5.2,5.2,11.0,15.3,23.18,4.68,96,65,6.799999999999997,80.5,1.1111111111111112
Kab. Karawang,-6.32,107.34,2014-01-03,30.8,24.2,26.9,7.7,7.7,9.0,13.5,22.63,4.59,95,64,6.600000000000001,79.5,1.6775599128540306
Kab. Karawang,-6.32,107.34,2014-01-04,30.8,24.7,27.1,9.0,9.0,13.0,21.3,16.87,3.69,94,70,6.100000000000001,82.0,2.4390243902439024
Kab. Karawang,-6.32,107.34,2014-01-05,31.0,24.4,27.0,2.2,2.2,3.0,19.4,19.14,4.34,93,65,6.600000000000001,79.0,0.5069124423963134
Kab. Karawang,-6.32,107.34,2014-01-06,29.5,24.4,26.7,2.4,2.4,5.0,22.9,17.32,3.79,90,68,5.100000000000001,79.0,0.6332453825857519
Kab. Karawang,-6.32,107.34,2014-01-07,29.9,24.5,26.7,2.9,2.9,7.0,16.9,13.76,3.11,93,69,5.399999999999999,81.0,0.932475884244373
Kab. Karawang,-6.32,107.34,2014-01-08,28.4,24.0,25.4,16.0,16.0,16.0,11.2,16.0,3.1,96,75,4.399999999999999,85.5,5.161290322580645
Kab. Karawang,-6.32,107.34,2014-01-09,31.9,24.2,27.3,9.0,9.0,5.0,15.2,20.39,4.41,95,59,7.699999999999999,77.0,2.0408163265306123
Kab. Karawang,-6.32,107.34,2014-01-10,31.2,24.1,26.9,20.9,20.9,8.0,8.9,19.12,4.02,92,64,7.099999999999998,78.0,5.199004975124378
Kab. Karawang,-6.32,107.34,2014-01-11,30.2,23.8,26.5,18.7,18.7,14.0,15.1,19.7,3.92,95,69,6.399999999999999,82.0,4.770408163265306
Kab. Karawang,-6.32,107.34,2014-01-12,27.9,23.7,25.1,24.2,24.2,24.0,11.2,9.85,2.02,96,81,4.199999999999999,88.5,11.98019801980198
Kab. Karawang,-6.32,107.34,2014-01-13,27.5,23.6,25.2,43.2,43.2,24.0,14.1,5.89,1.39,96,82,3.8999999999999986,89.0,31.079136690647488
Kab. Karawang,-6.32,107.34,2014-01-14,30.2,23.9,26.5,14.3,14.3,21.0,20.7,20.39,4.12,95,66,6.300000000000001,80.5,3.470873786407767
Kab. Karawang,-6.32,107.34,2014-01-15,28.9,24.1,25.8,3.9,3.9,13.0,21.6,16.1,3.35,95,69,4.799999999999997,82.0,1.164179104477612
Kab. Karawang,-6.32,107.34,2014-01-16,28.1,24.0,25.7,18.2,18.2,22.0,22.9,15.92,3.11,96,78,4.100000000000001,87.0,5.852090032154341
Kab. Karawang,-6.32,107.34,2014-01-17,26.9,23.8,25.1,40.8,40.8,24.0,18.5,11.16,2.25,96,81,3.099999999999998,88.5,18.133333333333333
Kab. Karawang,-6.32,107.34,2014-01-18,27.8,23.9,25.3,30.2,30.2,24.0,19.6,13.08,2.59,97,79,3.900000000000002,88.0,11.660231660231661
Kab. Karawang,-6.32,107.34,2014-01-19,27.0,23.7,24.9,37.0,37.0,24.0,18.4,7.46,1.67,97,81,3.3000000000000007,89.0,22.155688622754493
Kab. Karawang,-6.32,107.34,2014-01-20,27.5,23.4,25.2,31.4,31.4,22.0,24.1,15.57,2.97,94,78,4.100000000000001,86.0,10.572390572390571
Kab. Karawang,-6.32,107.34,2014-01-21,25.1,23.2,24.2,21.2,21.2,24.0,20.1,4.35,1.07,96,90,1.9000000000000021,93.0,19.813084112149532
Kab. Karawang,-6.32,107.34,2014-01-22,28.1,23.7,25.6,5.2,5.2,17.0,21.6,18.66,3.72,92,71,4.400000000000002,81.5,1.3978494623655913
Kab. Karawang,-6.32,107.34,2014-01-23,26.4,23.8,24.7,15.9,15.9,24.0,19.2,8.7,1.88,96,79,2.599999999999998,87.5,8.457446808510639
Kab. Karawang,-6.32,107.34,2014-01-24,27.9,23.6,25.1,14.7,14.7,24.0,19.2,18.38,3.38,96,75,4.299999999999997,85.5,4.349112426035503
Kab. Karawang,-6.32,107.34,2014-01-25,28.5,23.7,25.6,10.0,10.0,19.0,15.6,19.55,3.78,94,75,4.800000000000001,84.5,2.6455026455026456
Kab. Karawang,-6.32,107.34,2014-01-26,29.7,23.9,26.4,6.9,6.9,14.0,17.3,22.48,4.44,93,67,5.800000000000001,80.0,1.554054054054054
Kab. Karawang,-6.32,107.34,2014-01-27,28.1,24.4,25.9,15.8,15.8,20.0,17.7,18.33,3.45,95,80,3.700000000000003,87.5,4.579710144927536
Kab. Karawang,-6.32,107.34,2014-01-28,27.2,24.2,25.5,19.7,19.7,24.0,16.6,14.57,2.8,95,79,3.0,87.0,7.035714285714286
Kab. Karawang,-6.32,107.34,2014-01-29,27.8,23.7,25.3,14.7,14.7,24.0,16.1,13.18,2.66,97,75,4.100000000000001,86.0,5.526315789473684
Kab. Karawang,-6.32,107.34,2014-01-30,28.8,24.5,26.2,5.4,5.4,21.0,21.1,16.83,3.49,94,71,4.300000000000001,82.5,1.5472779369627507
Kab. Karawang,-6.32,107.34,2014-01-31,28.0,24.5,26.0,6.1,6.1,21.0,22.9,18.5,3.67,94,73,3.5,83.5,1.662125340599455
Kab. Karawang,-6.32,107.34,2014-02-01,29.0,24.0,26.1,3.5,3.5,15.0,22.7,18.69,3.66,95,75,5.0,85.0,0.9562841530054644
Kab. Karawang,-6.32,107.34,2014-02-02,26.9,24.4,25.4,14.2,14.2,22.0,20.9,17.03,3.22,95,78,2.5,86.5,4.409937888198757
Kab. Karawang,-6.32,107.34,2014-02-03,28.1,23.8,25.6,22.2,22.2,23.0,16.8,16.67,3.22,96,77,4.300000000000001,86.5,6.894409937888198
Kab. Karawang,-6.32,107.34,2014-02-04,28.2,24.2,25.8,17.6,17.6,18.0,18.8,11.92,2.46,95,75,4.0,85.0,7.154471544715448
Kab. Karawang,-6.32,107.34,2014-02-05,28.1,24.7,26.2,8.3,8.3,19.0,14.2,15.72,3.09,95,80,3.400000000000002,87.5,2.6860841423948223
Kab. Karawang,-6.32,107.34,2014-02-06,29.3,24.7,26.5,5.4,5.4,13.0,17.1,19.64,3.88,94,73,4.600000000000001,83.5,1.3917525773195878
Kab. Karawang,-6.32,107.34,2014-02-07,29.5,24.5,26.6,6.8,6.8,15.0,18.7,18.13,3.59,95,77,5.0,86.0,1.894150417827298
Kab. Karawang,-6.32,107.34,2014-02-08,29.1,24.6,26.3,21.6,21.6,19.0,14.8,13.96,2.87,95,75,4.5,85.0,7.526132404181185
Kab. Karawang,-6.32,107.34,2014-02-09,27.6,24.3,25.6,25.5,25.5,24.0,15.3,10.24,2.14,97,80,3.3000000000000007,88.5,11.91588785046729
