nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Kuningan,-6.98,108.48,2014-01-01,25.0,21.6,23.0,9.7,9.7,18.0,5.1,11.68,2.32,98,81,3.3999999999999986,89.5,4.181034482758621
Kab. Kuningan,-6.98,108.48,2014-01-02,29.2,21.5,24.1,6.8,6.8,7.0,4.7,20.03,4.01,97,66,7.699999999999999,81.5,1.6957605985037407
Kab. Kuningan,-6.98,108.48,2014-01-03,29.3,22.2,24.3,1.8,1.8,7.0,5.4,17.29,3.49,97,63,7.100000000000001,80.0,0.5157593123209169
Kab. Kuningan,-6.98,108.48,2014-01-04,27.4,21.8,23.6,28.1,28.1,16.0,6.5,12.19,2.5,97,73,5.599999999999998,85.0,11.24
Kab. Kuningan,-6.98,108.48,2014-01-05,27.6,21.2,23.4,42.2,42.2,14.0,6.6,17.36,3.46,98,76,6.400000000000002,87.0,12.196531791907516
Kab. Kuningan,-6.98,108.48,2014-01-06,27.9,21.1,23.4,29.8,29.8,18.0,3.7,14.38,2.9,99,73,6.799999999999997,86.0,10.275862068965518
Kab. Kuningan,-6.98,108.48,2014-01-07,28.5,20.8,23.9,9.4,9.4,10.0,7.2,18.86,3.74,99,70,7.699999999999999,84.5,2.513368983957219
Kab. Kuningan,-6.98,108.48,2014-01-08,26.0,21.4,22.9,20.2,20.2,17.0,4.3,15.21,3.0,98,80,4.600000000000001,89.0,6.733333333333333
Kab. Kuningan,-6.98,108.48,2014-01-09,29.5,21.0,24.4,14.6,14.6,7.0,7.3,18.93,3.86,98,64,8.5,81.0,3.7823834196891193
Kab. Kuningan,-6.98,108.48,2014-01-10,29.4,22.4,24.3,20.5,20.5,10.0,5.7,16.36,3.35,95,62,7.0,78.5,6.119402985074626
Kab. Kuningan,-6.98,108.48,2014-01-11,28.7,21.0,24.2,12.4,12.4,8.0,7.7,17.94,3.6,99,69,7.699999999999999,84.0,3.4444444444444446
Kab. Kuningan,-6.98,108.48,2014-01-12,27.4,21.0,22.8,11.4,11.4,11.0,9.0,14.9,2.84,99,72,6.399999999999999,85.5,4.014084507042254
Kab. Kuningan,-6.98,108.48,2014-01-13,25.8,21.3,23.0,22.3,22.3,22.0,4.2,5.71,1.29,99,79,4.5,89.0,17.286821705426355
Kab. Kuningan,-6.98,108.48,2014-01-14,28.1,21.3,23.6,33.5,33.5,18.0,3.5,17.42,3.51,99,68,6.800000000000001,83.5,9.544159544159545
Kab. Kuningan,-6.98,108.48,2014-01-15,27.4,21.3,23.3,28.5,28.5,14.0,3.8,17.05,3.4,99,68,6.099999999999998,83.5,8.382352941176471
Kab. Kuningan,-6.98,108.48,2014-01-16,26.1,21.3,23.1,37.1,37.1,22.0,5.6,14.83,2.96,99,76,4.800000000000001,87.5,12.533783783783784
Kab. Kuningan,-6.98,108.48,2014-01-17,24.6,21.3,22.3,30.5,30.5,24.0,7.2,6.57,1.37,99,81,3.3000000000000007,90.0,22.262773722627735
Kab. Kuningan,-6.98,108.48,2014-01-18,24.1,20.8,22.0,14.8,14.8,24.0,7.1,8.51,1.69,100,85,3.3000000000000007,92.5,8.757396449704142
Kab. Kuningan,-6.98,108.48,2014-01-19,25.7,20.6,22.4,5.4,5.4,14.0,12.6,12.58,2.44,99,73,5.099999999999998,86.0,2.2131147540983607
Kab. Kuningan,-6.98,108.48,2014-01-20,24.8,20.1,22.4,7.9,7.9,16.0,9.8,13.58,2.56,99,81,4.699999999999999,90.0,3.0859375
Kab. Kuningan,-6.98,108.48,2014-01-21,23.9,20.3,21.8,6.1,6.1,13.0,10.8,7.93,1.56,98,87,3.599999999999998,92.5,3.9102564102564097
Kab. Kuningan,-6.98,108.48,2014-01-22,27.2,20.3,23.1,8.2,8.2,12.0,11.6,17.38,3.44,99,67,6.899999999999999,83.0,2.383720930232558
Kab. Kuningan,-6.98,108.48,2014-01-23,23.8,20.9,22.0,5.7,5.7,11.0,11.7,11.24,2.18,99,80,2.900000000000002,89.5,2.614678899082569
