nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Majalengka,-6.84,108.23,2014-01-01,28.8,23.9,25.6,4.0,4.0,10.0,7.1,13.9,2.81,98,76,4.900000000000002,87.0,1.4234875444839858
Kab. Majalengka,-6.84,108.23,2014-01-02,32.1,23.8,26.6,11.6,11.6,10.0,8.3,19.83,4.16,96,64,8.3,80.0,2.7884615384615383
Kab. Majalengka,-6.84,108.23,2014-01-03,32.1,24.3,26.9,2.6,2.6,7.0,5.4,18.7,3.92,96,61,7.800000000000001,78.5,0.663265306122449
Kab. Majalengka,-6.84,108.23,2014-01-04,30.2,24.2,26.1,27.6,27.6,10.0,9.1,11.57,2.48,97,72,6.0,84.5,11.129032258064516
Kab. Majalengka,-6.84,108.23,2014-01-05,31.0,23.5,25.8,25.8,25.8,15.0,4.9,17.23,3.57,99,70,7.5,84.5,7.226890756302521
Kab. Majalengka,-6.84,108.23,2014-01-06,31.1,23.4,26.0,10.1,10.1,6.0,10.5,15.31,3.19,99,67,7.700000000000003,83.0,3.166144200626959
Kab. Majalengka,-6.84,108.23,2014-01-07,31.0,23.2,26.5,1.7,1.7,5.0,12.0,18.41,3.85,98,69,7.800000000000001,83.5,0.44155844155844154
Kab. Majalengka,-6.84,108.23,2014-01-08,28.3,24.0,25.2,20.6,20.6,15.0,7.9,14.76,2.95,99,78,4.300000000000001,88.5,6.983050847457627
Kab. Majalengka,-6.84,108.23,2014-01-09,32.4,23.7,27.0,17.1,17.1,9.0,4.8,19.08,4.05,98,60,8.7,79.0,4.222222222222222
Kab. Majalengka,-6.84,108.23,2014-01-10,31.8,24.7,26.5,23.6,23.6,11.0,7.1,16.26,3.46,95,66,7.100000000000001,80.5,6.820809248554914
Kab. Majalengka,-6.84,108.23,2014-01-11,31.4,23.2,26.5,16.7,16.7,9.0,8.9,18.87,3.89,99,67,8.2,83.0,4.29305912596401
Kab. Majalengka,-6.84,108.23,2014-01-12,27.7,23.3,24.8,13.0,13.0,16.0,8.8,13.43,2.66,99,78,4.399999999999999,88.5,4.887218045112782
Kab. Majalengka,-6.84,108.23,2014-01-13,27.7,23.1,24.9,32.0,32.0,21.0,6.2,5.64,1.3,98,82,4.599999999999998,90.0,24.615384615384613
Kab. Majalengka,-6.84,108.23,2014-01-14,31.2,23.4,25.9,24.5,24.5,15.0,9.0,18.6,3.82,98,68,7.800000000000001,83.0,6.4136125654450264
Kab. Majalengka,-6.84,108.23,2014-01-15,30.0,23.6,25.4,16.9,16.9,13.0,11.6,16.3,3.33,98,66,6.399999999999999,82.0,5.075075075075074
Kab. Majalengka,-6.84,108.23,2014-01-16,27.7,23.4,24.9,32.6,32.6,23.0,12.5,12.57,2.55,99,76,4.300000000000001,87.5,12.784313725490197
Kab. Majalengka,-6.84,108.23,2014-01-17,26.4,23.4,24.3,18.1,18.1,24.0,12.3,5.61,1.22,99,86,3.0,92.5,14.836065573770494
