nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Pangandaran,-7.68,108.65,2014-01-01,27.7,24.8,25.8,6.8,6.8,16.0,6.0,6.68,1.49,94,79,2.8999999999999986,86.5,4.563758389261745
Kab. Pangandaran,-7.68,108.65,2014-01-02,30.6,24.2,26.6,1.5,1.5,7.0,11.9,20.22,4.08,94,68,6.400000000000002,81.0,0.3676470588235294
Kab. Pangandaran,-7.68,108.65,2014-01-03,30.3,25.3,26.9,0.8,0.8,7.0,10.7,16.17,3.42,91,69,5.0,80.0,0.23391812865497078
Kab. Pangandaran,-7.68,108.65,2014-01-04,28.6,24.6,26.2,14.7,14.7,21.0,10.4,11.64,2.43,94,81,4.0,87.5,6.049382716049382
Kab. Pangandaran,-7.68,108.65,2014-01-05,29.7,24.3,26.2,7.9,7.9,24.0,16.6,13.69,2.81,94,80,5.399999999999999,87.0,2.811387900355872
Kab. Pangandaran,-7.68,108.65,2014-01-06,29.5,24.1,26.3,9.4,9.4,22.0,13.0,11.13,2.48,94,74,5.399999999999999,84.0,3.7903225806451615
Kab. Pangandaran,-7.68,108.65,2014-01-07,31.2,24.0,26.6,10.1,10.1,9.0,8.6,19.71,4.04,96,71,7.199999999999999,83.5,2.5
Kab. Pangandaran,-7.68,108.65,2014-01-08,28.8,24.0,26.0,3.2,3.2,9.0,7.2,18.05,3.64,96,76,4.800000000000001,86.0,0.8791208791208791
Kab. Pangandaran,-7.68,108.65,2014-01-09,30.7,23.9,26.8,5.3,5.3,9.0,11.0,18.81,3.89,95,72,6.800000000000001,83.5,1.3624678663239074
Kab. Pangandaran,-7.68,108.65,2014-01-10,30.2,25.4,27.2,3.6,3.6,9.0,10.0,17.89,3.67,92,74,4.800000000000001,83.0,0.9809264305177112
Kab. Pangandaran,-7.68,108.65,2014-01-11,30.4,24.4,27.2,19.9,19.9,13.0,7.2,16.65,3.49,96,77,6.0,86.5,5.702005730659025
Kab. Pangandaran,-7.68,108.65,2014-01-12,30.9,24.3,26.3,30.3,30.3,10.0,8.4,17.51,3.57,96,72,6.599999999999998,84.0,8.487394957983193
Kab. Pangandaran,-7.68,108.65,2014-01-13,28.8,24.5,26.4,25.7,25.7,24.0,7.2,6.79,1.65,96,76,4.300000000000001,86.0,15.575757575757576
Kab. Pangandaran,-7.68,108.65,2014-01-14,29.9,24.3,26.9,0.5,0.5,4.0,10.9,14.59,3.1,96,73,5.599999999999998,84.5,0.16129032258064516
Kab. Pangandaran,-7.68,108.65,2014-01-15,29.5,24.5,26.4,7.9,7.9,16.0,14.3,15.46,3.25,94,77,5.0,85.5,2.430769230769231
Kab. Pangandaran,-7.68,108.65,2014-01-16,29.9,24.5,26.5,10.4,10.4,17.0,12.0,16.55,3.46,93,71,5.399999999999999,82.0,3.0057803468208095
