nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Purwakarta,-6.55,107.44,2014-01-01,29.1,24.2,26.0,3.5,3.5,10.0,9.8,16.25,3.25,97,77,4.900000000000002,87.0,1.0769230769230769
Kab. Purwakarta,-6.55,107.44,2014-01-02,31.7,24.1,27.0,4.5,4.5,9.0,12.3,22.39,4.61,98,64,7.599999999999998,81.0,0.9761388286334056
Kab. Purwakarta,-6.55,107.44,2014-01-03,31.5,24.4,27.0,4.0,4.0,9.0,10.7,21.37,4.43,97,62,7.100000000000001,79.5,0.9029345372460498
Kab. Purwakarta,-6.55,107.44,2014-01-04,31.4,24.4,27.1,1.8,1.8,8.0,14.5,12.47,2.79,96,66,7.0,81.0,0.6451612903225806
Kab. Purwakarta,-6.55,107.44,2014-01-05,31.7,24.2,26.9,2.6,2.6,4.0,12.3,18.06,3.88,95,66,7.5,80.5,0.6701030927835052
Kab. Purwakarta,-6.55,107.44,2014-01-06,31.2,23.8,26.6,1.0,1.0,3.0,18.9,18.16,3.89,94,65,7.399999999999999,79.5,0.2570694087403599
Kab. Purwakarta,-6.55,107.44,2014-01-07,30.9,23.4,26.6,0.9,0.9,3.0,14.7,14.16,3.13,95,65,7.5,80.0,0.28753993610223644
Kab. Purwakarta,-6.55,107.44,2014-01-08,28.4,23.4,25.1,19.7,19.7,14.0,6.9,14.91,2.93,99,82,5.0,90.5,6.723549488054607
Kab. Purwakarta,-6.55,107.44,2014-01-09,33.1,24.2,27.6,7.5,7.5,4.0,8.7,17.5,3.85,98,54,8.900000000000002,76.0,1.948051948051948
Kab. Purwakarta,-6.55,107.44,2014-01-10,32.2,24.0,26.9,17.6,17.6,7.0,8.3,17.37,3.73,94,62,8.200000000000003,78.0,4.718498659517427
Kab. Purwakarta,-6.55,107.44,2014-01-11,30.6,23.7,26.7,11.7,11.7,11.0,13.3,18.12,3.71,99,71,6.900000000000002,85.0,3.153638814016172
Kab. Purwakarta,-6.55,107.44,2014-01-12,28.4,23.6,25.0,17.9,17.9,17.0,9.7,10.73,2.23,96,79,4.799999999999997,87.5,8.026905829596412
Kab. Purwakarta,-6.55,107.44,2014-01-13,27.7,23.5,25.3,35.8,35.8,22.0,9.0,7.04,1.59,96,80,4.199999999999999,88.0,22.515723270440247
Kab. Purwakarta,-6.55,107.44,2014-01-14,31.2,23.7,26.3,7.7,7.7,14.0,17.4,19.57,4.0,98,65,7.5,81.5,1.925
Kab. Purwakarta,-6.55,107.44,2014-01-15,29.6,23.8,25.6,4.3,4.3,9.0,15.9,17.14,3.45,96,69,5.800000000000001,82.5,1.2463768115942029
Kab. Purwakarta,-6.55,107.44,2014-01-16,28.1,23.6,25.3,22.8,22.8,14.0,18.6,13.66,2.69,99,76,4.5,87.5,8.475836431226766
Kab. Purwakarta,-6.55,107.44,2014-01-17,26.5,23.6,24.8,29.8,29.8,24.0,13.1,7.95,1.7,99,82,2.8999999999999986,90.5,17.529411764705884
Kab. Purwakarta,-6.55,107.44,2014-01-18,27.4,23.6,24.8,15.8,15.8,23.0,14.1,8.82,1.81,99,84,3.799999999999997,91.5,8.7292817679558
Kab. Purwakarta,-6.55,107.44,2014-01-19,27.0,23.1,24.5,17.2,17.2,21.0,12.0,6.14,1.41,98,80,3.8999999999999986,89.0,12.198581560283689
Kab. Purwakarta,-6.55,107.44,2014-01-20,26.5,22.8,24.7,12.2,12.2,11.0,18.1,12.7,2.43,98,83,3.6999999999999993,90.5,5.020576131687243
Kab. Purwakarta,-6.55,107.44,2014-01-21,25.3,22.8,23.9,12.1,12.1,19.0,14.2,4.71,1.04,97,89,2.5,93.0,11.634615384615383
Kab. Purwakarta,-6.55,107.44,2014-01-22,28.6,23.0,25.4,4.2,4.2,16.0,16.6,18.91,3.75,97,69,5.600000000000001,83.0,1.12
Kab. Purwakarta,-6.55,107.44,2014-01-23,25.6,23.5,24.1,5.3,5.3,17.0,13.2,6.91,1.46,98,85,2.1000000000000014,91.5,3.6301369863013697
Kab. Purwakarta,-6.55,107.44,2014-01-24,28.1,23.0,24.8,9.5,9.5,17.0,15.6,16.86,3.16,98,77,5.100000000000001,87.5,3.0063291139240507
Kab. Purwakarta,-6.55,107.44,2014-01-25,28.3,23.1,25.3,2.5,2.5,8.0,13.7,15.55,3.09,99,72,5.199999999999999,85.5,0.8090614886731392
Kab. Purwakarta,-6.55,107.44,2014-01-26,30.4,23.6,26.4,3.2,3.2,6.0,14.5,21.48,4.39,97,64,6.799999999999997,80.5,0.7289293849658315
Kab. Purwakarta,-6.55,107.44,2014-01-27,29.0,24.4,26.0,17.4,17.4,13.0,15.1,17.18,3.36,96,74,4.600000000000001,85.0,5.178571428571428
Kab. Purwakarta,-6.55,107.44,2014-01-28,27.3,24.2,25.3,6.6,6.6,19.0,12.5,11.39,2.28,96,78,3.1000000000000014,87.0,2.8947368421052633
Kab. Purwakarta,-6.55,107.44,2014-01-29,27.4,23.4,25.1,5.6,5.6,18.0,11.8,10.43,2.15,98,79,4.0,88.5,2.6046511627906974
Kab. Purwakarta,-6.55,107.44,2014-01-30,29.1,24.3,26.1,2.3,2.3,11.0,18.2,16.43,3.33,95,74,4.800000000000001,84.5,0.6906906906906907
Kab. Purwakarta,-6.55,107.44,2014-01-31,28.0,24.5,25.8,3.5,3.5,13.0,19.1,15.65,3.13,96,77,3.5,86.5,1.1182108626198084
Kab. Purwakarta,-6.55,107.44,2014-02-01,29.5,23.7,25.9,3.8,3.8,9.0,19.1,17.19,3.42,98,74,5.800000000000001,86.0,1.1111111111111112
Kab. Purwakarta,-6.55,107.44,2014-02-02,26.9,23.7,25.0,13.5,13.5,13.0,14.8,13.32,2.6,98,82,3.1999999999999993,90.0,5.1923076923076925
Kab. Purwakarta,-6.55,107.44,2014-02-03,28.5,23.2,25.1,9.9,9.9,14.0,12.4,13.82,2.76,99,76,5.300000000000001,87.5,3.586956521739131
Kab. Purwakarta,-6.55,107.44,2014-02-04,28.0,23.9,25.4,10.3,10.3,16.0,14.2,9.84,2.05,99,78,4.100000000000001,88.5,5.02439024390244
