nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Subang,-6.57,107.76,2014-01-01,29.0,24.2,25.9,3.6,3.6,9.0,11.9,16.5,3.25,97,78,4.800000000000001,87.5,1.1076923076923078
Kab. Subang,-6.57,107.76,2014-01-02,31.6,24.1,26.9,9.9,9.9,12.0,12.5,22.17,4.55,97,63,7.5,80.0,2.175824175824176
Kab. Subang,-6.57,107.76,2014-01-03,31.4,24.3,26.8,4.5,4.5,11.0,9.0,21.17,4.33,96,64,7.099999999999998,80.0,1.0392609699769053
Kab. Subang,-6.57,107.76,2014-01-04,30.8,24.4,26.6,6.7,6.7,10.0,14.8,11.49,2.55,94,68,6.400000000000002,81.0,2.6274509803921573
Kab. Subang,-6.57,107.76,2014-01-05,31.5,23.9,26.7,6.6,6.6,8.0,11.0,17.79,3.73,95,67,7.600000000000001,81.0,1.7694369973190347
Kab. Subang,-6.57,107.76,2014-01-06,31.2,23.8,26.6,2.3,2.3,4.0,19.8,18.51,3.91,94,66,7.399999999999999,80.0,0.588235294117647
Kab. Subang,-6.57,107.76,2014-01-07,30.8,23.4,26.5,1.3,1.3,5.0,15.9,15.33,3.33,94,65,7.400000000000002,79.5,0.3903903903903904
Kab. Subang,-6.57,107.76,2014-01-08,28.3,23.5,25.0,23.7,23.7,14.0,7.7,15.37,2.99,99,83,4.800000000000001,91.0,7.926421404682274
Kab. Subang,-6.57,107.76,2014-01-09,32.4,24.3,27.3,9.6,9.6,6.0,8.4,17.83,3.84,96,58,8.099999999999998,77.0,2.5
Kab. Subang,-6.57,107.76,2014-01-10,31.4,24.2,27.0,4.6,4.6,4.0,8.8,17.12,3.64,93,65,7.199999999999999,79.0,1.2637362637362637
Kab. Subang,-6.57,107.76,2014-01-11,30.7,23.6,26.7,11.0,11.0,11.0,9.8,18.81,3.84,99,70,7.099999999999998,84.5,2.8645833333333335
Kab. Subang,-6.57,107.76,2014-01-12,28.2,23.5,25.0,15.9,15.9,16.0,10.7,11.46,2.34,96,80,4.699999999999999,88.0,6.794871794871796
Kab. Subang,-6.57,107.76,2014-01-13,27.7,23.3,25.2,43.7,43.7,23.0,10.9,7.05,1.58,95,82,4.399999999999999,88.5,27.658227848101266
Kab. Subang,-6.57,107.76,2014-01-14,31.0,23.6,26.2,13.2,13.2,17.0,17.5,20.04,4.03,98,66,7.399999999999999,82.0,3.2754342431761785
Kab. Subang,-6.57,107.76,2014-01-15,29.4,24.0,25.5,4.3,4.3,9.0,17.7,17.08,3.43,96,67,5.399999999999999,81.5,1.2536443148688046
Kab. Subang,-6.57,107.76,2014-01-16,27.7,23.6,25.2,29.3,29.3,20.0,18.8,13.52,2.67,98,78,4.099999999999998,88.0,10.97378277153558
Kab. Subang,-6.57,107.76,2014-01-17,26.5,23.6,24.5,31.1,31.1,24.0,13.0,7.38,1.54,99,83,2.8999999999999986,91.0,20.194805194805195
Kab. Subang,-6.57,107.76,2014-01-18,27.3,23.5,24.5,20.2,20.2,23.0,15.1,8.85,1.76,98,85,3.8000000000000007,91.5,11.477272727272727
Kab. Subang,-6.57,107.76,2014-01-19,27.1,23.1,24.4,16.8,16.8,21.0,14.6,6.69,1.5,97,78,4.0,87.5,11.200000000000001
Kab. Subang,-6.57,107.76,2014-01-20,26.7,22.8,24.7,18.6,18.6,14.0,19.5,13.06,2.48,96,83,3.8999999999999986,89.5,7.500000000000001
Kab. Subang,-6.57,107.76,2014-01-21,24.9,22.9,23.7,11.4,11.4,19.0,18.9,5.1,1.09,98,89,2.0,93.5,10.458715596330276
Kab. Subang,-6.57,107.76,2014-01-22,28.4,23.2,25.3,6.5,6.5,14.0,18.0,19.55,3.79,97,73,5.199999999999999,85.0,1.7150395778364116
Kab. Subang,-6.57,107.76,2014-01-23,25.4,23.6,24.1,8.8,8.8,18.0,16.8,7.89,1.62,96,84,1.7999999999999972,90.0,5.432098765432099
Kab. Subang,-6.57,107.76,2014-01-24,27.9,22.9,24.7,8.7,8.7,17.0,16.6,16.82,3.09,98,77,5.0,87.5,2.8155339805825244
Kab. Subang,-6.57,107.76,2014-01-25,27.9,23.2,25.2,2.6,2.6,11.0,14.6,16.09,3.15,98,73,4.699999999999999,85.5,0.8253968253968255
Kab. Subang,-6.57,107.76,2014-01-26,30.3,23.6,26.4,8.4,8.4,7.0,14.8,21.33,4.33,95,64,6.699999999999999,79.5,1.9399538106235565
Kab. Subang,-6.57,107.76,2014-01-27,28.7,24.5,25.9,15.3,15.3,14.0,14.0,17.72,3.44,95,76,4.199999999999999,85.5,4.4476744186046515
Kab. Subang,-6.57,107.76,2014-01-28,27.3,24.3,25.3,9.3,9.3,19.0,12.2,11.72,2.34,93,78,3.0,85.5,3.974358974358975
