nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Sumedang,-6.85,107.92,2014-01-01,26.8,21.8,23.4,5.9,5.9,12.0,7.6,14.37,2.79,98,75,5.0,86.5,2.1146953405017923
Kab. Sumedang,-6.85,107.92,2014-01-02,29.8,21.7,24.4,21.3,21.3,10.0,7.4,20.28,4.09,98,63,8.100000000000001,80.5,5.207823960880196
Kab. Sumedang,-6.85,107.92,2014-01-03,29.7,21.6,24.5,4.6,4.6,6.0,5.5,19.69,3.96,97,62,8.099999999999998,79.5,1.1616161616161615
Kab. Sumedang,-6.85,107.92,2014-01-04,27.5,21.8,24.0,22.7,22.7,11.0,9.4,10.6,2.22,97,73,5.699999999999999,85.0,10.225225225225223
Kab. Sumedang,-6.85,107.92,2014-01-05,28.0,21.3,23.7,37.9,37.9,16.0,5.2,17.1,3.42,98,74,6.699999999999999,86.0,11.08187134502924
Kab. Sumedang,-6.85,107.92,2014-01-06,29.0,21.3,24.0,13.6,13.6,8.0,10.7,15.86,3.19,97,68,7.699999999999999,82.5,4.263322884012539
Kab. Sumedang,-6.85,107.92,2014-01-07,28.7,20.7,24.2,1.9,1.9,6.0,12.0,16.98,3.46,97,68,8.0,82.5,0.5491329479768786
Kab. Sumedang,-6.85,107.92,2014-01-08,26.1,21.4,22.7,15.8,15.8,14.0,6.6,13.78,2.67,100,77,4.700000000000003,88.5,5.917602996254682
Kab. Sumedang,-6.85,107.92,2014-01-09,29.9,21.6,24.8,16.9,16.9,9.0,4.4,17.97,3.71,98,58,8.299999999999997,78.0,4.555256064690027
Kab. Sumedang,-6.85,107.92,2014-01-10,29.2,21.8,24.3,7.7,7.7,8.0,8.7,16.3,3.33,94,70,7.399999999999999,82.0,2.3123123123123124
Kab. Sumedang,-6.85,107.92,2014-01-11,29.3,20.8,24.3,8.8,8.8,7.0,8.3,18.03,3.62,98,66,8.5,82.0,2.430939226519337
Kab. Sumedang,-6.85,107.92,2014-01-12,25.5,21.0,22.7,14.7,14.7,15.0,7.6,12.32,2.36,99,83,4.5,91.0,6.228813559322034
Kab. Sumedang,-6.85,107.92,2014-01-13,25.7,21.0,22.9,34.0,34.0,20.0,6.2,6.41,1.4,97,84,4.699999999999999,90.5,24.28571428571429
Kab. Sumedang,-6.85,107.92,2014-01-14,28.7,21.0,23.7,29.3,29.3,12.0,11.5,18.63,3.65,99,69,7.699999999999999,84.0,8.027397260273974
Kab. Sumedang,-6.85,107.92,2014-01-15,27.6,21.3,23.3,14.0,14.0,13.0,11.3,16.43,3.21,98,67,6.300000000000001,82.5,4.361370716510904
Kab. Sumedang,-6.85,107.92,2014-01-16,25.3,21.3,22.8,39.9,39.9,22.0,11.5,12.42,2.39,99,79,4.0,89.0,16.694560669456067
Kab. Sumedang,-6.85,107.92,2014-01-17,23.8,21.3,22.2,17.7,17.7,24.0,11.7,5.6,1.18,100,85,2.5,92.5,15.0
Kab. Sumedang,-6.85,107.92,2014-01-18,24.4,21.2,22.1,14.2,14.2,21.0,10.6,7.15,1.45,100,82,3.1999999999999993,91.0,9.793103448275861
Kab. Sumedang,-6.85,107.92,2014-01-19,25.3,20.8,22.2,11.3,11.3,22.0,12.1,8.56,1.74,99,76,4.5,87.5,6.494252873563219
Kab. Sumedang,-6.85,107.92,2014-01-20,24.1,20.1,22.3,8.6,8.6,17.0,15.0,12.01,2.2,99,83,4.0,91.0,3.9090909090909087
Kab. Sumedang,-6.85,107.92,2014-01-21,22.9,20.4,21.6,8.6,8.6,15.0,14.0,6.45,1.22,99,93,2.5,96.0,7.049180327868853
Kab. Sumedang,-6.85,107.92,2014-01-22,26.9,20.6,23.1,6.0,6.0,12.0,14.1,18.55,3.56,99,67,6.299999999999997,83.0,1.6853932584269662
Kab. Sumedang,-6.85,107.92,2014-01-23,22.9,21.0,21.8,8.4,8.4,16.0,15.1,7.47,1.47,98,83,1.8999999999999986,90.5,5.714285714285714
Kab. Sumedang,-6.85,107.92,2014-01-24,25.6,20.7,22.4,6.4,6.4,15.0,12.0,15.08,2.8,97,77,4.900000000000002,87.0,2.285714285714286
Kab. Sumedang,-6.85,107.92,2014-01-25,26.2,20.8,22.8,3.6,3.6,14.0,12.7,17.24,3.22,99,71,5.399999999999999,85.0,1.1180124223602483
Kab. Sumedang,-6.85,107.92,2014-01-26,28.6,20.8,24.0,7.3,7.3,10.0,8.4,19.51,3.88,95,64,7.800000000000001,79.5,1.8814432989690721
Kab. Sumedang,-6.85,107.92,2014-01-27,27.7,22.1,23.8,7.8,7.8,10.0,11.5,17.38,3.43,96,67,5.599999999999998,81.5,2.2740524781341107
Kab. Sumedang,-6.85,107.92,2014-01-28,24.6,22.0,23.0,5.1,5.1,16.0,8.4,10.89,2.1,96,86,2.6000000000000014,91.0,2.4285714285714284
Kab. Sumedang,-6.85,107.92,2014-01-29,25.0,21.3,23.0,2.5,2.5,8.0,10.1,12.43,2.41,98,78,3.6999999999999993,88.0,1.0373443983402488
Kab. Sumedang,-6.85,107.92,2014-01-30,26.9,22.3,23.8,4.9,4.9,9.0,13.0,17.19,3.32,96,73,4.599999999999998,84.5,1.4759036144578315
Kab. Sumedang,-6.85,107.92,2014-01-31,25.8,22.2,23.4,5.1,5.1,14.0,14.3,14.54,2.8,96,75,3.6000000000000014,85.5,1.8214285714285714
Kab. Sumedang,-6.85,107.92,2014-02-01,27.5,21.6,23.8,13.7,13.7,13.0,13.2,15.87,3.1,97,72,5.899999999999999,84.5,4.419354838709677
Kab. Sumedang,-6.85,107.92,2014-02-02,24.3,21.7,22.6,5.7,5.7,14.0,10.9,11.29,2.1,99,89,2.6000000000000014,94.0,2.7142857142857144
Kab. Sumedang,-6.85,107.92,2014-02-03,25.3,20.7,22.7,19.0,19.0,15.0,10.9,13.59,2.61,99,79,4.600000000000001,89.0,7.2796934865900385
Kab. Sumedang,-6.85,107.92,2014-02-04,25.2,21.8,23.1,11.7,11.7,16.0,10.1,8.72,1.76,99,84,3.3999999999999986,91.5,6.6477272727272725
Kab. Sumedang,-6.85,107.92,2014-02-05,25.7,22.4,23.8,5.1,5.1,10.0,8.7,12.58,2.46,98,80,3.3000000000000007,89.0,2.073170731707317
Kab. Sumedang,-6.85,107.92,2014-02-06,27.8,22.2,23.9,10.2,10.2,14.0,9.5,17.38,3.38,98,71,5.600000000000001,84.5,3.0177514792899407
Kab. Sumedang,-6.85,107.92,2014-02-07,28.4,22.4,24.1,5.9,5.9,7.0,9.4,13.29,2.71,98,71,6.0,84.5,2.1771217712177124
Kab. Sumedang,-6.85,107.92,2014-02-08,27.3,21.8,23.6,22.8,22.8,22.0,9.5,11.16,2.24,99,79,5.5,89.0,10.178571428571427
