nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Bandung,-6.9175,107.6191,2014-01-01,25.3,21.3,22.9,5.6,5.6,15.0,6.7,11.55,2.35,97,76,4.0,86.5,2.382978723404255
Kota Bandung,-6.9175,107.6191,2014-01-02,28.8,21.2,23.9,20.9,20.9,6.0,6.9,20.58,4.14,97,70,7.600000000000001,83.5,5.048309178743962
Kota Bandung,-6.9175,107.6191,2014-01-03,28.3,21.3,24.0,3.4,3.4,10.0,7.1,21.1,4.24,97,66,7.0,81.5,0.8018867924528301
Kota Bandung,-6.9175,107.6191,2014-01-04,26.7,21.9,23.5,22.7,22.7,22.0,9.0,9.56,2.03,97,77,4.800000000000001,87.0,11.182266009852217
Kota Bandung,-6.9175,107.6191,2014-01-05,27.7,21.1,23.2,12.5,12.5,18.0,9.7,15.68,3.08,97,79,6.599999999999998,88.0,4.058441558441558
Kota Bandung,-6.9175,107.6191,2014-01-06,26.6,20.9,23.1,1.7,1.7,7.0,12.1,13.63,2.79,96,75,5.700000000000003,85.5,0.6093189964157706
Kota Bandung,-6.9175,107.6191,2014-01-07,28.2,20.4,23.5,4.8,4.8,9.0,9.4,14.53,3.0,98,69,7.800000000000001,83.5,1.5999999999999999
Kota Bandung,-6.9175,107.6191,2014-01-08,24.4,20.9,21.9,37.2,37.2,17.0,4.8,10.81,2.16,99,83,3.5,91.0,17.22222222222222
Kota Bandung,-6.9175,107.6191,2014-01-09,28.3,21.2,24.3,11.2,11.2,11.0,8.2,17.27,3.59,98,69,7.100000000000001,83.5,3.1197771587743732
Kota Bandung,-6.9175,107.6191,2014-01-10,28.1,21.8,23.8,36.8,36.8,10.0,7.2,16.75,3.46,96,70,6.300000000000001,83.0,10.635838150289016
Kota Bandung,-6.9175,107.6191,2014-01-11,28.3,20.6,23.6,19.2,19.2,9.0,7.6,15.53,3.15,100,73,7.699999999999999,86.5,6.095238095238095
Kota Bandung,-6.9175,107.6191,2014-01-12,25.6,20.7,22.2,12.6,12.6,16.0,10.3,11.48,2.24,98,83,4.900000000000002,90.5,5.624999999999999
Kota Bandung,-6.9175,107.6191,2014-01-13,24.7,20.8,22.4,31.0,31.0,24.0,8.4,5.61,1.27,96,84,3.8999999999999986,90.0,24.409448818897637
Kota Bandung,-6.9175,107.6191,2014-01-14,27.1,21.1,23.3,13.8,13.8,14.0,11.2,16.73,3.31,99,71,6.0,85.0,4.169184290030212
Kota Bandung,-6.9175,107.6191,2014-01-15,25.7,20.8,22.4,9.4,9.4,14.0,11.4,15.18,2.9,99,76,4.899999999999999,87.5,3.241379310344828
Kota Bandung,-6.9175,107.6191,2014-01-16,24.6,21.0,22.4,22.4,22.4,18.0,9.9,13.47,2.56,99,82,3.6000000000000014,90.5,8.75
Kota Bandung,-6.9175,107.6191,2014-01-17,23.3,20.8,21.9,10.9,10.9,19.0,7.7,7.37,1.46,100,90,2.5,95.0,7.465753424657534
Kota Bandung,-6.9175,107.6191,2014-01-18,23.4,20.9,21.9,21.4,21.4,22.0,9.6,7.14,1.4,99,92,2.5,95.5,15.285714285714286
Kota Bandung,-6.9175,107.6191,2014-01-19,24.3,20.7,21.9,13.8,13.8,20.0,10.0,9.74,1.88,99,85,3.6000000000000014,92.0,7.340425531914894
Kota Bandung,-6.9175,107.6191,2014-01-20,23.4,20.5,22.1,16.0,16.0,20.0,12.5,12.8,2.37,98,85,2.8999999999999986,91.5,6.751054852320674
Kota Bandung,-6.9175,107.6191,2014-01-21,22.6,20.4,21.3,17.6,17.6,18.0,11.2,8.05,1.52,98,88,2.200000000000003,93.0,11.578947368421053
Kota Bandung,-6.9175,107.6191,2014-01-22,26.0,20.3,22.5,8.2,8.2,15.0,12.0,18.56,3.54,100,74,5.699999999999999,87.0,2.31638418079096
Kota Bandung,-6.9175,107.6191,2014-01-23,22.0,19.8,20.9,6.8,6.8,13.0,8.9,4.56,0.98,100,87,2.1999999999999993,93.5,6.938775510204081
Kota Bandung,-6.9175,107.6191,2014-01-24,24.2,20.5,21.9,4.6,4.6,11.0,10.7,16.73,3.05,100,81,3.6999999999999993,90.5,1.5081967213114753
Kota Bandung,-6.9175,107.6191,2014-01-25,24.9,20.1,22.3,3.3,3.3,12.0,10.2,16.64,3.17,100,73,4.799999999999997,86.5,1.0410094637223974
Kota Bandung,-6.9175,107.6191,2014-01-26,26.7,20.8,23.4,5.4,5.4,8.0,8.4,20.7,4.06,98,69,5.899999999999999,83.5,1.330049261083744
Kota Bandung,-6.9175,107.6191,2014-01-27,26.5,21.5,23.1,3.6,3.6,6.0,8.5,17.48,3.47,98,67,5.0,82.5,1.037463976945245
Kota Bandung,-6.9175,107.6191,2014-01-28,24.2,21.4,22.4,5.4,5.4,10.0,9.8,10.1,1.97,99,84,2.8000000000000007,91.5,2.7411167512690358
Kota Bandung,-6.9175,107.6191,2014-01-29,23.8,20.8,22.2,3.1,3.1,8.0,9.7,11.21,2.17,100,83,3.0,91.5,1.4285714285714286
Kota Bandung,-6.9175,107.6191,2014-01-30,26.5,21.5,23.0,9.5,9.5,13.0,10.8,17.75,3.39,100,75,5.0,87.5,2.8023598820058995
Kota Bandung,-6.9175,107.6191,2014-01-31,25.3,21.5,22.8,5.2,5.2,11.0,11.4,15.8,3.0,100,79,3.8000000000000007,89.5,1.7333333333333334
Kota Bandung,-6.9175,107.6191,2014-02-01,27.0,20.9,23.3,6.4,6.4,12.0,11.6,18.47,3.56,100,72,6.100000000000001,86.0,1.7977528089887642
Kota Bandung,-6.9175,107.6191,2014-02-02,23.9,21.3,22.3,7.4,7.4,14.0,10.4,14.19,2.63,100,84,2.599999999999998,92.0,2.8136882129277567
Kota Bandung,-6.9175,107.6191,2014-02-03,24.6,20.4,22.3,9.8,9.8,11.0,9.0,12.06,2.32,100,82,4.200000000000003,91.0,4.224137931034483
Kota Bandung,-6.9175,107.6191,2014-02-04,24.8,21.4,22.9,10.6,10.6,18.0,10.2,9.78,1.95,100,86,3.400000000000002,93.0,5.435897435897436
Kota Bandung,-6.9175,107.6191,2014-02-05,25.9,21.7,23.3,2.7,2.7,8.0,9.3,12.55,2.48,99,82,4.199999999999999,90.5,1.088709677419355
Kota Bandung,-6.9175,107.6191,2014-02-06,26.4,21.7,23.3,13.9,13.9,10.0,7.0,16.69,3.31,99,75,4.699999999999999,87.0,4.19939577039275
Kota Bandung,-6.9175,107.6191,2014-02-07,27.2,21.9,23.7,11.1,11.1,9.0,10.0,13.73,2.8,98,73,5.300000000000001,85.5,3.9642857142857144
Kota Bandung,-6.9175,107.6191,2014-02-08,27.1,21.9,23.5,17.1,17.1,24.0,10.0,10.8,2.23,99,79,5.200000000000003,89.0,7.668161434977579
Kota Bandung,-6.9175,107.6191,2014-02-09,25.0,21.7,22.8,11.5,11.5,22.0,9.1,9.63,1.96,99,84,3.3000000000000007,91.5,5.86734693877551
Kota Bandung,-6.9175,107.6191,2014-02-10,27.1,21.4,23.3,12.8,12.8,15.0,13.0,14.61,2.85,97,79,5.700000000000003,88.0,4.491228070175438
Kota Bandung,-6.9175,107.6191,2014-02-11,27.7,21.1,23.9,1.5,1.5,4.0,11.1,20.79,4.09,97,68,6.599999999999998,82.5,0.36674816625916873
Kota Bandung,-6.9175,107.6191,2014-02-12,28.3,22.3,24.6,0.2,0.2,2.0,10.6,19.78,4.05,98,67,6.0,82.5,0.04938271604938272
