nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Banjar,-7.365,108.54,2014-01-01,28.1,24.6,25.9,12.8,12.8,18.0,4.7,9.32,1.97,98,86,3.5,92.0,6.497461928934011
Kota Banjar,-7.365,108.54,2014-01-02,32.0,24.2,27.0,5.2,5.2,8.0,9.5,19.83,4.16,97,68,7.800000000000001,82.5,1.25
Kota Banjar,-7.365,108.54,2014-01-03,32.0,24.9,27.1,3.0,3.0,9.0,7.0,16.86,3.6,97,66,7.100000000000001,81.5,0.8333333333333333
Kota Banjar,-7.365,108.54,2014-01-04,30.4,24.7,26.7,15.2,15.2,13.0,10.5,12.43,2.64,98,75,5.699999999999999,86.5,5.757575757575757
Kota Banjar,-7.365,108.54,2014-01-05,30.7,24.1,26.6,25.7,25.7,12.0,9.2,16.95,3.52,99,82,6.599999999999998,90.5,7.301136363636363
Kota Banjar,-7.365,108.54,2014-01-06,30.7,24.0,26.4,18.4,18.4,21.0,6.5,12.07,2.57,99,79,6.699999999999999,89.0,7.159533073929961
Kota Banjar,-7.365,108.54,2014-01-07,32.8,23.7,26.7,22.3,22.3,11.0,6.8,18.42,3.86,99,67,9.099999999999998,83.0,5.77720207253886
Kota Banjar,-7.365,108.54,2014-01-08,29.3,24.1,26.0,14.5,14.5,13.0,6.0,15.63,3.23,99,81,5.199999999999999,90.0,4.489164086687307
Kota Banjar,-7.365,108.54,2014-01-09,32.2,23.5,27.3,7.9,7.9,5.0,10.6,20.15,4.26,99,69,8.700000000000003,84.0,1.8544600938967137
Kota Banjar,-7.365,108.54,2014-01-10,32.6,25.2,27.5,5.3,5.3,8.0,9.0,17.42,3.76,96,63,7.400000000000002,79.5,1.4095744680851063
Kota Banjar,-7.365,108.54,2014-01-11,32.1,24.0,27.5,14.0,14.0,8.0,7.0,17.02,3.68,99,70,8.100000000000001,84.5,3.8043478260869565
Kota Banjar,-7.365,108.54,2014-01-12,31.8,24.0,26.2,26.3,26.3,12.0,8.1,15.68,3.24,99,68,7.800000000000001,83.5,8.117283950617283
Kota Banjar,-7.365,108.54,2014-01-13,29.0,24.5,26.3,23.7,23.7,24.0,4.5,5.82,1.39,99,78,4.5,88.5,17.050359712230218
Kota Banjar,-7.365,108.54,2014-01-14,30.7,24.2,26.9,22.6,22.6,16.0,8.8,16.26,3.43,99,74,6.5,86.5,6.588921282798834
Kota Banjar,-7.365,108.54,2014-01-15,30.4,24.3,26.6,21.9,21.9,15.0,6.3,16.6,3.46,99,73,6.099999999999998,86.0,6.329479768786126
Kota Banjar,-7.365,108.54,2014-01-16,30.5,24.5,26.6,25.0,25.0,17.0,6.2,16.44,3.46,99,74,6.0,86.5,7.225433526011561
