nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Cimahi,-6.872,107.542,2014-01-01,24.8,20.3,22.0,4.5,4.5,12.0,7.2,14.38,2.75,97,77,4.5,87.0,1.6363636363636365
Kota Cimahi,-6.872,107.542,2014-01-02,27.6,20.0,23.0,16.7,16.7,7.0,8.7,21.33,4.15,97,67,7.600000000000001,82.0,4.024096385542168
Kota Cimahi,-6.872,107.542,2014-01-03,27.4,20.2,23.1,3.0,3.0,6.0,7.9,20.85,4.07,98,64,7.199999999999999,81.0,0.7371007371007371
Kota Cimahi,-6.872,107.542,2014-01-04,26.4,20.6,22.8,9.5,9.5,15.0,10.9,10.68,2.23,97,71,5.799999999999997,84.0,4.260089686098655
Kota Cimahi,-6.872,107.542,2014-01-05,27.2,20.2,22.7,8.7,8.7,10.0,10.2,16.93,3.31,96,70,7.0,83.0,2.628398791540785
Kota Cimahi,-6.872,107.542,2014-01-06,26.7,19.8,22.5,0.7,0.7,3.0,14.8,16.33,3.27,96,66,6.899999999999999,81.0,0.21406727828746175
Kota Cimahi,-6.872,107.542,2014-01-07,26.9,19.2,22.5,1.0,1.0,4.0,12.5,14.29,2.91,97,66,7.699999999999999,81.5,0.3436426116838488
Kota Cimahi,-6.872,107.542,2014-01-08,24.0,19.6,20.9,26.8,26.8,14.0,6.1,12.54,2.37,100,84,4.399999999999999,92.0,11.308016877637131
Kota Cimahi,-6.872,107.542,2014-01-09,28.3,20.2,23.6,6.6,6.6,7.0,7.3,16.32,3.39,98,60,8.100000000000001,79.0,1.9469026548672566
Kota Cimahi,-6.872,107.542,2014-01-10,27.4,20.1,22.8,32.2,32.2,9.0,7.5,16.61,3.37,95,66,7.299999999999997,80.5,9.554896142433234
Kota Cimahi,-6.872,107.542,2014-01-11,27.1,19.5,22.6,12.9,12.9,8.0,10.8,16.46,3.19,98,71,7.600000000000001,84.5,4.043887147335424
Kota Cimahi,-6.872,107.542,2014-01-12,24.4,19.5,21.0,14.4,14.4,17.0,9.4,10.86,2.08,96,82,4.899999999999999,89.0,6.923076923076923
Kota Cimahi,-6.872,107.542,2014-01-13,23.7,19.6,21.4,25.4,25.4,19.0,6.6,6.96,1.47,96,80,4.099999999999998,88.0,17.27891156462585
Kota Cimahi,-6.872,107.542,2014-01-14,26.7,19.8,22.3,11.7,11.7,14.0,12.6,18.06,3.47,99,67,6.899999999999999,83.0,3.3717579250720457
Kota Cimahi,-6.872,107.542,2014-01-15,25.6,19.8,21.6,5.9,5.9,14.0,12.1,16.6,3.1,98,72,5.800000000000001,85.0,1.903225806451613
Kota Cimahi,-6.872,107.542,2014-01-16,23.7,19.8,21.2,30.0,30.0,18.0,12.7,12.78,2.32,99,82,3.8999999999999986,90.5,12.931034482758621
Kota Cimahi,-6.872,107.542,2014-01-17,22.0,19.6,20.7,19.1,19.1,24.0,8.9,6.67,1.35,100,88,2.3999999999999986,94.0,14.148148148148149
Kota Cimahi,-6.872,107.542,2014-01-18,22.7,19.6,20.7,16.7,16.7,22.0,10.6,6.8,1.33,99,90,3.099999999999998,94.5,12.556390977443607
Kota Cimahi,-6.872,107.542,2014-01-19,22.8,19.3,20.5,15.2,15.2,21.0,9.8,7.01,1.42,99,83,3.5,91.0,10.704225352112676
Kota Cimahi,-6.872,107.542,2014-01-20,22.0,19.0,20.7,12.4,12.4,17.0,13.8,11.61,2.06,97,84,3.0,90.5,6.019417475728155
Kota Cimahi,-6.872,107.542,2014-01-21,21.5,18.9,20.0,13.9,13.9,17.0,10.3,5.9,1.15,98,89,2.6000000000000014,93.5,12.08695652173913
Kota Cimahi,-6.872,107.542,2014-01-22,24.4,18.9,21.4,5.3,5.3,16.0,12.5,18.52,3.4,99,71,5.5,85.0,1.5588235294117647
Kota Cimahi,-6.872,107.542,2014-01-23,20.9,19.0,19.8,4.8,4.8,16.0,8.9,5.04,1.04,100,88,1.8999999999999986,94.0,4.615384615384615
Kota Cimahi,-6.872,107.542,2014-01-24,23.6,19.2,20.7,7.5,7.5,17.0,11.9,16.21,2.82,99,80,4.400000000000002,89.5,2.6595744680851063
Kota Cimahi,-6.872,107.542,2014-01-25,23.8,19.2,21.1,3.5,3.5,14.0,12.3,14.83,2.72,100,72,4.600000000000001,86.0,1.2867647058823528
Kota Cimahi,-6.872,107.542,2014-01-26,26.3,19.6,22.4,4.4,4.4,7.0,11.0,20.75,3.97,98,66,6.699999999999999,82.0,1.1083123425692696
Kota Cimahi,-6.872,107.542,2014-01-27,25.0,20.4,22.0,11.8,11.8,9.0,10.1,16.61,3.12,97,72,4.600000000000001,84.5,3.782051282051282
Kota Cimahi,-6.872,107.542,2014-01-28,23.1,20.3,21.2,5.8,5.8,17.0,10.4,9.85,1.86,97,82,2.8000000000000007,89.5,3.118279569892473
Kota Cimahi,-6.872,107.542,2014-01-29,22.7,19.6,20.9,4.0,4.0,13.0,8.9,9.65,1.85,99,81,3.099999999999998,90.0,2.162162162162162
Kota Cimahi,-6.872,107.542,2014-01-30,24.8,20.3,21.9,7.3,7.3,16.0,12.8,16.64,3.04,96,78,4.5,87.0,2.401315789473684
Kota Cimahi,-6.872,107.542,2014-01-31,23.7,20.5,21.6,4.3,4.3,13.0,14.6,14.79,2.69,99,78,3.1999999999999993,88.5,1.5985130111524164
Kota Cimahi,-6.872,107.542,2014-02-01,25.6,19.7,22.0,6.4,6.4,12.0,13.6,17.1,3.14,100,74,5.900000000000002,87.0,2.038216560509554
Kota Cimahi,-6.872,107.542,2014-02-02,22.3,19.8,21.0,10.4,10.4,14.0,10.2,12.53,2.28,100,86,2.5,93.0,4.561403508771931
Kota Cimahi,-6.872,107.542,2014-02-03,23.8,19.1,21.1,9.4,9.4,13.0,9.8,12.06,2.28,100,80,4.699999999999999,90.0,4.1228070175438605
Kota Cimahi,-6.872,107.542,2014-02-04,23.9,20.1,21.5,10.4,10.4,17.0,11.3,9.22,1.78,100,84,3.799999999999997,92.0,5.842696629213483
Kota Cimahi,-6.872,107.542,2014-02-05,24.2,20.7,21.9,3.4,3.4,10.0,9.7,10.96,2.1,98,83,3.5,90.5,1.6190476190476188
Kota Cimahi,-6.872,107.542,2014-02-06,25.5,20.6,22.1,12.0,12.0,12.0,9.8,15.3,2.92,97,75,4.899999999999999,86.0,4.109589041095891
