nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Cirebon,-6.732,108.5523,2014-01-01,28.4,25.2,26.5,4.1,4.1,11.0,15.0,13.68,2.8,94,78,3.1999999999999993,86.0,1.4642857142857142
Kota Cirebon,-6.732,108.5523,2014-01-02,30.6,25.5,27.2,5.9,5.9,7.0,9.8,20.72,4.25,91,69,5.100000000000001,80.0,1.3882352941176472
Kota Cirebon,-6.732,108.5523,2014-01-03,30.7,25.7,27.4,2.6,2.6,5.0,7.7,18.26,3.82,91,68,5.0,79.5,0.680628272251309
Kota Cirebon,-6.732,108.5523,2014-01-04,29.1,25.6,26.6,24.1,24.1,14.0,7.9,12.15,2.56,92,78,3.5,85.0,9.4140625
Kota Cirebon,-6.732,108.5523,2014-01-05,29.2,25.3,26.5,31.5,31.5,19.0,8.2,17.1,3.51,93,77,3.8999999999999986,85.0,8.974358974358974
Kota Cirebon,-6.732,108.5523,2014-01-06,29.8,25.1,26.7,19.4,19.4,13.0,15.8,16.11,3.3,93,73,4.699999999999999,83.0,5.878787878787879
Kota Cirebon,-6.732,108.5523,2014-01-07,29.6,25.1,27.2,2.9,2.9,9.0,14.2,19.13,3.87,94,75,4.5,84.5,0.7493540051679586
Kota Cirebon,-6.732,108.5523,2014-01-08,28.4,25.5,26.3,18.1,18.1,20.0,13.2,15.04,3.04,93,79,2.8999999999999986,86.0,5.953947368421053
Kota Cirebon,-6.732,108.5523,2014-01-09,30.7,25.3,27.4,9.8,9.8,8.0,6.9,18.36,3.87,92,68,5.399999999999999,80.0,2.5322997416020674
Kota Cirebon,-6.732,108.5523,2014-01-10,30.1,25.5,27.0,17.6,17.6,11.0,10.6,16.28,3.4,91,71,4.600000000000001,81.0,5.176470588235294
Kota Cirebon,-6.732,108.5523,2014-01-11,29.5,24.9,26.9,9.7,9.7,12.0,11.7,19.52,3.88,94,75,4.600000000000001,84.5,2.5
Kota Cirebon,-6.732,108.5523,2014-01-12,28.3,24.7,26.0,8.1,8.1,16.0,12.7,14.5,2.86,94,79,3.6000000000000014,86.5,2.832167832167832
Kota Cirebon,-6.732,108.5523,2014-01-13,27.8,24.9,26.1,30.0,30.0,21.0,13.0,5.44,1.38,93,81,2.900000000000002,87.0,21.73913043478261
