nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Depok,-6.4025,106.7942,2014-01-01,29.9,23.5,25.8,6.4,6.4,14.0,5.5,13.18,2.73,97,73,6.399999999999999,85.0,2.3443223443223444
Kota Depok,-6.4025,106.7942,2014-01-02,31.9,23.0,26.5,7.5,7.5,5.0,8.9,21.05,4.38,98,65,8.899999999999999,81.5,1.7123287671232876
Kota Depok,-6.4025,106.7942,2014-01-03,32.3,23.0,27.0,4.4,4.4,5.0,7.4,20.75,4.35,98,62,9.299999999999997,80.0,1.0114942528735633
Kota Depok,-6.4025,106.7942,2014-01-04,31.7,24.7,27.0,6.5,6.5,9.0,10.7,16.35,3.49,95,69,7.0,82.0,1.8624641833810887
Kota Depok,-6.4025,106.7942,2014-01-05,30.9,24.3,26.4,0.6,0.6,2.0,13.3,15.73,3.43,93,68,6.599999999999998,80.5,0.1749271137026239
Kota Depok,-6.4025,106.7942,2014-01-06,29.6,23.9,26.1,1.3,1.3,5.0,13.5,13.58,2.97,94,72,5.700000000000003,83.0,0.4377104377104377
Kota Depok,-6.4025,106.7942,2014-01-07,31.0,24.0,26.4,3.9,3.9,11.0,10.5,13.11,2.9,94,68,7.0,81.0,1.3448275862068966
Kota Depok,-6.4025,106.7942,2014-01-08,28.2,23.0,24.7,25.9,25.9,13.0,7.6,13.18,2.63,98,76,5.199999999999999,87.0,9.847908745247148
Kota Depok,-6.4025,106.7942,2014-01-09,33.1,22.8,27.0,18.5,18.5,16.0,11.8,18.08,4.05,96,57,10.3,76.5,4.567901234567901
Kota Depok,-6.4025,106.7942,2014-01-10,32.2,24.4,27.2,6.1,6.1,6.0,9.2,17.73,3.9,93,63,7.800000000000004,78.0,1.564102564102564
Kota Depok,-6.4025,106.7942,2014-01-11,31.3,23.2,26.5,11.0,11.0,7.0,9.4,15.42,3.26,98,68,8.100000000000001,83.0,3.374233128834356
Kota Depok,-6.4025,106.7942,2014-01-12,27.7,23.2,24.8,19.5,19.5,18.0,8.8,10.55,2.13,99,82,4.5,90.5,9.15492957746479
