nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Sukabumi,-6.92,106.93,2014-01-01,25.5,20.9,22.7,7.5,7.5,17.0,4.8,10.93,2.21,99,78,4.600000000000001,88.5,3.3936651583710407
Kota Sukabumi,-6.92,106.93,2014-01-02,28.9,20.3,23.6,11.3,11.3,5.0,7.8,21.48,4.28,98,69,8.599999999999998,83.5,2.6401869158878504
Kota Sukabumi,-6.92,106.93,2014-01-03,28.4,20.9,23.8,5.0,5.0,8.0,6.9,20.81,4.11,98,65,7.5,81.5,1.21654501216545
Kota Sukabumi,-6.92,106.93,2014-01-04,26.9,21.6,23.2,13.3,13.3,18.0,11.2,12.21,2.44,97,76,5.299999999999997,86.5,5.450819672131148
Kota Sukabumi,-6.92,106.93,2014-01-05,27.4,20.9,22.8,8.3,8.3,17.0,9.6,16.73,3.23,98,79,6.5,88.5,2.5696594427244586
Kota Sukabumi,-6.92,106.93,2014-01-06,26.2,20.4,22.7,1.6,1.6,4.0,9.6,13.61,2.7,98,75,5.800000000000001,86.5,0.5925925925925926
Kota Sukabumi,-6.92,106.93,2014-01-07,28.1,20.4,23.3,2.8,2.8,9.0,10.4,15.25,3.13,98,64,7.700000000000003,81.0,0.8945686900958466
Kota Sukabumi,-6.92,106.93,2014-01-08,25.4,19.8,21.5,42.3,42.3,14.0,4.5,13.25,2.57,99,78,5.599999999999998,88.5,16.459143968871594
Kota Sukabumi,-6.92,106.93,2014-01-09,29.0,20.4,23.8,10.2,10.2,14.0,9.9,18.86,3.8,98,66,8.600000000000001,82.0,2.6842105263157894
Kota Sukabumi,-6.92,106.93,2014-01-10,28.3,21.6,23.7,8.7,8.7,15.0,9.5,17.41,3.49,97,70,6.699999999999999,83.5,2.4928366762177645
Kota Sukabumi,-6.92,106.93,2014-01-11,28.7,20.4,23.5,12.6,12.6,8.0,6.3,15.56,3.16,99,70,8.3,84.5,3.9873417721518982
Kota Sukabumi,-6.92,106.93,2014-01-12,27.2,20.4,22.1,18.3,18.3,14.0,7.0,12.86,2.52,98,73,6.800000000000001,85.5,7.261904761904762
Kota Sukabumi,-6.92,106.93,2014-01-13,25.2,20.3,22.0,20.3,20.3,23.0,5.5,4.37,1.0,99,85,4.899999999999999,92.0,20.3
Kota Sukabumi,-6.92,106.93,2014-01-14,27.4,20.3,23.2,9.1,9.1,11.0,10.7,17.49,3.46,99,71,7.099999999999998,85.0,2.630057803468208
Kota Sukabumi,-6.92,106.93,2014-01-15,25.4,20.4,22.1,8.8,8.8,16.0,8.1,14.99,2.83,98,81,5.0,89.5,3.109540636042403
Kota Sukabumi,-6.92,106.93,2014-01-16,25.8,20.5,22.4,12.1,12.1,18.0,10.4,14.65,2.81,99,74,5.300000000000001,86.5,4.306049822064057
Kota Sukabumi,-6.92,106.93,2014-01-17,24.3,20.0,22.1,14.5,14.5,22.0,7.0,10.08,2.02,100,82,4.300000000000001,91.0,7.178217821782178
Kota Sukabumi,-6.92,106.93,2014-01-18,24.5,20.6,22.0,15.9,15.9,15.0,8.1,7.99,1.63,99,85,3.8999999999999986,92.0,9.754601226993866
Kota Sukabumi,-6.92,106.93,2014-01-19,24.3,20.4,21.8,4.9,4.9,15.0,9.1,9.14,1.86,98,79,3.900000000000002,88.5,2.6344086021505375
Kota Sukabumi,-6.92,106.93,2014-01-20,24.8,20.0,22.1,11.8,11.8,14.0,10.6,14.23,2.73,98,78,4.800000000000001,88.0,4.322344322344323
Kota Sukabumi,-6.92,106.93,2014-01-21,23.3,20.1,21.3,10.9,10.9,19.0,9.8,8.46,1.63,99,86,3.1999999999999993,92.5,6.687116564417178
Kota Sukabumi,-6.92,106.93,2014-01-22,26.5,20.0,22.8,2.3,2.3,13.0,10.8,17.91,3.53,97,66,6.5,81.5,0.6515580736543909
Kota Sukabumi,-6.92,106.93,2014-01-23,23.0,20.3,21.2,4.5,4.5,17.0,9.1,4.83,1.06,99,81,2.6999999999999993,90.0,4.245283018867925
Kota Sukabumi,-6.92,106.93,2014-01-24,25.7,20.0,22.1,2.1,2.1,7.0,9.2,17.18,3.22,99,74,5.699999999999999,86.5,0.6521739130434783
Kota Sukabumi,-6.92,106.93,2014-01-25,26.2,20.1,22.7,2.5,2.5,10.0,8.6,19.66,3.77,99,67,6.099999999999998,83.0,0.6631299734748011
Kota Sukabumi,-6.92,106.93,2014-01-26,26.9,20.0,23.4,3.3,3.3,9.0,8.4,20.88,4.01,98,73,6.899999999999999,85.5,0.8229426433915212
Kota Sukabumi,-6.92,106.93,2014-01-27,26.5,20.9,23.1,15.4,15.4,6.0,6.7,19.23,3.73,98,70,5.600000000000001,84.0,4.128686327077748
Kota Sukabumi,-6.92,106.93,2014-01-28,24.9,21.6,22.8,1.6,1.6,8.0,6.5,12.17,2.4,99,79,3.299999999999997,89.0,0.6666666666666667
Kota Sukabumi,-6.92,106.93,2014-01-29,25.1,20.8,22.8,0.9,0.9,5.0,9.1,13.98,2.72,98,72,4.300000000000001,85.0,0.33088235294117646
Kota Sukabumi,-6.92,106.93,2014-01-30,26.9,21.7,23.6,2.8,2.8,7.0,8.9,17.57,3.49,96,68,5.199999999999999,82.0,0.8022922636103151
Kota Sukabumi,-6.92,106.93,2014-01-31,26.3,21.6,23.1,6.6,6.6,8.0,9.4,17.51,3.37,99,75,4.699999999999999,87.0,1.9584569732937684
Kota Sukabumi,-6.92,106.93,2014-02-01,27.3,20.5,23.4,2.1,2.1,8.0,12.6,19.6,3.81,99,67,6.800000000000001,83.0,0.5511811023622047
Kota Sukabumi,-6.92,106.93,2014-02-02,25.4,21.1,22.7,6.6,6.6,10.0,9.9,16.42,3.11,98,77,4.299999999999997,87.5,2.122186495176849
Kota Sukabumi,-6.92,106.93,2014-02-03,26.6,20.5,22.6,11.4,11.4,11.0,10.4,14.9,2.89,98,72,6.100000000000001,85.0,3.944636678200692
Kota Sukabumi,-6.92,106.93,2014-02-04,26.0,20.7,22.9,5.6,5.6,15.0,8.6,10.77,2.2,99,74,5.300000000000001,86.5,2.545454545454545
Kota Sukabumi,-6.92,106.93,2014-02-05,26.7,21.0,23.3,1.3,1.3,6.0,9.0,15.12,2.96,99,76,5.699999999999999,87.5,0.4391891891891892
Kota Sukabumi,-6.92,106.93,2014-02-06,26.9,21.6,23.4,8.2,8.2,8.0,6.9,16.98,3.35,98,74,5.299999999999997,86.0,2.4477611940298503
Kota Sukabumi,-6.92,106.93,2014-02-07,27.1,21.3,23.3,14.7,14.7,13.0,11.2,14.28,2.84,98,78,5.800000000000001,88.0,5.176056338028169
Kota Sukabumi,-6.92,106.93,2014-02-08,26.2,21.5,23.2,23.9,23.9,24.0,8.1,10.95,2.23,98,80,4.699999999999999,89.0,10.717488789237668
Kota Sukabumi,-6.92,106.93,2014-02-09,27.2,20.8,22.9,13.4,13.4,20.0,10.9,12.82,2.57,100,75,6.399999999999999,87.5,5.214007782101167
Kota Sukabumi,-6.92,106.93,2014-02-10,27.4,21.1,23.3,8.9,8.9,11.0,11.0,17.77,3.45,98,73,6.299999999999997,85.5,2.579710144927536
Kota Sukabumi,-6.92,106.93,2014-02-11,28.5,20.6,23.9,0.3,0.3,1.0,9.5,22.26,4.37,98,66,7.899999999999999,82.0,0.06864988558352403
Kota Sukabumi,-6.92,106.93,2014-02-12,28.9,22.2,24.9,0.2,0.2,2.0,10.1,20.48,4.18,97,62,6.699999999999999,79.5,0.04784688995215312
Kota Sukabumi,-6.92,106.93,2014-02-13,30.4,20.9,25.0,1.0,1.0,5.0,6.3,23.57,4.78,97,58,9.5,77.5,0.20920502092050208
Kota Sukabumi,-6.92,106.93,2014-02-14,28.6,20.9,24.4,2.2,2.2,10.0,6.8,19.3,3.9,97,63,7.700000000000003,80.0,0.5641025641025642
Kota Sukabumi,-6.92,106.93,2014-02-15,26.2,20.8,22.8,2.6,2.6,9.0,6.9,14.21,2.77,99,73,5.399999999999999,86.0,0.9386281588447654
Kota Sukabumi,-6.92,106.93,2014-02-16,28.7,20.3,23.6,0.4,0.4,2.0,9.0,22.81,4.5,98,60,8.399999999999999,79.0,0.08888888888888889
Kota Sukabumi,-6.92,106.93,2014-02-17,28.9,20.3,24.2,0.5,0.5,3.0,5.3,22.35,4.47,97,58,8.599999999999998,77.5,0.11185682326621925
Kota Sukabumi,-6.92,106.93,2014-02-18,26.7,21.7,23.6,4.5,4.5,11.0,7.6,13.33,2.75,98,67,5.0,82.5,1.6363636363636365
Kota Sukabumi,-6.92,106.93,2014-02-19,28.3,20.1,23.9,0.1,0.1,1.0,5.5,24.67,4.87,98,55,8.2,76.5,0.02053388090349076
Kota Sukabumi,-6.92,106.93,2014-02-20,29.2,20.4,24.3,1.1,1.1,5.0,5.6,26.19,5.2,98,56,8.8,77.0,0.21153846153846154
Kota Sukabumi,-6.92,106.93,2014-02-21,26.8,21.3,23.6,3.2,3.2,5.0,6.1,17.27,3.43,96,71,5.5,83.5,0.9329446064139941
Kota Sukabumi,-6.92,106.93,2014-02-22,25.6,20.7,21.9,46.2,46.2,18.0,8.4,10.43,2.11,98,78,4.900000000000002,88.0,21.8957345971564
Kota Sukabumi,-6.92,106.93,2014-02-23,25.3,20.2,22.1,29.0,29.0,23.0,10.8,9.9,1.98,98,82,5.100000000000001,90.0,14.646464646464647
Kota Sukabumi,-6.92,106.93,2014-02-24,25.6,20.6,22.2,5.7,5.7,20.0,7.5,10.09,2.0,99,76,5.0,87.5,2.85
Kota Sukabumi,-6.92,106.93,2014-02-25,26.6,19.8,22.5,6.0,6.0,9.0,7.5,14.97,2.92,98,72,6.800000000000001,85.0,2.0547945205479454
Kota Sukabumi,-6.92,106.93,2014-02-26,25.0,20.3,22.1,14.3,14.3,9.0,8.1,17.08,3.19,99,76,4.699999999999999,87.5,4.482758620689656
Kota Sukabumi,-6.92,106.93,2014-02-27,25.2,20.3,22.3,8.6,8.6,7.0,7.9,14.03,2.66,99,77,4.899999999999999,88.0,3.233082706766917
Kota Sukabumi,-6.92,106.93,2014-02-28,27.4,19.8,23.1,6.3,6.3,8.0,6.1,21.57,4.19,98,70,7.599999999999998,84.0,1.503579952267303
Kota Sukabumi,-6.92,106.93,2014-03-01,27.3,20.9,23.4,10.8,10.8,11.0,4.6,19.91,3.92,98,70,6.400000000000002,84.0,2.7551020408163267
Kota Sukabumi,-6.92,106.93,2014-03-02,27.8,21.0,24.0,6.7,6.7,13.0,4.7,21.37,4.24,98,68,6.800000000000001,83.0,1.580188679245283
