nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Tasikmalaya,-7.3274,108.2207,2014-01-01,26.7,22.7,24.2,12.3,12.3,18.0,4.0,9.27,1.93,98,84,4.0,91.0,6.373056994818653
Kota Tasikmalaya,-7.3274,108.2207,2014-01-02,30.1,22.3,25.2,8.8,8.8,7.0,8.2,18.93,3.9,97,68,7.800000000000001,82.5,2.256410256410257
Kota Tasikmalaya,-7.3274,108.2207,2014-01-03,30.2,23.1,25.4,1.5,1.5,7.0,6.0,17.83,3.7,98,65,7.099999999999998,81.5,0.4054054054054054
Kota Tasikmalaya,-7.3274,108.2207,2014-01-04,28.7,23.2,25.1,17.7,17.7,12.0,9.5,12.31,2.58,97,74,5.5,85.5,6.8604651162790695
Kota Tasikmalaya,-7.3274,108.2207,2014-01-05,30.1,22.4,25.0,19.2,19.2,13.0,8.3,17.42,3.6,98,71,7.700000000000003,84.5,5.333333333333333
Kota Tasikmalaya,-7.3274,108.2207,2014-01-06,29.4,22.2,24.7,6.0,6.0,18.0,6.4,10.21,2.19,99,73,7.199999999999999,86.0,2.73972602739726
Kota Tasikmalaya,-7.3274,108.2207,2014-01-07,31.1,21.7,25.0,33.0,33.0,9.0,6.5,17.37,3.6,98,67,9.400000000000002,82.5,9.166666666666666
Kota Tasikmalaya,-7.3274,108.2207,2014-01-08,27.2,22.4,24.0,15.5,15.5,21.0,3.9,14.18,2.9,100,80,4.800000000000001,90.0,5.344827586206897
Kota Tasikmalaya,-7.3274,108.2207,2014-01-09,31.0,22.0,25.9,8.2,8.2,6.0,8.8,21.43,4.46,99,65,9.0,82.0,1.8385650224215244
Kota Tasikmalaya,-7.3274,108.2207,2014-01-10,30.4,22.9,25.8,4.2,4.2,5.0,8.0,17.9,3.78,96,65,7.5,80.5,1.1111111111111112
Kota Tasikmalaya,-7.3274,108.2207,2014-01-11,30.6,22.2,25.6,18.1,18.1,9.0,5.9,16.91,3.57,99,68,8.400000000000002,83.5,5.070028011204482
Kota Tasikmalaya,-7.3274,108.2207,2014-01-12,29.7,22.2,24.4,28.4,28.4,12.0,7.2,14.41,2.92,99,69,7.5,84.0,9.726027397260273
Kota Tasikmalaya,-7.3274,108.2207,2014-01-13,27.0,22.7,24.4,24.3,24.3,24.0,4.1,5.28,1.27,100,81,4.300000000000001,90.5,19.133858267716537
Kota Tasikmalaya,-7.3274,108.2207,2014-01-14,29.2,22.4,25.2,18.2,18.2,13.0,7.2,16.39,3.42,99,73,6.800000000000001,86.0,5.321637426900585
Kota Tasikmalaya,-7.3274,108.2207,2014-01-15,28.5,22.4,24.8,14.0,14.0,12.0,5.8,15.7,3.24,99,72,6.100000000000001,85.5,4.320987654320987
Kota Tasikmalaya,-7.3274,108.2207,2014-01-16,28.5,22.6,24.9,30.9,30.9,17.0,4.9,15.81,3.25,99,76,5.899999999999999,87.5,9.507692307692308
Kota Tasikmalaya,-7.3274,108.2207,2014-01-17,26.0,22.3,24.1,26.4,26.4,19.0,7.3,7.5,1.6,100,83,3.6999999999999993,91.5,16.499999999999996
Kota Tasikmalaya,-7.3274,108.2207,2014-01-18,26.2,22.5,23.8,12.1,12.1,22.0,7.1,7.75,1.66,99,81,3.6999999999999993,90.0,7.289156626506024
Kota Tasikmalaya,-7.3274,108.2207,2014-01-19,28.2,21.7,24.1,11.6,11.6,11.0,11.2,15.12,3.04,98,73,6.5,85.5,3.81578947368421
Kota Tasikmalaya,-7.3274,108.2207,2014-01-20,26.9,21.5,24.2,8.8,8.8,16.0,7.2,14.47,2.92,98,75,5.399999999999999,86.5,3.013698630136987
Kota Tasikmalaya,-7.3274,108.2207,2014-01-21,25.8,21.9,23.6,13.9,13.9,9.0,7.6,8.15,1.67,99,88,3.900000000000002,93.5,8.323353293413174
Kota Tasikmalaya,-7.3274,108.2207,2014-01-22,28.9,21.4,24.6,9.1,9.1,9.0,7.3,15.73,3.25,99,68,7.5,83.5,2.8
Kota Tasikmalaya,-7.3274,108.2207,2014-01-23,25.3,22.3,23.5,5.6,5.6,11.0,7.7,9.37,1.97,100,80,3.0,90.0,2.842639593908629
Kota Tasikmalaya,-7.3274,108.2207,2014-01-24,27.6,21.9,24.1,4.1,4.1,11.0,6.8,14.39,2.92,98,71,5.700000000000003,84.5,1.4041095890410957
Kota Tasikmalaya,-7.3274,108.2207,2014-01-25,28.4,21.1,24.3,4.7,4.7,9.0,5.7,20.16,4.02,100,67,7.299999999999997,83.5,1.1691542288557215
Kota Tasikmalaya,-7.3274,108.2207,2014-01-26,29.1,21.4,25.2,2.9,2.9,7.0,4.7,19.07,3.9,98,72,7.700000000000003,85.0,0.7435897435897436
Kota Tasikmalaya,-7.3274,108.2207,2014-01-27,29.6,22.3,25.2,9.4,9.4,8.0,5.4,18.44,3.78,98,68,7.300000000000001,83.0,2.486772486772487
Kota Tasikmalaya,-7.3274,108.2207,2014-01-28,26.9,23.1,24.5,21.3,21.3,16.0,5.1,11.93,2.42,99,85,3.799999999999997,92.0,8.801652892561984
Kota Tasikmalaya,-7.3274,108.2207,2014-01-29,27.3,22.2,24.7,11.2,11.2,7.0,8.0,15.36,3.09,100,71,5.100000000000001,85.5,3.6245954692556634
Kota Tasikmalaya,-7.3274,108.2207,2014-01-30,29.2,22.7,25.2,7.4,7.4,7.0,5.3,16.85,3.49,98,68,6.5,83.0,2.120343839541547
Kota Tasikmalaya,-7.3274,108.2207,2014-01-31,28.8,22.8,24.9,6.0,6.0,8.0,6.8,17.56,3.58,100,71,6.0,85.5,1.675977653631285
Kota Tasikmalaya,-7.3274,108.2207,2014-02-01,30.0,22.2,25.5,13.3,13.3,12.0,5.1,18.89,3.9,100,66,7.800000000000001,83.0,3.4102564102564106
Kota Tasikmalaya,-7.3274,108.2207,2014-02-02,26.8,22.7,24.4,8.1,8.1,8.0,7.0,13.38,2.71,99,82,4.100000000000001,90.5,2.988929889298893
Kota Tasikmalaya,-7.3274,108.2207,2014-02-03,29.0,22.0,24.7,16.7,16.7,8.0,7.0,15.63,3.18,100,77,7.0,88.5,5.251572327044025
Kota Tasikmalaya,-7.3274,108.2207,2014-02-04,28.0,22.6,24.8,17.8,17.8,16.0,6.1,11.72,2.46,99,81,5.399999999999999,90.0,7.235772357723578
Kota Tasikmalaya,-7.3274,108.2207,2014-02-05,29.3,22.8,25.6,6.1,6.1,9.0,7.4,15.63,3.23,99,70,6.5,84.5,1.8885448916408667
Kota Tasikmalaya,-7.3274,108.2207,2014-02-06,29.0,23.2,25.4,25.7,25.7,11.0,5.7,17.25,3.54,99,70,5.800000000000001,84.5,7.259887005649717
Kota Tasikmalaya,-7.3274,108.2207,2014-02-07,30.2,23.4,25.7,11.2,11.2,14.0,4.3,14.75,3.13,97,69,6.800000000000001,83.0,3.5782747603833864
Kota Tasikmalaya,-7.3274,108.2207,2014-02-08,28.2,23.5,25.2,29.0,29.0,18.0,4.8,10.28,2.22,99,81,4.699999999999999,90.0,13.063063063063062
Kota Tasikmalaya,-7.3274,108.2207,2014-02-09,28.9,23.0,25.1,22.2,22.2,21.0,11.8,13.65,2.82,99,77,5.899999999999999,88.0,7.872340425531915
Kota Tasikmalaya,-7.3274,108.2207,2014-02-10,30.2,22.9,25.4,24.5,24.5,17.0,7.4,15.52,3.24,98,70,7.300000000000001,84.0,7.561728395061728
Kota Tasikmalaya,-7.3274,108.2207,2014-02-11,30.1,22.8,25.7,9.0,9.0,7.0,4.7,16.53,3.45,99,68,7.300000000000001,83.5,2.608695652173913
Kota Tasikmalaya,-7.3274,108.2207,2014-02-12,31.5,23.1,26.7,0.9,0.9,2.0,9.2,21.91,4.62,99,60,8.399999999999999,79.5,0.19480519480519481
Kota Tasikmalaya,-7.3274,108.2207,2014-02-13,31.1,22.4,26.6,0.9,0.9,6.0,5.4,23.03,4.79,97,62,8.700000000000003,79.5,0.18789144050104384
Kota Tasikmalaya,-7.3274,108.2207,2014-02-14,29.9,23.4,26.3,6.9,6.9,10.0,5.5,16.97,3.58,97,67,6.5,82.0,1.9273743016759777
Kota Tasikmalaya,-7.3274,108.2207,2014-02-15,27.4,22.9,24.5,20.9,20.9,15.0,5.4,14.4,2.97,99,76,4.5,87.5,7.037037037037036
Kota Tasikmalaya,-7.3274,108.2207,2014-02-16,30.2,22.2,24.9,10.4,10.4,7.0,5.2,19.63,4.04,96,66,8.0,81.0,2.5742574257425743
Kota Tasikmalaya,-7.3274,108.2207,2014-02-17,29.7,21.6,25.5,0.7,0.7,4.0,5.8,16.76,3.52,97,66,8.099999999999998,81.5,0.19886363636363635
Kota Tasikmalaya,-7.3274,108.2207,2014-02-18,29.6,22.8,25.4,12.4,12.4,13.0,4.7,15.81,3.32,99,64,6.800000000000001,81.5,3.734939759036145
Kota Tasikmalaya,-7.3274,108.2207,2014-02-19,28.9,22.7,25.2,2.8,2.8,9.0,5.3,16.63,3.43,98,72,6.199999999999999,85.0,0.8163265306122448
Kota Tasikmalaya,-7.3274,108.2207,2014-02-20,30.3,23.1,25.7,7.0,7.0,12.0,4.5,20.37,4.19,98,65,7.199999999999999,81.5,1.6706443914081144
Kota Tasikmalaya,-7.3274,108.2207,2014-02-21,29.5,22.5,25.4,8.4,8.4,9.0,5.7,17.24,3.54,98,70,7.0,84.0,2.3728813559322033
Kota Tasikmalaya,-7.3274,108.2207,2014-02-22,27.6,22.4,23.9,49.4,49.4,14.0,5.8,13.14,2.72,99,79,5.200000000000003,89.0,18.16176470588235
Kota Tasikmalaya,-7.3274,108.2207,2014-02-23,28.0,22.2,24.3,33.2,33.2,24.0,8.9,9.71,2.14,98,75,5.800000000000001,86.5,15.514018691588786
Kota Tasikmalaya,-7.3274,108.2207,2014-02-24,29.3,22.0,24.2,25.9,25.9,20.0,7.0,12.19,2.56,99,67,7.300000000000001,83.0,10.1171875
Kota Tasikmalaya,-7.3274,108.2207,2014-02-25,29.2,21.6,24.8,20.9,20.9,12.0,7.2,16.13,3.34,94,68,7.599999999999998,81.0,6.25748502994012
Kota Tasikmalaya,-7.3274,108.2207,2014-02-26,27.7,22.9,24.8,24.1,24.1,15.0,6.3,17.15,3.45,96,76,4.800000000000001,86.0,6.9855072463768115
Kota Tasikmalaya,-7.3274,108.2207,2014-02-27,28.6,22.6,25.2,4.3,4.3,9.0,9.0,17.46,3.52,97,75,6.0,86.0,1.221590909090909
Kota Tasikmalaya,-7.3274,108.2207,2014-02-28,29.6,22.6,25.4,9.0,9.0,8.0,7.1,20.82,4.22,97,68,7.0,82.5,2.132701421800948
Kota Tasikmalaya,-7.3274,108.2207,2014-03-01,29.2,22.5,25.3,15.1,15.1,8.0,7.7,20.0,4.06,98,68,6.699999999999999,83.0,3.7192118226600988
Kota Tasikmalaya,-7.3274,108.2207,2014-03-02,29.1,22.9,25.7,5.9,5.9,14.0,6.2,18.06,3.76,97,70,6.200000000000003,83.5,1.569148936170213
Kota Tasikmalaya,-7.3274,108.2207,2014-03-03,30.3,22.8,25.7,33.1,33.1,12.0,5.5,17.65,3.69,97,65,7.5,81.0,8.97018970189702
Kota Tasikmalaya,-7.3274,108.2207,2014-03-04,29.9,23.0,25.7,23.7,23.7,12.0,6.0,16.78,3.5,96,69,6.899999999999999,82.5,6.771428571428571
Kota Tasikmalaya,-7.3274,108.2207,2014-03-05,30.1,22.5,24.8,27.6,27.6,13.0,5.4,16.62,3.43,98,70,7.600000000000001,84.0,8.0466472303207
Kota Tasikmalaya,-7.3274,108.2207,2014-03-06,30.5,22.2,25.5,4.1,4.1,8.0,8.0,23.66,4.82,96,64,8.3,80.0,0.850622406639004
Kota Tasikmalaya,-7.3274,108.2207,2014-03-07,30.0,22.3,25.5,12.0,12.0,12.0,5.7,19.92,4.07,98,70,7.699999999999999,84.0,2.9484029484029484
