nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Bandung,-7.04,107.59,2019-01-01,26.6,21.0,23.2,4.0,4.0,12.0,11.2,11.08,2.38,94,72,5.600000000000001,83.0,1.680672268907563
Kab. Bandung,-7.04,107.59,2019-01-02,28.6,22.1,24.0,7.9,7.9,10.0,11.9,19.38,3.85,94,67,6.5,80.5,2.051948051948052
Kab. Bandung,-7.04,107.59,2019-01-03,28.9,21.8,24.2,8.1,8.1,11.0,11.8,15.45,3.21,95,73,7.099999999999998,84.0,2.5233644859813085
Kab. Bandung,-7.04,107.59,2019-01-04,29.6,21.2,24.8,0.0,0.0,0.0,9.7,24.53,5.0,95,56,8.400000000000002,75.5,0.0
Kab. Bandung,-7.04,107.59,2019-01-05,28.3,21.8,24.8,1.8,1.8,6.0,9.0,21.03,4.24,95,64,6.5,79.5,0.42452830188679247
Kab. Bandung,-7.04,107.59,2019-01-06,28.5,22.3,25.2,3.1,3.1,9.0,10.4,18.76,3.84,95,67,6.199999999999999,81.0,0.8072916666666667
Kab. Bandung,-7.04,107.59,2019-01-07,30.4,22.8,25.5,4.8,4.8,11.0,8.8,19.53,4.05,97,68,7.599999999999998,82.5,1.1851851851851851
Kab. Bandung,-7.04,107.59,2019-01-08,28.7,22.5,24.6,28.6,28.6,14.0,4.0,18.43,3.77,97,72,6.199999999999999,84.5,7.586206896551724
Kab. Bandung,-7.04,107.59,2019-01-09,27.7,22.2,24.4,16.9,16.9,11.0,4.7,18.14,3.68,97,73,5.5,85.0,4.592391304347825
Kab. Bandung,-7.04,107.59,2019-01-10,28.7,21.6,24.3,11.7,11.7,8.0,7.1,18.76,3.78,97,68,7.099999999999998,82.5,3.0952380952380953
Kab. Bandung,-7.04,107.59,2019-01-11,28.7,22.3,24.9,19.3,19.3,6.0,5.5,18.06,3.7,98,73,6.399999999999999,85.5,5.216216216216216
Kab. Bandung,-7.04,107.59,2019-01-12,29.5,22.7,25.1,10.8,10.8,7.0,4.1,19.69,4.03,97,69,6.800000000000001,83.0,2.6799007444168734
Kab. Bandung,-7.04,107.59,2019-01-13,28.7,22.3,24.1,32.0,32.0,19.0,5.3,13.49,2.81,99,80,6.399999999999999,89.5,11.387900355871887
Kab. Bandung,-7.04,107.59,2019-01-14,27.6,22.3,24.3,16.4,16.4,14.0,5.7,14.58,2.97,98,77,5.300000000000001,87.5,5.521885521885521
Kab. Bandung,-7.04,107.59,2019-01-15,28.5,22.7,24.4,11.6,11.6,11.0,7.2,13.53,2.81,97,76,5.800000000000001,86.5,4.128113879003559
Kab. Bandung,-7.04,107.59,2019-01-16,26.5,22.7,24.0,17.2,17.2,12.0,11.2,14.85,2.9,98,81,3.8000000000000007,89.5,5.931034482758621
Kab. Bandung,-7.04,107.59,2019-01-17,26.8,22.5,24.5,6.9,6.9,13.0,11.9,13.7,2.79,98,77,4.300000000000001,87.5,2.4731182795698925
Kab. Bandung,-7.04,107.59,2019-01-18,27.6,23.0,24.5,6.4,6.4,9.0,10.0,13.3,2.75,95,72,4.600000000000001,83.5,2.3272727272727276
Kab. Bandung,-7.04,107.59,2019-01-19,26.5,22.3,24.1,6.5,6.5,6.0,10.2,16.17,3.18,96,77,4.199999999999999,86.5,2.044025157232704
Kab. Bandung,-7.04,107.59,2019-01-20,27.5,22.2,24.4,15.3,15.3,8.0,9.2,13.78,2.8,96,72,5.300000000000001,84.0,5.464285714285715
Kab. Bandung,-7.04,107.59,2019-01-21,28.3,22.3,23.9,17.1,17.1,14.0,9.1,16.42,3.25,98,78,6.0,88.0,5.261538461538462
Kab. Bandung,-7.04,107.59,2019-01-22,25.3,21.8,23.2,12.9,12.9,19.0,8.9,8.51,1.81,97,79,3.5,88.0,7.12707182320442
Kab. Bandung,-7.04,107.59,2019-01-23,26.5,21.5,23.6,2.6,2.6,7.0,9.2,9.48,2.1,95,73,5.0,84.0,1.2380952380952381
Kab. Bandung,-7.04,107.59,2019-01-24,27.6,22.1,23.9,7.8,7.8,10.0,12.0,18.7,3.62,97,74,5.5,85.5,2.154696132596685
Kab. Bandung,-7.04,107.59,2019-01-25,25.4,21.1,23.0,15.6,15.6,17.0,9.0,9.27,1.89,98,80,4.299999999999997,89.0,8.253968253968255
Kab. Bandung,-7.04,107.59,2019-01-26,28.3,22.3,24.5,3.7,3.7,10.0,13.7,23.06,4.51,97,66,6.0,81.5,0.8203991130820399
Kab. Bandung,-7.04,107.59,2019-01-27,26.0,22.1,23.8,2.6,2.6,7.0,11.3,14.13,2.76,99,78,3.8999999999999986,88.5,0.9420289855072465
Kab. Bandung,-7.04,107.59,2019-01-28,26.8,21.8,24.0,3.3,3.3,9.0,13.7,19.38,3.75,95,71,5.0,83.0,0.88
Kab. Bandung,-7.04,107.59,2019-01-29,26.9,21.9,24.2,2.5,2.5,8.0,11.3,18.14,3.51,95,75,5.0,85.0,0.7122507122507123
Kab. Bandung,-7.04,107.59,2019-01-30,27.4,21.9,24.0,8.4,8.4,12.0,11.0,15.8,3.15,95,76,5.5,85.5,2.666666666666667
Kab. Bandung,-7.04,107.59,2019-01-31,27.0,21.8,23.6,7.8,7.8,10.0,9.8,14.79,3.01,97,71,5.199999999999999,84.0,2.5913621262458473
Kab. Bandung,-7.04,107.59,2019-02-01,27.8,21.1,23.5,8.7,8.7,9.0,10.3,17.87,3.58,97,65,6.699999999999999,81.0,2.430167597765363
Kab. Bandung,-7.04,107.59,2019-02-02,28.2,21.6,24.6,12.2,12.2,7.0,7.0,18.77,3.82,96,69,6.599999999999998,82.5,3.193717277486911
Kab. Bandung,-7.04,107.59,2019-02-03,28.1,22.5,24.4,16.3,16.3,10.0,7.2,16.07,3.29,96,72,5.600000000000001,84.0,4.954407294832827
Kab. Bandung,-7.04,107.59,2019-02-04,28.3,22.2,24.3,9.3,9.3,7.0,9.6,19.25,3.86,96,68,6.100000000000001,82.0,2.4093264248704664
Kab. Bandung,-7.04,107.59,2019-02-05,28.4,22.3,24.3,4.4,4.4,6.0,8.6,19.94,4.02,96,71,6.099999999999998,83.5,1.0945273631840797
Kab. Bandung,-7.04,107.59,2019-02-06,28.4,21.8,24.1,6.7,6.7,10.0,7.4,18.0,3.67,97,69,6.599999999999998,83.0,1.8256130790190737
Kab. Bandung,-7.04,107.59,2019-02-07,29.1,21.8,24.5,14.8,14.8,7.0,4.7,18.74,3.83,97,71,7.300000000000001,84.0,3.864229765013055
Kab. Bandung,-7.04,107.59,2019-02-08,28.2,22.5,24.4,14.2,14.2,9.0,7.4,16.3,3.34,97,72,5.699999999999999,84.5,4.251497005988024
Kab. Bandung,-7.04,107.59,2019-02-09,28.1,22.6,24.8,15.2,15.2,20.0,4.8,15.42,3.23,95,73,5.5,84.0,4.705882352941177
Kab. Bandung,-7.04,107.59,2019-02-10,28.6,22.5,24.4,14.3,14.3,15.0,6.9,15.6,3.24,96,72,6.100000000000001,84.0,4.41358024691358
Kab. Bandung,-7.04,107.59,2019-02-11,29.1,22.0,24.2,22.2,22.2,20.0,5.6,15.74,3.31,96,67,7.100000000000001,81.5,6.706948640483383
Kab. Bandung,-7.04,107.59,2019-02-12,28.3,22.2,24.2,10.7,10.7,12.0,4.8,16.47,3.41,98,71,6.100000000000001,84.5,3.1378299120234603
Kab. Bandung,-7.04,107.59,2019-02-13,28.6,22.1,24.7,2.7,2.7,10.0,8.1,18.96,3.87,96,67,6.5,81.5,0.6976744186046512
Kab. Bandung,-7.04,107.59,2019-02-14,28.6,22.6,25.2,1.7,1.7,10.0,7.1,19.99,4.1,96,66,6.0,81.0,0.41463414634146345
Kab. Bandung,-7.04,107.59,2019-02-15,26.6,23.2,24.5,38.7,38.7,17.0,4.4,15.54,3.16,96,79,3.400000000000002,87.5,12.246835443037975
Kab. Bandung,-7.04,107.59,2019-02-16,28.0,21.9,24.4,42.1,42.1,18.0,6.4,17.74,3.6,98,75,6.100000000000001,86.5,11.694444444444445
Kab. Bandung,-7.04,107.59,2019-02-17,28.1,22.0,24.2,23.2,23.2,11.0,9.1,17.01,3.5,98,72,6.100000000000001,85.0,6.628571428571428
Kab. Bandung,-7.04,107.59,2019-02-18,28.4,22.5,24.4,14.5,14.5,13.0,6.9,11.64,2.48,94,74,5.899999999999999,84.0,5.846774193548387
Kab. Bandung,-7.04,107.59,2019-02-19,29.2,21.8,24.5,5.8,5.8,8.0,5.4,18.64,3.86,96,66,7.399999999999999,81.0,1.5025906735751295
Kab. Bandung,-7.04,107.59,2019-02-20,29.0,23.4,25.0,16.4,16.4,15.0,6.3,14.57,3.07,96,72,5.600000000000001,84.0,5.342019543973941
