nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Bandung Barat,-6.84,107.45,2019-01-01,25.7,19.7,22.1,0.2,0.2,2.0,10.5,10.09,2.2,92,64,6.0,78.0,0.09090909090909091
Kab. Bandung Barat,-6.84,107.45,2019-01-02,28.7,20.6,23.0,7.5,7.5,7.0,13.0,20.71,4.04,93,57,8.099999999999998,75.0,1.8564356435643565
Kab. Bandung Barat,-6.84,107.45,2019-01-03,28.0,20.1,23.1,4.7,4.7,6.0,11.6,15.97,3.32,95,63,7.899999999999999,79.0,1.4156626506024097
Kab. Bandung Barat,-6.84,107.45,2019-01-04,28.4,19.6,23.5,0.0,0.0,0.0,9.0,24.96,4.96,93,53,8.799999999999997,73.0,0.0
Kab. Bandung Barat,-6.84,107.45,2019-01-05,27.4,20.5,23.4,1.7,1.7,7.0,9.1,21.37,4.15,95,63,6.899999999999999,79.0,0.4096385542168674
Kab. Bandung Barat,-6.84,107.45,2019-01-06,27.1,20.6,23.5,4.2,4.2,12.0,10.9,19.32,3.76,95,67,6.5,81.0,1.1170212765957448
Kab. Bandung Barat,-6.84,107.45,2019-01-07,28.5,21.0,23.9,7.2,7.2,13.0,9.1,19.67,3.89,96,70,7.5,83.0,1.8508997429305913
Kab. Bandung Barat,-6.84,107.45,2019-01-08,27.0,20.9,23.1,35.7,35.7,19.0,5.5,17.95,3.55,97,71,6.100000000000001,84.0,10.056338028169016
Kab. Bandung Barat,-6.84,107.45,2019-01-09,26.4,20.6,22.9,13.3,13.3,11.0,9.8,18.08,3.47,97,71,5.799999999999997,84.0,3.8328530259365996
Kab. Bandung Barat,-6.84,107.45,2019-01-10,27.1,20.0,22.7,9.9,9.9,9.0,7.9,19.77,3.78,97,67,7.100000000000001,82.0,2.619047619047619
Kab. Bandung Barat,-6.84,107.45,2019-01-11,27.3,20.8,23.3,13.9,13.9,6.0,8.3,19.48,3.8,98,70,6.5,84.0,3.6578947368421053
Kab. Bandung Barat,-6.84,107.45,2019-01-12,28.1,20.9,23.4,8.6,8.6,10.0,7.9,19.23,3.74,96,68,7.200000000000003,82.0,2.299465240641711
Kab. Bandung Barat,-6.84,107.45,2019-01-13,26.7,20.9,22.5,27.7,27.7,17.0,8.2,13.44,2.68,98,72,5.800000000000001,85.0,10.335820895522387
Kab. Bandung Barat,-6.84,107.45,2019-01-14,26.0,20.6,22.6,12.4,12.4,14.0,8.3,14.53,2.84,97,73,5.399999999999999,85.0,4.366197183098592
Kab. Bandung Barat,-6.84,107.45,2019-01-15,27.3,20.9,22.9,10.8,10.8,14.0,9.4,13.04,2.66,97,71,6.400000000000002,84.0,4.06015037593985
Kab. Bandung Barat,-6.84,107.45,2019-01-16,24.8,21.1,22.5,12.5,12.5,13.0,13.1,14.37,2.72,96,78,3.6999999999999993,87.0,4.595588235294118
Kab. Bandung Barat,-6.84,107.45,2019-01-17,26.7,20.7,23.2,5.5,5.5,11.0,13.8,15.64,3.12,98,67,6.0,82.5,1.7628205128205128
Kab. Bandung Barat,-6.84,107.45,2019-01-18,26.8,21.3,23.2,6.3,6.3,7.0,12.4,12.95,2.68,95,67,5.5,81.0,2.3507462686567164
Kab. Bandung Barat,-6.84,107.45,2019-01-19,25.7,20.7,22.8,3.8,3.8,6.0,11.5,16.32,3.1,96,73,5.0,84.5,1.225806451612903
Kab. Bandung Barat,-6.84,107.45,2019-01-20,25.8,20.4,23.0,12.4,12.4,10.0,10.8,14.67,2.85,95,72,5.400000000000002,83.5,4.350877192982456
Kab. Bandung Barat,-6.84,107.45,2019-01-21,27.1,20.5,22.2,13.4,13.4,14.0,12.8,17.23,3.23,98,75,6.600000000000001,86.5,4.148606811145511
Kab. Bandung Barat,-6.84,107.45,2019-01-22,23.4,20.1,21.4,12.3,12.3,19.0,9.4,7.53,1.57,97,80,3.299999999999997,88.5,7.834394904458599
Kab. Bandung Barat,-6.84,107.45,2019-01-23,25.0,20.0,22.1,2.5,2.5,7.0,9.7,9.42,2.01,95,73,5.0,84.0,1.2437810945273633
Kab. Bandung Barat,-6.84,107.45,2019-01-24,26.0,20.7,22.5,6.1,6.1,10.0,14.4,19.26,3.58,96,73,5.300000000000001,84.5,1.7039106145251395
Kab. Bandung Barat,-6.84,107.45,2019-01-25,24.6,19.6,21.5,12.0,12.0,15.0,7.9,10.0,1.99,98,75,5.0,86.5,6.030150753768845
Kab. Bandung Barat,-6.84,107.45,2019-01-26,26.5,20.6,22.8,5.3,5.3,12.0,13.5,21.02,3.91,95,70,5.899999999999999,82.5,1.3554987212276215
Kab. Bandung Barat,-6.84,107.45,2019-01-27,24.9,20.2,22.1,2.9,2.9,5.0,12.6,12.6,2.4,98,77,4.699999999999999,87.5,1.2083333333333333
Kab. Bandung Barat,-6.84,107.45,2019-01-28,25.3,20.2,22.3,3.7,3.7,11.0,14.1,17.54,3.23,96,74,5.100000000000001,85.0,1.1455108359133128
Kab. Bandung Barat,-6.84,107.45,2019-01-29,25.4,20.1,22.5,3.6,3.6,11.0,10.0,16.15,3.04,97,72,5.299999999999997,84.5,1.1842105263157894
Kab. Bandung Barat,-6.84,107.45,2019-01-30,25.7,20.3,22.4,8.7,8.7,16.0,10.2,16.23,3.11,96,76,5.399999999999999,86.0,2.797427652733119
Kab. Bandung Barat,-6.84,107.45,2019-01-31,25.3,20.1,21.9,7.1,7.1,7.0,9.8,14.01,2.75,98,73,5.199999999999999,85.5,2.5818181818181816
Kab. Bandung Barat,-6.84,107.45,2019-02-01,26.2,19.5,21.9,8.1,8.1,9.0,13.3,18.19,3.47,98,64,6.699999999999999,81.0,2.334293948126801
