nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Bekasi,-6.37,107.14,2019-01-01,29.0,24.8,26.2,2.3,2.3,5.0,19.6,8.49,2.37,88,71,4.199999999999999,79.5,0.970464135021097
Kab. Bekasi,-6.37,107.14,2019-01-02,31.9,24.7,27.3,1.9,1.9,4.0,22.8,23.09,5.02,88,60,7.199999999999999,74.0,0.3784860557768924
Kab. Bekasi,-6.37,107.14,2019-01-03,32.3,24.7,27.6,0.2,0.2,1.0,18.1,17.72,4.23,88,60,7.599999999999998,74.0,0.04728132387706856
Kab. Bekasi,-6.37,107.14,2019-01-04,32.0,24.0,27.7,0.0,0.0,0.0,11.3,25.41,5.47,89,55,8.0,72.0,0.0
Kab. Bekasi,-6.37,107.14,2019-01-05,32.3,24.9,27.9,1.2,1.2,4.0,11.3,23.51,4.97,87,59,7.399999999999999,73.0,0.2414486921529175
Kab. Bekasi,-6.37,107.14,2019-01-06,31.2,24.8,28.0,5.0,5.0,6.0,10.7,22.01,4.54,92,69,6.399999999999999,80.5,1.1013215859030836
Kab. Bekasi,-6.37,107.14,2019-01-07,31.6,24.9,27.7,6.2,6.2,17.0,11.4,20.05,4.18,94,64,6.700000000000003,79.0,1.4832535885167466
Kab. Bekasi,-6.37,107.14,2019-01-08,31.1,25.0,27.3,19.2,19.2,10.0,13.5,20.53,4.27,94,67,6.100000000000001,80.5,4.49648711943794
Kab. Bekasi,-6.37,107.14,2019-01-09,30.6,24.8,27.2,10.0,10.0,6.0,13.5,21.05,4.21,94,68,5.800000000000001,81.0,2.375296912114014
Kab. Bekasi,-6.37,107.14,2019-01-10,30.5,24.2,27.0,9.5,9.5,12.0,10.8,21.84,4.4,94,69,6.300000000000001,81.5,2.1590909090909087
Kab. Bekasi,-6.37,107.14,2019-01-11,31.6,25.3,27.9,5.6,5.6,9.0,13.8,22.71,4.66,94,65,6.300000000000001,79.5,1.2017167381974247
Kab. Bekasi,-6.37,107.14,2019-01-12,30.4,25.1,27.5,9.6,9.6,12.0,12.0,20.88,4.25,93,71,5.299999999999997,82.0,2.2588235294117647
Kab. Bekasi,-6.37,107.14,2019-01-13,30.0,25.0,26.7,21.6,21.6,17.0,14.8,16.25,3.31,95,73,5.0,84.0,6.525679758308158
Kab. Bekasi,-6.37,107.14,2019-01-14,29.5,24.5,26.5,11.7,11.7,16.0,14.7,14.36,3.0,96,74,5.0,85.0,3.9
Kab. Bekasi,-6.37,107.14,2019-01-15,31.0,24.9,27.1,7.5,7.5,7.0,19.2,15.61,3.51,92,65,6.100000000000001,78.5,2.1367521367521367
Kab. Bekasi,-6.37,107.14,2019-01-16,29.5,25.5,27.2,4.2,4.2,4.0,20.5,14.66,3.46,89,71,4.0,80.0,1.2138728323699424
Kab. Bekasi,-6.37,107.14,2019-01-17,31.2,25.0,27.3,9.2,9.2,10.0,21.1,19.25,4.17,92,65,6.199999999999999,78.5,2.2062350119904077
Kab. Bekasi,-6.37,107.14,2019-01-18,30.9,25.4,27.4,6.4,6.4,5.0,18.8,15.92,3.52,90,67,5.5,78.5,1.8181818181818183
Kab. Bekasi,-6.37,107.14,2019-01-19,29.7,25.3,27.2,1.2,1.2,5.0,17.4,17.47,3.68,90,72,4.399999999999999,81.0,0.3260869565217391
Kab. Bekasi,-6.37,107.14,2019-01-20,30.5,25.0,27.5,7.2,7.2,14.0,17.5,17.83,3.79,91,69,5.5,80.0,1.8997361477572559
Kab. Bekasi,-6.37,107.14,2019-01-21,30.1,24.9,26.4,18.5,18.5,21.0,18.0,18.15,3.59,93,72,5.200000000000003,82.5,5.153203342618385
Kab. Bekasi,-6.37,107.14,2019-01-22,27.8,24.4,25.5,25.0,25.0,24.0,14.3,8.69,1.87,95,82,3.400000000000002,88.5,13.36898395721925
Kab. Bekasi,-6.37,107.14,2019-01-23,29.9,24.1,26.6,4.4,4.4,12.0,14.6,14.31,3.21,96,67,5.799999999999997,81.5,1.370716510903427
Kab. Bekasi,-6.37,107.14,2019-01-24,30.6,24.8,27.0,6.3,6.3,14.0,21.6,22.27,4.48,93,70,5.800000000000001,81.5,1.4062499999999998
Kab. Bekasi,-6.37,107.14,2019-01-25,29.1,24.2,26.0,10.5,10.5,19.0,16.6,12.87,2.72,95,74,4.900000000000002,84.5,3.8602941176470584
Kab. Bekasi,-6.37,107.14,2019-01-26,30.3,24.5,27.0,2.7,2.7,12.0,19.9,19.5,3.91,96,74,5.800000000000001,85.0,0.690537084398977
Kab. Bekasi,-6.37,107.14,2019-01-27,28.6,25.1,26.5,15.2,15.2,17.0,21.4,12.11,2.64,94,74,3.5,84.0,5.757575757575757
Kab. Bekasi,-6.37,107.14,2019-01-28,29.7,24.5,26.8,8.0,8.0,20.0,22.7,20.59,4.02,95,73,5.199999999999999,84.0,1.9900497512437814
