nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Ciamis,-7.33,108.35,2019-01-01,30.8,22.9,26.0,15.5,15.5,9.0,4.7,13.5,2.91,98,65,7.900000000000002,81.5,5.326460481099656
Kab. Ciamis,-7.33,108.35,2019-01-02,31.7,24.0,26.5,26.5,26.5,11.0,5.1,16.8,3.59,98,64,7.699999999999999,81.0,7.381615598885794
Kab. Ciamis,-7.33,108.35,2019-01-03,32.2,23.2,26.5,17.7,17.7,10.0,6.9,13.58,3.01,99,64,9.000000000000004,81.5,5.880398671096346
Kab. Ciamis,-7.33,108.35,2019-01-04,31.5,22.9,26.7,5.1,5.1,7.0,5.1,22.14,4.67,98,61,8.600000000000001,79.5,1.0920770877944326
Kab. Ciamis,-7.33,108.35,2019-01-05,31.4,23.8,26.9,11.2,11.2,9.0,5.5,18.96,3.96,96,68,7.599999999999998,82.0,2.8282828282828283
Kab. Ciamis,-7.33,108.35,2019-01-06,31.6,24.2,27.5,5.0,5.0,10.0,8.6,16.47,3.53,96,69,7.400000000000002,82.5,1.41643059490085
Kab. Ciamis,-7.33,108.35,2019-01-07,33.1,25.1,27.6,7.5,7.5,13.0,5.7,17.86,3.92,95,61,8.0,78.0,1.913265306122449
Kab. Ciamis,-7.33,108.35,2019-01-08,31.3,23.9,26.9,5.7,5.7,8.0,8.6,20.0,4.07,97,76,7.400000000000002,86.5,1.4004914004914004
Kab. Ciamis,-7.33,108.35,2019-01-09,32.1,24.2,27.1,6.7,6.7,8.0,6.1,20.62,4.34,97,65,7.900000000000002,81.0,1.543778801843318
Kab. Ciamis,-7.33,108.35,2019-01-10,32.0,23.8,27.1,15.4,15.4,7.0,5.8,18.95,4.03,97,69,8.2,83.0,3.821339950372208
Kab. Ciamis,-7.33,108.35,2019-01-11,32.3,24.0,27.4,7.9,7.9,8.0,4.7,19.2,4.09,98,72,8.299999999999997,85.0,1.9315403422982886
Kab. Ciamis,-7.33,108.35,2019-01-12,33.3,25.2,27.9,5.4,5.4,13.0,5.2,19.1,4.09,97,65,8.099999999999998,81.0,1.3202933985330074
Kab. Ciamis,-7.33,108.35,2019-01-13,30.2,24.6,26.4,24.4,24.4,16.0,6.3,11.66,2.51,99,78,5.599999999999998,88.5,9.721115537848606
Kab. Ciamis,-7.33,108.35,2019-01-14,31.4,24.2,27.0,17.4,17.4,13.0,4.6,16.31,3.49,99,66,7.199999999999999,82.5,4.985673352435529
Kab. Ciamis,-7.33,108.35,2019-01-15,32.5,24.3,27.1,12.7,12.7,6.0,7.1,16.86,3.65,96,65,8.2,80.5,3.4794520547945202
Kab. Ciamis,-7.33,108.35,2019-01-16,31.0,25.0,26.9,14.1,14.1,8.0,3.7,15.1,3.22,99,73,6.0,86.0,4.378881987577639
Kab. Ciamis,-7.33,108.35,2019-01-17,30.2,25.1,26.9,21.4,21.4,15.0,5.7,12.03,2.6,99,75,5.099999999999998,87.0,8.23076923076923
Kab. Ciamis,-7.33,108.35,2019-01-18,30.5,24.4,26.9,18.0,18.0,10.0,5.1,13.94,3.02,97,73,6.100000000000001,85.0,5.960264900662252
