nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Cianjur,-6.82,107.14,2019-01-01,27.7,21.4,23.7,0.4,0.4,3.0,8.3,9.24,2.07,95,67,6.300000000000001,81.0,0.19323671497584544
Kab. Cianjur,-6.82,107.14,2019-01-02,30.6,22.3,24.8,6.7,6.7,6.0,10.7,20.97,4.22,94,60,8.3,77.0,1.5876777251184835
Kab. Cianjur,-6.82,107.14,2019-01-03,30.4,21.9,24.9,2.6,2.6,4.0,11.2,17.09,3.62,96,63,8.5,79.5,0.7182320441988951
Kab. Cianjur,-6.82,107.14,2019-01-04,31.0,21.4,25.7,0.0,0.0,0.0,7.1,25.29,5.18,94,49,9.600000000000001,71.5,0.0
Kab. Cianjur,-6.82,107.14,2019-01-05,30.1,22.1,25.4,1.1,1.1,6.0,8.0,21.74,4.4,93,60,8.0,76.5,0.25
Kab. Cianjur,-6.82,107.14,2019-01-06,29.4,22.5,25.7,3.6,3.6,11.0,10.8,20.13,4.07,96,64,6.899999999999999,80.0,0.8845208845208845
Kab. Cianjur,-6.82,107.14,2019-01-07,30.6,22.7,26.0,4.5,4.5,13.0,8.7,19.72,4.11,96,65,7.900000000000002,80.5,1.094890510948905
Kab. Cianjur,-6.82,107.14,2019-01-08,29.8,22.8,25.2,21.7,21.7,18.0,4.0,18.1,3.73,97,69,7.0,83.0,5.81769436997319
Kab. Cianjur,-6.82,107.14,2019-01-09,29.0,22.5,24.9,16.1,16.1,10.0,9.5,17.91,3.58,97,69,6.5,83.0,4.4972067039106145
Kab. Cianjur,-6.82,107.14,2019-01-10,29.5,21.8,24.6,9.7,9.7,7.0,7.2,19.36,3.86,98,66,7.699999999999999,82.0,2.5129533678756477
Kab. Cianjur,-6.82,107.14,2019-01-11,30.4,22.5,25.3,11.0,11.0,6.0,8.1,19.59,3.99,99,67,7.899999999999999,83.0,2.756892230576441
Kab. Cianjur,-6.82,107.14,2019-01-12,30.8,22.6,25.4,6.7,6.7,10.0,7.1,19.19,3.92,97,67,8.2,82.0,1.709183673469388
Kab. Cianjur,-6.82,107.14,2019-01-13,28.9,22.9,24.5,16.8,16.8,15.0,5.4,13.76,2.83,98,72,6.0,85.0,5.936395759717315
Kab. Cianjur,-6.82,107.14,2019-01-14,28.4,22.2,24.5,9.5,9.5,13.0,7.1,14.18,2.89,98,70,6.199999999999999,84.0,3.2871972318339098
