nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Cirebon,-6.76,108.55,2019-01-01,29.8,25.6,27.2,10.6,10.6,16.0,10.7,12.53,2.8,91,71,4.199999999999999,81.0,3.785714285714286
Kab. Cirebon,-6.76,108.55,2019-01-02,29.7,25.7,27.1,26.8,26.8,15.0,11.4,18.71,3.81,93,73,4.0,83.0,7.034120734908137
Kab. Cirebon,-6.76,108.55,2019-01-03,29.3,25.5,27.0,25.5,25.5,16.0,9.9,13.77,2.95,93,76,3.8000000000000007,84.5,8.64406779661017
Kab. Cirebon,-6.76,108.55,2019-01-04,29.8,25.4,27.6,1.0,1.0,7.0,12.4,22.42,4.51,91,73,4.400000000000002,82.0,0.22172949002217296
Kab. Cirebon,-6.76,108.55,2019-01-05,30.4,26.0,27.9,2.1,2.1,9.0,11.3,20.99,4.27,89,73,4.399999999999999,81.0,0.49180327868852464
Kab. Cirebon,-6.76,108.55,2019-01-06,30.5,26.0,28.3,1.1,1.1,6.0,9.8,20.88,4.28,88,73,4.5,80.5,0.25700934579439255
Kab. Cirebon,-6.76,108.55,2019-01-07,30.6,26.1,27.9,5.8,5.8,15.0,10.7,19.03,3.95,92,70,4.5,81.0,1.4683544303797467
Kab. Cirebon,-6.76,108.55,2019-01-08,30.9,25.7,27.6,9.0,9.0,14.0,8.9,21.64,4.41,91,70,5.199999999999999,80.5,2.0408163265306123
Kab. Cirebon,-6.76,108.55,2019-01-09,30.1,26.2,27.6,6.5,6.5,10.0,13.1,20.7,4.15,91,74,3.900000000000002,82.5,1.5662650602409638
Kab. Cirebon,-6.76,108.55,2019-01-10,30.4,25.9,27.9,4.9,4.9,7.0,10.2,20.97,4.35,91,71,4.5,81.0,1.1264367816091956
Kab. Cirebon,-6.76,108.55,2019-01-11,30.1,26.1,27.9,13.9,13.9,10.0,11.6,19.02,3.95,91,75,4.0,83.0,3.518987341772152
Kab. Cirebon,-6.76,108.55,2019-01-12,31.4,25.9,27.9,5.6,5.6,12.0,9.4,20.4,4.22,91,70,5.5,80.5,1.3270142180094786
Kab. Cirebon,-6.76,108.55,2019-01-13,28.9,25.7,26.9,27.2,27.2,16.0,10.4,9.53,2.1,92,79,3.1999999999999993,85.5,12.95238095238095
Kab. Cirebon,-6.76,108.55,2019-01-14,30.2,25.5,27.3,10.5,10.5,12.0,13.0,18.26,3.72,93,73,4.699999999999999,83.0,2.82258064516129
Kab. Cirebon,-6.76,108.55,2019-01-15,31.2,26.4,27.9,7.0,7.0,10.0,12.6,18.02,3.78,90,71,4.800000000000001,80.5,1.8518518518518519
Kab. Cirebon,-6.76,108.55,2019-01-16,29.7,26.2,27.6,8.4,8.4,12.0,18.5,14.88,3.15,90,78,3.5,84.0,2.666666666666667
Kab. Cirebon,-6.76,108.55,2019-01-17,30.9,26.5,27.8,8.3,8.3,12.0,15.9,16.12,3.45,91,68,4.399999999999999,79.5,2.4057971014492754
