nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Garut,-7.23,107.9,2019-01-01,27.7,20.2,23.0,3.6,3.6,6.0,4.6,13.34,2.77,96,56,7.5,76.0,1.2996389891696751
Kab. Garut,-7.23,107.9,2019-01-02,28.5,21.1,23.4,14.0,14.0,8.0,4.7,17.27,3.52,98,63,7.399999999999999,80.5,3.977272727272727
Kab. Garut,-7.23,107.9,2019-01-03,28.8,20.7,23.5,15.1,15.1,9.0,4.8,14.08,2.95,98,65,8.100000000000001,81.5,5.11864406779661
Kab. Garut,-7.23,107.9,2019-01-04,29.1,19.5,23.8,1.5,1.5,8.0,5.2,22.45,4.55,97,55,9.600000000000001,76.0,0.32967032967032966
Kab. Garut,-7.23,107.9,2019-01-05,27.8,20.6,23.8,11.3,11.3,11.0,5.4,19.42,3.88,95,66,7.199999999999999,80.5,2.912371134020619
Kab. Garut,-7.23,107.9,2019-01-06,28.5,21.1,24.4,5.4,5.4,11.0,7.2,16.76,3.44,96,68,7.399999999999999,82.0,1.5697674418604652
Kab. Garut,-7.23,107.9,2019-01-07,30.4,22.1,24.7,2.8,2.8,11.0,6.2,18.28,3.86,95,59,8.299999999999997,77.0,0.7253886010362695
Kab. Garut,-7.23,107.9,2019-01-08,28.6,21.0,23.7,4.0,4.0,9.0,7.4,19.44,3.81,97,77,7.600000000000001,87.0,1.0498687664041995
Kab. Garut,-7.23,107.9,2019-01-09,28.3,20.9,23.8,5.1,5.1,7.0,5.9,19.98,4.02,98,64,7.400000000000002,81.0,1.2686567164179106
Kab. Garut,-7.23,107.9,2019-01-10,28.8,20.5,23.8,7.6,7.6,6.0,5.1,18.54,3.77,97,67,8.3,82.0,2.0159151193633953
Kab. Garut,-7.23,107.9,2019-01-11,28.8,20.7,24.3,3.7,3.7,7.0,6.5,18.42,3.76,98,72,8.100000000000001,85.0,0.9840425531914895
Kab. Garut,-7.23,107.9,2019-01-12,30.3,22.3,24.9,1.8,1.8,4.0,6.2,19.47,4.0,96,65,8.0,80.5,0.45
Kab. Garut,-7.23,107.9,2019-01-13,27.5,21.6,23.5,15.7,15.7,16.0,6.3,12.61,2.63,98,74,5.899999999999999,86.0,5.969581749049429
Kab. Garut,-7.23,107.9,2019-01-14,27.8,21.4,23.8,14.2,14.2,13.0,6.3,15.85,3.25,98,68,6.400000000000002,83.0,4.369230769230769
Kab. Garut,-7.23,107.9,2019-01-15,29.1,21.4,24.0,16.8,16.8,7.0,4.8,15.69,3.25,96,64,7.700000000000003,80.0,5.1692307692307695
Kab. Garut,-7.23,107.9,2019-01-16,28.2,21.9,23.8,12.4,12.4,8.0,4.7,15.24,3.11,99,72,6.300000000000001,85.5,3.987138263665595
Kab. Garut,-7.23,107.9,2019-01-17,26.8,21.9,23.8,12.3,12.3,16.0,6.8,12.17,2.53,100,78,4.900000000000002,89.0,4.861660079051384
Kab. Garut,-7.23,107.9,2019-01-18,27.5,21.6,23.9,18.2,18.2,14.0,5.4,13.82,2.86,97,74,5.899999999999999,85.5,6.363636363636363
Kab. Garut,-7.23,107.9,2019-01-19,26.6,20.8,23.3,24.3,24.3,7.0,3.6,14.11,2.86,99,73,5.800000000000001,86.0,8.496503496503497
Kab. Garut,-7.23,107.9,2019-01-20,26.9,20.8,23.4,36.2,36.2,11.0,4.9,13.98,2.81,98,73,6.099999999999998,85.5,12.882562277580073
Kab. Garut,-7.23,107.9,2019-01-21,28.2,21.0,23.2,27.0,27.0,16.0,4.7,15.85,3.22,100,75,7.199999999999999,87.5,8.385093167701863
Kab. Garut,-7.23,107.9,2019-01-22,26.2,21.0,23.0,22.8,22.8,18.0,5.2,9.54,2.04,99,76,5.199999999999999,87.5,11.176470588235293
Kab. Garut,-7.23,107.9,2019-01-23,26.6,20.7,22.9,3.9,3.9,8.0,5.5,8.83,1.95,99,69,5.900000000000002,84.0,2.0
Kab. Garut,-7.23,107.9,2019-01-24,28.0,20.4,23.2,16.8,16.8,11.0,4.8,17.77,3.58,98,70,7.600000000000001,84.0,4.692737430167598
Kab. Garut,-7.23,107.9,2019-01-25,25.0,19.7,22.6,12.9,12.9,15.0,4.4,10.81,2.21,100,78,5.300000000000001,89.0,5.837104072398191
Kab. Garut,-7.23,107.9,2019-01-26,28.9,21.1,24.3,2.5,2.5,9.0,5.9,23.01,4.64,97,59,7.799999999999997,78.0,0.5387931034482759
Kab. Garut,-7.23,107.9,2019-01-27,26.4,21.1,23.6,3.1,3.1,6.0,7.2,15.04,3.02,98,75,5.299999999999997,86.5,1.0264900662251655
Kab. Garut,-7.23,107.9,2019-01-28,27.7,20.4,23.5,5.1,5.1,8.0,5.5,20.38,4.06,97,63,7.300000000000001,80.0,1.2561576354679804
Kab. Garut,-7.23,107.9,2019-01-29,28.1,20.5,23.7,3.9,3.9,7.0,5.8,17.69,3.52,99,68,7.600000000000001,83.5,1.1079545454545454
Kab. Garut,-7.23,107.9,2019-01-30,27.4,19.9,23.2,20.1,20.1,12.0,4.9,16.19,3.29,98,71,7.5,84.5,6.109422492401216
Kab. Garut,-7.23,107.9,2019-01-31,26.5,20.4,22.6,29.1,29.1,11.0,3.6,12.81,2.64,98,71,6.100000000000001,84.5,11.022727272727273
Kab. Garut,-7.23,107.9,2019-02-01,27.8,19.7,22.7,25.9,25.9,12.0,3.3,15.58,3.19,97,67,8.100000000000001,82.0,8.119122257053291
