nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Indramayu,-6.33,108.32,2019-01-01,31.5,25.1,27.5,0.9,0.9,2.0,14.8,10.69,2.83,91,59,6.399999999999999,75.0,0.31802120141342755
Kab. Indramayu,-6.33,108.32,2019-01-02,33.5,25.3,28.0,4.2,4.2,4.0,18.3,20.04,4.37,90,56,8.2,73.0,0.9610983981693364
Kab. Indramayu,-6.33,108.32,2019-01-03,33.2,25.3,27.9,10.4,10.4,7.0,10.1,13.68,3.16,92,59,7.900000000000002,75.5,3.291139240506329
Kab. Indramayu,-6.33,108.32,2019-01-04,33.2,25.2,28.9,0.0,0.0,0.0,10.9,22.68,4.96,91,53,8.000000000000004,72.0,0.0
Kab. Indramayu,-6.33,108.32,2019-01-05,34.0,25.7,29.0,3.8,3.8,4.0,9.8,21.73,4.7,89,54,8.3,71.5,0.8085106382978723
Kab. Indramayu,-6.33,108.32,2019-01-06,33.4,25.4,29.3,0.5,0.5,4.0,9.1,20.67,4.46,92,60,8.0,76.0,0.11210762331838565
Kab. Indramayu,-6.33,108.32,2019-01-07,33.5,26.3,29.0,8.7,8.7,17.0,10.1,18.43,4.06,90,58,7.199999999999999,74.0,2.142857142857143
Kab. Indramayu,-6.33,108.32,2019-01-08,32.5,25.0,27.8,24.0,24.0,11.0,9.4,21.49,4.48,95,67,7.5,81.0,5.357142857142857
Kab. Indramayu,-6.33,108.32,2019-01-09,32.2,25.3,28.0,12.3,12.3,11.0,12.2,19.59,4.09,94,64,6.900000000000002,79.0,3.007334963325184
Kab. Indramayu,-6.33,108.32,2019-01-10,32.6,24.8,28.3,3.1,3.1,9.0,9.5,21.68,4.59,93,64,7.800000000000001,78.5,0.6753812636165578
Kab. Indramayu,-6.33,108.32,2019-01-11,33.2,25.9,28.6,8.1,8.1,3.0,11.0,19.95,4.3,92,64,7.300000000000004,78.0,1.8837209302325582
Kab. Indramayu,-6.33,108.32,2019-01-12,33.1,25.6,28.4,6.2,6.2,13.0,9.4,19.49,4.2,91,64,7.5,77.5,1.4761904761904763
Kab. Indramayu,-6.33,108.32,2019-01-13,31.2,25.4,27.1,12.2,12.2,15.0,8.4,12.47,2.73,96,73,5.800000000000001,84.5,4.468864468864469
Kab. Indramayu,-6.33,108.32,2019-01-14,31.9,24.9,27.6,6.7,6.7,12.0,13.2,17.64,3.73,94,64,7.0,79.0,1.7962466487935658
Kab. Indramayu,-6.33,108.32,2019-01-15,32.8,26.0,28.2,2.4,2.4,2.0,16.4,16.25,3.75,91,60,6.799999999999997,75.5,0.64
Kab. Indramayu,-6.33,108.32,2019-01-16,30.7,25.8,27.8,2.2,2.2,5.0,20.2,14.53,3.33,94,68,4.899999999999999,81.0,0.6606606606606606
Kab. Indramayu,-6.33,108.32,2019-01-17,32.8,26.3,28.3,3.5,3.5,8.0,20.6,17.94,4.07,92,61,6.4999999999999964,76.5,0.8599508599508598
Kab. Indramayu,-6.33,108.32,2019-01-18,32.1,25.7,28.0,3.1,3.1,5.0,19.6,16.53,3.63,92,65,6.400000000000002,78.5,0.8539944903581268
Kab. Indramayu,-6.33,108.32,2019-01-19,31.5,25.4,27.9,2.7,2.7,5.0,18.7,18.72,3.93,94,67,6.100000000000001,80.5,0.6870229007633588
Kab. Indramayu,-6.33,108.32,2019-01-20,31.1,25.7,28.1,8.2,8.2,8.0,14.5,17.51,3.75,92,68,5.400000000000002,80.0,2.1866666666666665
Kab. Indramayu,-6.33,108.32,2019-01-21,32.6,25.2,27.2,12.8,12.8,13.0,21.9,17.28,3.7,94,62,7.400000000000002,78.0,3.4594594594594597
Kab. Indramayu,-6.33,108.32,2019-01-22,28.6,24.7,26.0,13.4,13.4,17.0,18.1,9.03,2.03,94,79,3.900000000000002,86.5,6.600985221674877
Kab. Indramayu,-6.33,108.32,2019-01-23,29.3,24.3,26.9,3.1,3.1,6.0,17.3,10.25,2.46,95,73,5.0,84.0,1.2601626016260163
Kab. Indramayu,-6.33,108.32,2019-01-24,32.1,25.4,27.6,4.2,4.2,4.0,21.0,20.9,4.47,91,66,6.700000000000003,78.5,0.9395973154362417
Kab. Indramayu,-6.33,108.32,2019-01-25,29.4,24.9,26.6,9.6,9.6,12.0,18.3,14.62,3.09,96,72,4.5,84.0,3.1067961165048543
Kab. Indramayu,-6.33,108.32,2019-01-26,30.8,25.4,27.6,7.5,7.5,16.0,22.1,20.76,4.22,94,70,5.400000000000002,82.0,1.7772511848341233
Kab. Indramayu,-6.33,108.32,2019-01-27,29.4,25.5,26.9,4.5,4.5,9.0,20.2,14.94,3.08,94,73,3.8999999999999986,83.5,1.461038961038961
Kab. Indramayu,-6.33,108.32,2019-01-28,30.5,25.2,27.4,2.2,2.2,11.0,23.4,20.08,4.1,93,72,5.300000000000001,82.5,0.5365853658536587
Kab. Indramayu,-6.33,108.32,2019-01-29,30.2,25.3,27.6,2.7,2.7,6.0,17.9,14.63,3.15,95,70,4.899999999999999,82.5,0.8571428571428572
Kab. Indramayu,-6.33,108.32,2019-01-30,32.1,24.6,27.5,7.0,7.0,11.0,15.9,18.4,3.93,94,67,7.5,80.5,1.7811704834605597
Kab. Indramayu,-6.33,108.32,2019-01-31,31.1,25.4,27.3,3.0,3.0,5.0,15.0,15.93,3.43,94,68,5.700000000000003,81.0,0.8746355685131195
Kab. Indramayu,-6.33,108.32,2019-02-01,31.6,24.8,27.1,12.7,12.7,8.0,17.1,19.29,4.08,94,62,6.800000000000001,78.0,3.1127450980392153
Kab. Indramayu,-6.33,108.32,2019-02-02,32.2,24.7,27.7,11.7,11.7,16.0,12.3,17.88,3.8,95,66,7.5000000000000036,80.5,3.0789473684210527
Kab. Indramayu,-6.33,108.32,2019-02-03,30.9,25.6,27.5,11.2,11.2,20.0,7.9,16.23,3.38,95,77,5.299999999999997,86.0,3.3136094674556213
Kab. Indramayu,-6.33,108.32,2019-02-04,30.8,25.7,27.4,9.1,9.1,17.0,11.8,14.5,3.16,95,68,5.100000000000001,81.5,2.8797468354430378
Kab. Indramayu,-6.33,108.32,2019-02-05,31.7,25.0,27.4,9.9,9.9,12.0,16.8,20.06,4.23,93,65,6.699999999999999,79.0,2.3404255319148937
Kab. Indramayu,-6.33,108.32,2019-02-06,31.4,25.1,27.3,6.8,6.8,9.0,16.4,18.97,3.96,94,70,6.299999999999997,82.0,1.7171717171717171
Kab. Indramayu,-6.33,108.32,2019-02-07,32.5,24.3,27.5,15.6,15.6,16.0,9.5,20.22,4.26,96,67,8.2,81.5,3.6619718309859155
Kab. Indramayu,-6.33,108.32,2019-02-08,32.3,24.7,27.4,13.9,13.9,16.0,7.2,18.54,3.93,96,70,7.599999999999998,83.0,3.536895674300254
Kab. Indramayu,-6.33,108.32,2019-02-09,32.3,25.0,28.1,11.0,11.0,15.0,6.4,17.7,3.78,95,66,7.299999999999997,80.5,2.9100529100529102
Kab. Indramayu,-6.33,108.32,2019-02-10,32.1,25.5,27.7,15.7,15.7,12.0,11.7,19.94,4.19,93,67,6.600000000000001,80.0,3.7470167064439135
Kab. Indramayu,-6.33,108.32,2019-02-11,31.8,25.1,27.3,23.8,23.8,24.0,9.9,15.44,3.34,95,68,6.699999999999999,81.5,7.125748502994012
Kab. Indramayu,-6.33,108.32,2019-02-12,30.8,25.0,26.9,9.0,9.0,17.0,8.1,12.46,2.72,97,68,5.800000000000001,82.5,3.3088235294117645
Kab. Indramayu,-6.33,108.32,2019-02-13,31.6,24.9,27.6,7.2,7.2,13.0,10.2,19.43,4.04,95,66,6.700000000000003,80.5,1.7821782178217822
Kab. Indramayu,-6.33,108.32,2019-02-14,31.7,24.7,27.9,7.4,7.4,13.0,8.6,21.7,4.53,94,68,7.0,81.0,1.6335540838852096
Kab. Indramayu,-6.33,108.32,2019-02-15,30.3,26.1,27.5,17.1,17.1,15.0,11.9,15.94,3.3,93,72,4.199999999999999,82.5,5.1818181818181825
Kab. Indramayu,-6.33,108.32,2019-02-16,30.7,24.9,27.5,15.9,15.9,16.0,11.6,18.3,3.81,96,74,5.800000000000001,85.0,4.173228346456693
Kab. Indramayu,-6.33,108.32,2019-02-17,32.5,24.2,27.4,7.6,7.6,5.0,13.0,19.54,4.22,97,66,8.3,81.5,1.8009478672985781
Kab. Indramayu,-6.33,108.32,2019-02-18,31.8,25.5,27.6,16.2,16.2,14.0,11.5,14.72,3.25,92,68,6.300000000000001,80.0,4.984615384615385
Kab. Indramayu,-6.33,108.32,2019-02-19,32.2,24.7,27.8,8.2,8.2,14.0,7.8,20.97,4.39,93,67,7.5000000000000036,80.0,1.867881548974943
Kab. Indramayu,-6.33,108.32,2019-02-20,31.4,25.6,27.7,27.9,27.9,18.0,5.4,14.75,3.19,93,71,5.799999999999997,82.0,8.746081504702195
Kab. Indramayu,-6.33,108.32,2019-02-21,30.8,25.6,27.5,24.2,24.2,11.0,13.3,16.16,3.38,93,71,5.199999999999999,82.0,7.159763313609467
Kab. Indramayu,-6.33,108.32,2019-02-22,32.8,24.6,27.2,11.0,11.0,11.0,9.2,18.76,3.99,95,65,8.199999999999996,80.0,2.756892230576441
Kab. Indramayu,-6.33,108.32,2019-02-23,32.6,24.6,27.4,13.2,13.2,11.0,8.7,19.89,4.23,94,62,8.0,78.0,3.1205673758865244
Kab. Indramayu,-6.33,108.32,2019-02-24,31.8,25.1,27.9,12.3,12.3,11.0,10.7,20.13,4.21,96,71,6.699999999999999,83.5,2.921615201900238
Kab. Indramayu,-6.33,108.32,2019-02-25,32.9,25.2,28.4,5.0,5.0,8.0,9.2,21.36,4.53,93,66,7.699999999999999,79.5,1.1037527593818983
Kab. Indramayu,-6.33,108.32,2019-02-26,32.8,25.4,29.0,0.6,0.6,3.0,13.5,24.65,5.29,94,61,7.399999999999999,77.5,0.11342155009451796
Kab. Indramayu,-6.33,108.32,2019-02-27,32.7,26.6,29.4,2.2,2.2,10.0,12.0,21.72,4.65,89,69,6.100000000000001,79.0,0.4731182795698925
Kab. Indramayu,-6.33,108.32,2019-02-28,33.1,26.2,29.0,6.0,6.0,10.0,10.5,21.25,4.55,92,62,6.900000000000002,77.0,1.3186813186813187
Kab. Indramayu,-6.33,108.32,2019-03-01,30.4,25.8,27.3,29.6,29.6,16.0,10.4,11.97,2.56,94,73,4.599999999999998,83.5,11.5625
Kab. Indramayu,-6.33,108.32,2019-03-02,30.9,24.4,27.4,8.8,8.8,18.0,14.8,16.32,3.41,97,76,6.5,86.5,2.5806451612903225
Kab. Indramayu,-6.33,108.32,2019-03-03,31.2,25.2,27.6,3.9,3.9,12.0,7.6,13.83,3.06,94,67,6.0,80.5,1.2745098039215685
