nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Karawang,-6.32,107.34,2019-01-01,29.1,25.0,26.3,2.3,2.3,5.0,19.6,8.49,2.38,88,71,4.100000000000001,79.5,0.9663865546218487
Kab. Karawang,-6.32,107.34,2019-01-02,32.1,24.9,27.5,1.9,1.9,4.0,22.8,23.09,5.04,88,60,7.200000000000003,74.0,0.376984126984127
Kab. Karawang,-6.32,107.34,2019-01-03,32.4,24.8,27.8,0.2,0.2,1.0,18.1,17.72,4.24,88,60,7.599999999999998,74.0,0.04716981132075472
Kab. Karawang,-6.32,107.34,2019-01-04,32.2,24.1,27.9,0.0,0.0,0.0,11.3,25.41,5.49,89,55,8.100000000000001,72.0,0.0
Kab. Karawang,-6.32,107.34,2019-01-05,32.4,25.0,28.0,1.2,1.2,4.0,11.3,23.51,4.98,87,59,7.399999999999999,73.0,0.24096385542168672
Kab. Karawang,-6.32,107.34,2019-01-06,31.3,24.9,28.2,5.0,5.0,6.0,10.7,22.01,4.56,92,69,6.400000000000002,80.5,1.0964912280701755
Kab. Karawang,-6.32,107.34,2019-01-07,31.7,25.1,27.9,6.2,6.2,17.0,11.4,20.05,4.2,94,64,6.599999999999998,79.0,1.4761904761904763
Kab. Karawang,-6.32,107.34,2019-01-08,31.2,25.2,27.5,19.2,19.2,10.0,13.5,20.53,4.28,94,68,6.0,81.0,4.485981308411215
Kab. Karawang,-6.32,107.34,2019-01-09,30.8,25.0,27.4,10.0,10.0,6.0,13.5,21.05,4.23,94,68,5.800000000000001,81.0,2.3640661938534278
Kab. Karawang,-6.32,107.34,2019-01-10,30.6,24.3,27.2,9.5,9.5,12.0,10.8,21.84,4.42,94,69,6.300000000000001,81.5,2.1493212669683257
Kab. Karawang,-6.32,107.34,2019-01-11,31.8,25.5,28.0,5.6,5.6,9.0,13.8,22.71,4.68,94,65,6.300000000000001,79.5,1.1965811965811965
Kab. Karawang,-6.32,107.34,2019-01-12,30.6,25.3,27.7,9.6,9.6,12.0,12.0,20.88,4.27,93,71,5.300000000000001,82.0,2.24824355971897
Kab. Karawang,-6.32,107.34,2019-01-13,30.2,25.2,26.9,21.6,21.6,17.0,14.8,16.25,3.33,95,73,5.0,84.0,6.486486486486487
Kab. Karawang,-6.32,107.34,2019-01-14,29.7,24.6,26.6,11.7,11.7,16.0,14.7,14.36,3.02,96,74,5.099999999999998,85.0,3.874172185430463
Kab. Karawang,-6.32,107.34,2019-01-15,31.2,25.1,27.3,7.5,7.5,7.0,19.2,15.61,3.52,92,65,6.099999999999998,78.5,2.1306818181818183
Kab. Karawang,-6.32,107.34,2019-01-16,29.6,25.6,27.4,4.2,4.2,4.0,20.5,14.66,3.47,89,71,4.0,80.0,1.2103746397694524
Kab. Karawang,-6.32,107.34,2019-01-17,31.4,25.2,27.5,9.2,9.2,10.0,21.1,19.25,4.19,92,65,6.199999999999999,78.5,2.195704057279236
Kab. Karawang,-6.32,107.34,2019-01-18,31.0,25.5,27.6,6.4,6.4,5.0,18.8,15.92,3.54,90,67,5.5,78.5,1.807909604519774
Kab. Karawang,-6.32,107.34,2019-01-19,29.8,25.4,27.4,1.2,1.2,5.0,17.4,17.47,3.7,90,72,4.400000000000002,81.0,0.3243243243243243
Kab. Karawang,-6.32,107.34,2019-01-20,30.6,25.2,27.7,7.2,7.2,14.0,17.5,17.83,3.8,91,69,5.400000000000002,80.0,1.8947368421052633
Kab. Karawang,-6.32,107.34,2019-01-21,30.3,25.1,26.6,18.5,18.5,21.0,18.0,18.15,3.6,93,72,5.199999999999999,82.5,5.138888888888888
Kab. Karawang,-6.32,107.34,2019-01-22,27.9,24.5,25.7,25.0,25.0,24.0,14.3,8.69,1.87,95,82,3.3999999999999986,88.5,13.36898395721925
Kab. Karawang,-6.32,107.34,2019-01-23,30.1,24.2,26.8,4.4,4.4,12.0,14.6,14.31,3.22,96,67,5.900000000000002,81.5,1.3664596273291927
Kab. Karawang,-6.32,107.34,2019-01-24,30.7,25.0,27.2,6.3,6.3,14.0,21.6,22.27,4.5,93,70,5.699999999999999,81.5,1.4
Kab. Karawang,-6.32,107.34,2019-01-25,29.3,24.4,26.1,10.5,10.5,19.0,16.6,12.87,2.73,95,74,4.900000000000002,84.5,3.8461538461538463
Kab. Karawang,-6.32,107.34,2019-01-26,30.5,24.7,27.2,2.7,2.7,12.0,19.9,19.5,3.93,96,74,5.800000000000001,85.0,0.6870229007633588
Kab. Karawang,-6.32,107.34,2019-01-27,28.7,25.2,26.7,15.2,15.2,17.0,21.4,12.11,2.65,94,74,3.5,84.0,5.735849056603773
Kab. Karawang,-6.32,107.34,2019-01-28,29.9,24.6,27.0,8.0,8.0,20.0,22.7,20.59,4.03,95,73,5.299999999999997,84.0,1.9851116625310172
Kab. Karawang,-6.32,107.34,2019-01-29,29.1,24.9,26.9,9.8,9.8,17.0,13.1,15.48,3.21,94,75,4.200000000000003,84.5,3.0529595015576327
Kab. Karawang,-6.32,107.34,2019-01-30,30.2,24.4,26.8,12.2,12.2,17.0,17.1,19.37,3.97,95,74,5.800000000000001,84.5,3.0730478589420653
Kab. Karawang,-6.32,107.34,2019-01-31,29.7,25.0,26.7,14.4,14.4,10.0,14.7,16.51,3.44,93,68,4.699999999999999,80.5,4.186046511627907
Kab. Karawang,-6.32,107.34,2019-02-01,29.6,24.6,26.5,15.2,15.2,12.0,15.3,19.48,3.83,95,70,5.0,82.5,3.968668407310705
Kab. Karawang,-6.32,107.34,2019-02-02,30.6,24.6,27.1,11.1,11.1,17.0,13.7,19.2,3.97,95,70,6.0,82.5,2.7959697732997477
