nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Kuningan,-6.98,108.48,2019-01-01,28.3,21.1,23.8,23.3,23.3,18.0,4.9,13.44,2.75,98,68,7.199999999999999,83.0,8.472727272727273
Kab. Kuningan,-6.98,108.48,2019-01-02,28.4,21.9,23.9,41.6,41.6,16.0,5.6,17.77,3.54,98,70,6.5,84.0,11.751412429378531
Kab. Kuningan,-6.98,108.48,2019-01-03,28.7,21.4,23.9,43.6,43.6,23.0,5.5,13.46,2.8,97,70,7.300000000000001,83.5,15.571428571428573
Kab. Kuningan,-6.98,108.48,2019-01-04,28.9,21.3,24.5,5.4,5.4,15.0,8.8,22.34,4.42,97,65,7.599999999999998,81.0,1.2217194570135748
Kab. Kuningan,-6.98,108.48,2019-01-05,29.5,22.0,24.9,5.1,5.1,10.0,8.9,19.81,3.94,95,66,7.5,80.5,1.2944162436548223
Kab. Kuningan,-6.98,108.48,2019-01-06,29.3,22.0,25.5,0.8,0.8,5.0,10.4,18.92,3.8,96,71,7.300000000000001,83.5,0.2105263157894737
Kab. Kuningan,-6.98,108.48,2019-01-07,29.9,23.0,25.5,4.9,4.9,8.0,8.5,18.26,3.81,95,63,6.899999999999999,79.0,1.2860892388451444
Kab. Kuningan,-6.98,108.48,2019-01-08,29.4,21.9,24.8,7.6,7.6,11.0,7.6,21.02,4.17,96,70,7.5,83.0,1.8225419664268585
Kab. Kuningan,-6.98,108.48,2019-01-09,29.4,22.3,24.9,7.2,7.2,8.0,6.4,20.55,4.13,95,64,7.099999999999998,79.5,1.7433414043583535
Kab. Kuningan,-6.98,108.48,2019-01-10,29.7,22.2,25.1,5.8,5.8,8.0,6.0,19.93,4.02,96,63,7.5,79.5,1.4427860696517414
Kab. Kuningan,-6.98,108.48,2019-01-11,28.9,22.2,25.1,16.7,16.7,10.0,4.5,18.93,3.84,97,73,6.699999999999999,85.0,4.348958333333333
Kab. Kuningan,-6.98,108.48,2019-01-12,30.3,22.7,25.3,7.4,7.4,12.0,7.1,19.74,4.01,97,67,7.600000000000001,82.0,1.8453865336658355
Kab. Kuningan,-6.98,108.48,2019-01-13,27.4,22.1,23.8,30.6,30.6,16.0,4.3,10.04,2.12,98,78,5.299999999999997,88.0,14.433962264150944
Kab. Kuningan,-6.98,108.48,2019-01-14,28.7,22.0,24.6,9.4,9.4,11.0,7.6,17.38,3.5,97,69,6.699999999999999,83.0,2.685714285714286
Kab. Kuningan,-6.98,108.48,2019-01-15,30.5,22.4,24.8,11.2,11.2,11.0,4.7,17.7,3.62,96,66,8.100000000000001,81.0,3.0939226519337013
Kab. Kuningan,-6.98,108.48,2019-01-16,28.5,22.6,24.5,10.9,10.9,13.0,4.1,14.77,3.0,98,74,5.899999999999999,86.0,3.6333333333333333
Kab. Kuningan,-6.98,108.48,2019-01-17,28.2,22.7,24.5,18.9,18.9,15.0,4.5,13.68,2.83,99,70,5.5,84.5,6.678445229681978
Kab. Kuningan,-6.98,108.48,2019-01-18,28.2,22.4,24.5,21.7,21.7,14.0,5.7,14.54,2.97,96,73,5.800000000000001,84.5,7.306397306397305
Kab. Kuningan,-6.98,108.48,2019-01-19,27.3,21.8,24.2,20.0,20.0,13.0,6.8,15.62,3.09,99,75,5.5,87.0,6.472491909385114
Kab. Kuningan,-6.98,108.48,2019-01-20,28.1,22.1,24.6,23.3,23.3,10.0,7.6,16.7,3.35,96,69,6.0,82.5,6.955223880597015
Kab. Kuningan,-6.98,108.48,2019-01-21,29.6,22.0,24.0,25.2,25.2,15.0,3.8,15.91,3.27,99,69,7.600000000000001,84.0,7.706422018348624
Kab. Kuningan,-6.98,108.48,2019-01-22,26.8,21.9,23.4,9.3,9.3,19.0,7.6,8.62,1.86,99,76,4.900000000000002,87.5,5.0
Kab. Kuningan,-6.98,108.48,2019-01-23,26.4,21.6,23.7,3.5,3.5,8.0,7.8,8.07,1.75,99,76,4.799999999999997,87.5,2.0
Kab. Kuningan,-6.98,108.48,2019-01-24,29.5,21.7,24.2,25.3,25.3,15.0,7.4,19.07,3.81,99,65,7.800000000000001,82.0,6.640419947506562
Kab. Kuningan,-6.98,108.48,2019-01-25,26.3,21.5,23.7,21.8,21.8,15.0,6.6,13.25,2.65,100,74,4.800000000000001,87.0,8.226415094339623
Kab. Kuningan,-6.98,108.48,2019-01-26,29.1,22.4,24.9,8.3,8.3,11.0,9.0,21.41,4.27,97,64,6.700000000000003,80.5,1.9437939110070261
Kab. Kuningan,-6.98,108.48,2019-01-27,27.2,22.0,24.0,6.2,6.2,7.0,8.7,15.05,2.96,98,72,5.199999999999999,85.0,2.0945945945945947
Kab. Kuningan,-6.98,108.48,2019-01-28,27.9,21.9,24.4,3.9,3.9,7.0,10.6,20.36,3.96,97,67,6.0,82.0,0.9848484848484849
Kab. Kuningan,-6.98,108.48,2019-01-29,28.1,22.0,24.5,1.1,1.1,6.0,10.4,15.27,3.05,99,72,6.100000000000001,85.5,0.3606557377049181
Kab. Kuningan,-6.98,108.48,2019-01-30,29.3,21.5,24.3,9.5,9.5,11.0,8.1,17.08,3.44,97,67,7.800000000000001,82.0,2.761627906976744
Kab. Kuningan,-6.98,108.48,2019-01-31,27.0,21.8,23.6,25.1,25.1,12.0,4.7,12.42,2.53,99,74,5.199999999999999,86.5,9.920948616600791
Kab. Kuningan,-6.98,108.48,2019-02-01,29.2,21.4,23.8,22.8,22.8,12.0,5.8,16.79,3.4,98,64,7.800000000000001,81.0,6.705882352941177
