nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Majalengka,-6.84,108.23,2019-01-01,30.8,23.9,26.4,5.7,5.7,5.0,8.9,11.52,2.55,97,67,6.900000000000002,82.0,2.235294117647059
Kab. Majalengka,-6.84,108.23,2019-01-02,31.6,24.3,26.6,25.4,25.4,11.0,10.6,18.6,3.87,98,66,7.300000000000001,82.0,6.5633074935400515
Kab. Majalengka,-6.84,108.23,2019-01-03,32.0,23.9,26.6,21.3,21.3,8.0,6.8,12.92,2.83,98,64,8.100000000000001,81.0,7.5265017667844525
Kab. Majalengka,-6.84,108.23,2019-01-04,31.9,24.0,27.6,0.8,0.8,6.0,9.7,21.86,4.66,95,58,7.899999999999999,76.5,0.17167381974248927
Kab. Majalengka,-6.84,108.23,2019-01-05,32.7,24.5,27.5,4.3,4.3,7.0,8.6,20.12,4.22,94,60,8.200000000000003,77.0,1.018957345971564
Kab. Majalengka,-6.84,108.23,2019-01-06,32.0,24.3,28.0,1.1,1.1,6.0,9.4,19.26,4.08,95,66,7.699999999999999,80.5,0.26960784313725494
Kab. Majalengka,-6.84,108.23,2019-01-07,32.4,25.2,27.9,6.8,6.8,16.0,8.6,17.71,3.85,94,62,7.199999999999999,78.0,1.7662337662337662
Kab. Majalengka,-6.84,108.23,2019-01-08,32.7,24.1,27.1,21.9,21.9,13.0,5.8,20.41,4.29,97,63,8.600000000000001,80.0,5.104895104895104
Kab. Majalengka,-6.84,108.23,2019-01-09,31.8,24.4,27.0,13.1,13.1,8.0,10.2,19.36,4.0,95,65,7.400000000000002,80.0,3.275
Kab. Majalengka,-6.84,108.23,2019-01-10,31.7,24.0,27.4,5.4,5.4,10.0,8.4,20.39,4.26,95,66,7.699999999999999,80.5,1.267605633802817
Kab. Majalengka,-6.84,108.23,2019-01-11,31.5,24.7,27.4,23.5,23.5,10.0,6.2,19.24,4.06,96,67,6.800000000000001,81.5,5.788177339901479
Kab. Majalengka,-6.84,108.23,2019-01-12,33.1,24.9,27.6,9.2,9.2,12.0,7.7,19.16,4.05,95,63,8.200000000000003,79.0,2.271604938271605
Kab. Majalengka,-6.84,108.23,2019-01-13,30.6,24.6,26.3,25.1,25.1,14.0,5.2,12.12,2.62,98,74,6.0,86.0,9.580152671755725
Kab. Majalengka,-6.84,108.23,2019-01-14,31.2,24.3,26.8,9.1,9.1,13.0,8.0,16.84,3.51,98,66,6.899999999999999,82.0,2.5925925925925926
Kab. Majalengka,-6.84,108.23,2019-01-15,32.4,24.9,27.2,8.3,8.3,9.0,8.9,16.56,3.56,95,65,7.5,80.0,2.3314606741573036
Kab. Majalengka,-6.84,108.23,2019-01-16,30.0,24.9,26.8,11.4,11.4,10.0,11.6,15.33,3.15,98,75,5.100000000000001,86.5,3.619047619047619
Kab. Majalengka,-6.84,108.23,2019-01-17,31.5,25.3,27.3,5.5,5.5,8.0,12.1,15.95,3.42,96,64,6.199999999999999,80.0,1.608187134502924
Kab. Majalengka,-6.84,108.23,2019-01-18,30.7,24.9,26.9,8.3,8.3,6.0,12.7,14.13,3.03,96,73,5.800000000000001,84.5,2.73927392739274
Kab. Majalengka,-6.84,108.23,2019-01-19,30.6,24.1,26.7,7.9,7.9,5.0,12.7,18.01,3.66,98,71,6.5,84.5,2.158469945355191
Kab. Majalengka,-6.84,108.23,2019-01-20,30.7,24.6,26.9,13.0,13.0,10.0,10.2,16.35,3.4,95,67,6.099999999999998,81.0,3.823529411764706
Kab. Majalengka,-6.84,108.23,2019-01-21,32.3,24.3,26.3,17.3,17.3,10.0,14.3,16.7,3.5,98,67,7.9999999999999964,82.5,4.942857142857143
Kab. Majalengka,-6.84,108.23,2019-01-22,27.9,24.0,25.3,10.6,10.6,18.0,9.9,8.63,1.87,98,80,3.8999999999999986,89.0,5.668449197860962
Kab. Majalengka,-6.84,108.23,2019-01-23,28.6,23.6,25.9,3.3,3.3,6.0,12.5,8.56,1.97,98,75,5.0,86.5,1.6751269035532994
Kab. Majalengka,-6.84,108.23,2019-01-24,31.5,24.3,26.6,7.5,7.5,8.0,14.7,19.65,4.05,96,66,7.199999999999999,81.0,1.8518518518518519
Kab. Majalengka,-6.84,108.23,2019-01-25,28.7,23.7,25.7,15.2,15.2,15.0,10.7,13.37,2.74,99,73,5.0,86.0,5.547445255474452
Kab. Majalengka,-6.84,108.23,2019-01-26,30.5,24.4,26.8,6.1,6.1,13.0,16.0,21.17,4.29,97,67,6.100000000000001,82.0,1.4219114219114217
Kab. Majalengka,-6.84,108.23,2019-01-27,28.9,24.2,26.1,4.0,4.0,9.0,14.8,14.99,3.02,97,74,4.699999999999999,85.5,1.3245033112582782
Kab. Majalengka,-6.84,108.23,2019-01-28,29.7,24.3,26.4,2.6,2.6,8.0,14.8,19.73,3.93,96,72,5.399999999999999,84.0,0.6615776081424937
Kab. Majalengka,-6.84,108.23,2019-01-29,29.5,24.3,26.6,2.5,2.5,6.0,13.2,14.58,3.03,98,73,5.199999999999999,85.5,0.8250825082508252
Kab. Majalengka,-6.84,108.23,2019-01-30,31.3,23.9,26.7,4.1,4.1,8.0,9.8,17.18,3.56,95,68,7.400000000000002,81.5,1.1516853932584268
Kab. Majalengka,-6.84,108.23,2019-01-31,29.9,24.0,26.1,9.3,9.3,11.0,8.9,14.15,2.95,97,73,5.899999999999999,85.0,3.152542372881356
Kab. Majalengka,-6.84,108.23,2019-02-01,31.3,23.5,26.1,14.0,14.0,8.0,11.0,18.13,3.79,97,62,7.800000000000001,79.5,3.6939313984168867
Kab. Majalengka,-6.84,108.23,2019-02-02,31.6,23.4,26.8,10.8,10.8,16.0,7.9,17.66,3.7,97,67,8.200000000000003,82.0,2.918918918918919
Kab. Majalengka,-6.84,108.23,2019-02-03,30.0,24.8,26.6,12.9,12.9,16.0,5.9,15.87,3.27,97,75,5.199999999999999,86.0,3.944954128440367
Kab. Majalengka,-6.84,108.23,2019-02-04,30.0,24.5,26.4,11.4,11.4,17.0,6.1,14.26,3.0,98,74,5.5,86.0,3.8000000000000003
Kab. Majalengka,-6.84,108.23,2019-02-05,31.4,23.6,26.4,15.9,15.9,10.0,9.7,19.48,4.04,96,67,7.799999999999997,81.5,3.9356435643564356
Kab. Majalengka,-6.84,108.23,2019-02-06,31.4,24.0,26.3,10.9,10.9,9.0,10.2,17.73,3.7,97,70,7.399999999999999,83.5,2.945945945945946
Kab. Majalengka,-6.84,108.23,2019-02-07,32.6,23.5,26.8,17.2,17.2,14.0,7.6,19.44,4.06,98,64,9.100000000000001,81.0,4.236453201970444
Kab. Majalengka,-6.84,108.23,2019-02-08,31.9,24.3,26.7,15.5,15.5,17.0,7.7,16.67,3.53,98,69,7.599999999999998,83.5,4.390934844192635
Kab. Majalengka,-6.84,108.23,2019-02-09,31.8,24.4,27.1,23.3,23.3,21.0,5.2,16.05,3.4,97,66,7.400000000000002,81.5,6.852941176470589
Kab. Majalengka,-6.84,108.23,2019-02-10,31.7,24.6,26.8,22.3,22.3,13.0,8.0,17.67,3.71,95,66,7.099999999999998,80.5,6.01078167115903
Kab. Majalengka,-6.84,108.23,2019-02-11,32.0,24.4,26.7,27.6,27.6,21.0,8.5,15.74,3.39,98,65,7.600000000000001,81.5,8.141592920353983
Kab. Majalengka,-6.84,108.23,2019-02-12,30.0,24.2,26.2,12.0,12.0,15.0,6.2,12.99,2.76,98,71,5.800000000000001,84.5,4.347826086956522
Kab. Majalengka,-6.84,108.23,2019-02-13,31.4,23.9,26.7,7.6,7.6,13.0,9.7,18.6,3.86,97,66,7.5,81.5,1.9689119170984455
Kab. Majalengka,-6.84,108.23,2019-02-14,31.5,24.1,27.1,7.1,7.1,13.0,7.6,20.08,4.2,96,64,7.399999999999999,80.0,1.6904761904761902
Kab. Majalengka,-6.84,108.23,2019-02-15,29.6,25.3,26.7,32.1,32.1,16.0,7.6,14.71,3.06,95,75,4.300000000000001,85.0,10.490196078431373
Kab. Majalengka,-6.84,108.23,2019-02-16,29.9,24.2,26.8,27.8,27.8,17.0,7.9,18.26,3.77,99,74,5.699999999999999,86.5,7.374005305039788
Kab. Majalengka,-6.84,108.23,2019-02-17,31.7,23.5,26.4,20.4,20.4,10.0,9.2,16.41,3.52,98,70,8.2,84.0,5.795454545454545
Kab. Majalengka,-6.84,108.23,2019-02-18,31.3,24.2,26.5,19.3,19.3,12.0,8.5,13.17,2.9,96,65,7.100000000000001,80.5,6.655172413793104
Kab. Majalengka,-6.84,108.23,2019-02-19,31.8,23.5,26.8,9.1,9.1,11.0,6.9,19.84,4.13,95,66,8.3,80.5,2.2033898305084745
Kab. Majalengka,-6.84,108.23,2019-02-20,31.1,25.1,27.0,25.0,25.0,18.0,6.2,13.41,2.91,95,71,6.0,83.0,8.59106529209622
Kab. Majalengka,-6.84,108.23,2019-02-21,30.9,24.6,26.7,25.1,25.1,8.0,11.0,16.62,3.45,95,73,6.299999999999997,84.0,7.27536231884058
Kab. Majalengka,-6.84,108.23,2019-02-22,32.7,23.6,26.4,22.7,22.7,13.0,7.2,16.97,3.62,97,63,9.100000000000001,80.0,6.2707182320441985
Kab. Majalengka,-6.84,108.23,2019-02-23,32.7,23.5,26.7,17.5,17.5,13.0,6.2,18.4,3.91,96,61,9.200000000000003,78.5,4.475703324808184
Kab. Majalengka,-6.84,108.23,2019-02-24,30.5,24.3,27.1,16.8,16.8,9.0,8.8,19.47,4.04,98,70,6.199999999999999,84.0,4.158415841584159
Kab. Majalengka,-6.84,108.23,2019-02-25,32.7,24.5,27.6,7.0,7.0,7.0,8.4,20.76,4.42,95,63,8.200000000000003,79.0,1.583710407239819
Kab. Majalengka,-6.84,108.23,2019-02-26,32.5,24.5,28.3,0.3,0.3,3.0,10.3,24.33,5.2,96,60,8.0,78.0,0.05769230769230769
Kab. Majalengka,-6.84,108.23,2019-02-27,32.3,26.0,28.8,3.3,3.3,7.0,9.9,21.22,4.55,90,65,6.299999999999997,77.5,0.7252747252747253
Kab. Majalengka,-6.84,108.23,2019-02-28,33.1,25.5,28.1,7.0,7.0,12.0,8.5,20.1,4.3,94,62,7.600000000000001,78.0,1.627906976744186
Kab. Majalengka,-6.84,108.23,2019-03-01,29.8,25.0,26.4,25.8,25.8,15.0,8.1,10.84,2.33,98,75,4.800000000000001,86.5,11.072961373390559
Kab. Majalengka,-6.84,108.23,2019-03-02,30.6,23.7,26.5,12.3,12.3,22.0,9.9,15.99,3.33,99,73,6.900000000000002,86.0,3.6936936936936937
Kab. Majalengka,-6.84,108.23,2019-03-03,31.0,24.3,26.7,6.4,6.4,12.0,5.5,12.94,2.82,96,66,6.699999999999999,81.0,2.269503546099291
Kab. Majalengka,-6.84,108.23,2019-03-04,32.1,23.7,27.0,12.8,12.8,9.0,9.0,18.26,3.83,95,69,8.400000000000002,82.0,3.3420365535248044
Kab. Majalengka,-6.84,108.23,2019-03-05,30.5,23.7,26.7,11.1,11.1,13.0,11.7,16.95,3.5,97,72,6.800000000000001,84.5,3.1714285714285713
Kab. Majalengka,-6.84,108.23,2019-03-06,26.7,23.3,24.7,19.9,19.9,21.0,6.6,7.95,1.68,97,87,3.3999999999999986,92.0,11.845238095238095
Kab. Majalengka,-6.84,108.23,2019-03-07,29.9,23.7,26.2,6.1,6.1,11.0,4.9,14.21,3.02,99,67,6.199999999999999,83.0,2.019867549668874
Kab. Majalengka,-6.84,108.23,2019-03-08,31.5,24.5,27.3,7.6,7.6,6.0,7.6,19.35,4.1,97,65,7.0,81.0,1.853658536585366
Kab. Majalengka,-6.84,108.23,2019-03-09,32.0,24.2,26.2,14.6,14.6,21.0,5.5,17.6,3.68,96,68,7.800000000000001,82.0,3.9673913043478257
Kab. Majalengka,-6.84,108.23,2019-03-10,30.3,23.9,26.5,13.3,13.3,16.0,6.2,11.86,2.59,97,65,6.400000000000002,81.0,5.135135135135136
Kab. Majalengka,-6.84,108.23,2019-03-11,31.4,24.4,26.7,16.0,16.0,15.0,10.9,19.71,4.02,96,71,7.0,83.5,3.9800995024875627
Kab. Majalengka,-6.84,108.23,2019-03-12,31.2,24.3,26.8,9.5,9.5,11.0,12.7,19.84,4.01,96,68,6.899999999999999,82.0,2.369077306733167
Kab. Majalengka,-6.84,108.23,2019-03-13,31.5,23.9,27.4,2.2,2.2,6.0,10.2,16.04,3.54,93,61,7.600000000000001,77.0,0.6214689265536724
Kab. Majalengka,-6.84,108.23,2019-03-14,31.8,24.0,27.5,5.3,5.3,8.0,7.0,20.05,4.22,93,61,7.800000000000001,77.0,1.2559241706161137
Kab. Majalengka,-6.84,108.23,2019-03-15,33.1,24.5,27.1,17.9,17.9,8.0,5.6,19.61,4.15,93,61,8.600000000000001,77.0,4.313253012048192
Kab. Majalengka,-6.84,108.23,2019-03-16,31.1,24.6,26.7,4.8,4.8,8.0,5.4,12.99,2.8,97,68,6.5,82.5,1.7142857142857144
Kab. Majalengka,-6.84,108.23,2019-03-17,30.3,24.4,26.1,16.6,16.6,13.0,4.0,11.62,2.48,94,69,5.900000000000002,81.5,6.693548387096775
Kab. Majalengka,-6.84,108.23,2019-03-18,32.1,23.7,26.7,17.9,17.9,24.0,3.8,11.49,2.53,95,58,8.400000000000002,76.5,7.075098814229249
Kab. Majalengka,-6.84,108.23,2019-03-19,29.8,24.3,26.0,25.6,25.6,15.0,5.6,13.83,2.88,95,74,5.5,84.5,8.88888888888889
Kab. Majalengka,-6.84,108.23,2019-03-20,32.5,23.7,27.0,5.7,5.7,8.0,7.6,19.84,4.15,97,64,8.8,80.5,1.3734939759036144
Kab. Majalengka,-6.84,108.23,2019-03-21,31.6,24.3,27.0,9.4,9.4,8.0,9.4,14.83,3.18,96,71,7.300000000000001,83.5,2.9559748427672954
Kab. Majalengka,-6.84,108.23,2019-03-22,32.6,24.4,27.5,3.9,3.9,7.0,10.8,17.8,3.84,96,63,8.200000000000003,79.5,1.015625
Kab. Majalengka,-6.84,108.23,2019-03-23,32.0,24.5,27.0,16.9,16.9,15.0,10.4,17.87,3.77,97,66,7.5,81.5,4.482758620689655
Kab. Majalengka,-6.84,108.23,2019-03-24,30.9,24.2,26.8,8.7,8.7,8.0,5.6,13.03,2.78,97,72,6.699999999999999,84.5,3.129496402877698
Kab. Majalengka,-6.84,108.23,2019-03-25,31.1,25.0,27.0,6.0,6.0,9.0,9.4,17.41,3.62,95,67,6.100000000000001,81.0,1.6574585635359116
Kab. Majalengka,-6.84,108.23,2019-03-26,32.8,24.4,27.2,21.6,21.6,14.0,8.9,17.59,3.77,95,63,8.399999999999999,79.0,5.729442970822282
Kab. Majalengka,-6.84,108.23,2019-03-27,32.8,24.7,27.1,22.7,22.7,18.0,5.2,14.61,3.16,97,64,8.099999999999998,80.5,7.183544303797468
Kab. Majalengka,-6.84,108.23,2019-03-28,32.8,24.1,26.9,20.6,20.6,21.0,5.0,16.54,3.56,96,61,8.699999999999996,78.5,5.786516853932585
Kab. Majalengka,-6.84,108.23,2019-03-29,32.7,24.4,27.8,5.8,5.8,6.0,6.5,23.63,4.99,97,60,8.300000000000004,78.5,1.162324649298597
Kab. Majalengka,-6.84,108.23,2019-03-30,31.9,24.9,27.1,13.3,13.3,11.0,5.8,18.15,3.8,94,66,7.0,80.0,3.5000000000000004
Kab. Majalengka,-6.84,108.23,2019-03-31,30.4,24.8,26.9,9.3,9.3,7.0,8.6,15.54,3.24,93,69,5.599999999999998,81.0,2.8703703703703702
Kab. Majalengka,-6.84,108.23,2019-04-01,31.9,24.0,27.0,8.2,8.2,11.0,7.6,19.64,4.12,95,59,7.899999999999999,77.0,1.9902912621359221
Kab. Majalengka,-6.84,108.23,2019-04-02,31.9,24.6,26.8,17.8,17.8,8.0,6.2,18.15,3.79,95,62,7.299999999999997,78.5,4.696569920844327
Kab. Majalengka,-6.84,108.23,2019-04-03,32.6,24.0,27.2,8.6,8.6,8.0,7.4,20.31,4.27,96,61,8.600000000000001,78.5,2.0140515222482436
Kab. Majalengka,-6.84,108.23,2019-04-04,33.3,24.6,27.6,16.9,16.9,12.0,8.4,18.15,3.88,96,60,8.699999999999996,78.0,4.355670103092783
Kab. Majalengka,-6.84,108.23,2019-04-05,29.9,24.8,26.9,35.9,35.9,20.0,5.8,9.57,2.11,97,78,5.099999999999998,87.5,17.01421800947867
Kab. Majalengka,-6.84,108.23,2019-04-06,33.4,24.1,27.3,9.6,9.6,9.0,5.0,19.14,4.06,96,61,9.299999999999997,78.5,2.3645320197044337
Kab. Majalengka,-6.84,108.23,2019-04-07,33.1,24.2,27.3,12.8,12.8,10.0,5.7,18.01,3.86,100,60,8.900000000000002,80.0,3.3160621761658033
