nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Pangandaran,-7.68,108.65,2019-01-01,30.8,25.0,27.4,2.1,2.1,7.0,12.4,15.88,3.55,89,65,5.800000000000001,77.0,0.591549295774648
Kab. Pangandaran,-7.68,108.65,2019-01-02,30.9,25.1,27.3,1.6,1.6,6.0,13.3,18.28,3.87,92,69,5.799999999999997,80.5,0.41343669250646
Kab. Pangandaran,-7.68,108.65,2019-01-03,30.9,25.1,27.3,7.8,7.8,11.0,18.0,15.03,3.38,92,72,5.799999999999997,82.0,2.307692307692308
Kab. Pangandaran,-7.68,108.65,2019-01-04,31.3,23.9,27.3,1.7,1.7,6.0,7.2,23.92,4.9,95,63,7.400000000000002,79.0,0.346938775510204
Kab. Pangandaran,-7.68,108.65,2019-01-05,31.6,24.7,27.7,1.9,1.9,6.0,6.6,20.44,4.25,93,69,6.900000000000002,81.0,0.44705882352941173
Kab. Pangandaran,-7.68,108.65,2019-01-06,32.1,25.2,28.1,6.5,6.5,7.0,6.0,18.75,3.98,90,70,6.900000000000002,80.0,1.6331658291457287
Kab. Pangandaran,-7.68,108.65,2019-01-07,32.1,26.1,28.1,8.1,8.1,14.0,6.0,19.25,4.1,91,66,6.0,78.5,1.975609756097561
Kab. Pangandaran,-7.68,108.65,2019-01-08,30.3,24.9,27.4,1.8,1.8,6.0,10.5,21.96,4.3,93,79,5.400000000000002,86.0,0.4186046511627907
Kab. Pangandaran,-7.68,108.65,2019-01-09,31.0,25.3,27.8,8.8,8.8,13.0,8.6,21.19,4.36,94,68,5.699999999999999,81.0,2.018348623853211
Kab. Pangandaran,-7.68,108.65,2019-01-10,31.7,25.0,28.0,5.5,5.5,8.0,7.2,20.06,4.21,95,69,6.699999999999999,82.0,1.3064133016627077
Kab. Pangandaran,-7.68,108.65,2019-01-11,31.5,25.6,28.2,2.9,2.9,9.0,8.9,20.22,4.18,93,75,5.899999999999999,84.0,0.6937799043062202
Kab. Pangandaran,-7.68,108.65,2019-01-12,32.4,25.7,28.1,2.7,2.7,9.0,8.7,20.18,4.24,92,67,6.699999999999999,79.5,0.6367924528301887
Kab. Pangandaran,-7.68,108.65,2019-01-13,29.6,25.4,26.8,44.1,44.1,18.0,9.1,11.32,2.38,93,81,4.200000000000003,87.0,18.529411764705884
Kab. Pangandaran,-7.68,108.65,2019-01-14,31.7,25.1,27.6,16.6,16.6,13.0,7.2,18.73,3.94,93,69,6.599999999999998,81.0,4.213197969543148
Kab. Pangandaran,-7.68,108.65,2019-01-15,31.9,25.5,27.5,6.2,6.2,10.0,12.6,18.28,3.85,92,67,6.399999999999999,79.5,1.6103896103896105
Kab. Pangandaran,-7.68,108.65,2019-01-16,29.8,25.8,27.2,6.9,6.9,14.0,10.1,12.79,2.67,93,83,4.0,88.0,2.5842696629213484
Kab. Pangandaran,-7.68,108.65,2019-01-17,29.4,25.6,27.0,11.1,11.1,16.0,12.8,10.2,2.23,92,80,3.799999999999997,86.0,4.977578475336323
Kab. Pangandaran,-7.68,108.65,2019-01-18,30.5,25.3,27.3,6.9,6.9,17.0,10.5,16.05,3.34,93,75,5.199999999999999,84.0,2.065868263473054
Kab. Pangandaran,-7.68,108.65,2019-01-19,30.9,24.8,27.2,8.4,8.4,6.0,8.2,14.01,2.99,95,70,6.099999999999998,82.5,2.809364548494983
Kab. Pangandaran,-7.68,108.65,2019-01-20,30.6,25.2,27.4,12.8,12.8,11.0,8.3,16.84,3.5,93,78,5.400000000000002,85.5,3.6571428571428575
Kab. Pangandaran,-7.68,108.65,2019-01-21,30.5,25.3,26.7,19.3,19.3,16.0,10.8,15.37,3.16,96,74,5.199999999999999,85.0,6.1075949367088604
Kab. Pangandaran,-7.68,108.65,2019-01-22,30.2,25.1,27.0,7.1,7.1,17.0,7.1,9.6,2.2,95,71,5.099999999999998,83.0,3.227272727272727
Kab. Pangandaran,-7.68,108.65,2019-01-23,30.0,25.0,27.0,2.4,2.4,6.0,8.2,8.76,2.03,94,72,5.0,83.0,1.1822660098522169
Kab. Pangandaran,-7.68,108.65,2019-01-24,31.4,24.6,26.9,13.3,13.3,8.0,14.5,18.5,3.85,95,70,6.799999999999997,82.5,3.4545454545454546
Kab. Pangandaran,-7.68,108.65,2019-01-25,29.1,24.6,26.9,8.1,8.1,14.0,11.4,12.67,2.69,96,78,4.5,87.0,3.0111524163568775
Kab. Pangandaran,-7.68,108.65,2019-01-26,31.6,25.5,27.9,6.8,6.8,7.0,7.6,21.36,4.51,93,69,6.100000000000001,81.0,1.507760532150776
Kab. Pangandaran,-7.68,108.65,2019-01-27,29.5,25.4,27.1,6.6,6.6,12.0,8.9,14.92,3.09,94,78,4.100000000000001,86.0,2.1359223300970873
Kab. Pangandaran,-7.68,108.65,2019-01-28,31.1,24.7,27.5,4.8,4.8,8.0,8.4,21.57,4.44,95,68,6.400000000000002,81.5,1.081081081081081
Kab. Pangandaran,-7.68,108.65,2019-01-29,31.8,25.2,28.0,0.2,0.2,2.0,10.3,18.13,3.85,95,69,6.600000000000001,82.0,0.05194805194805195
Kab. Pangandaran,-7.68,108.65,2019-01-30,31.6,24.6,27.1,21.4,21.4,9.0,8.9,17.52,3.69,94,72,7.0,83.0,5.799457994579946
Kab. Pangandaran,-7.68,108.65,2019-01-31,29.8,25.0,26.9,2.2,2.2,7.0,6.2,12.58,2.72,94,71,4.800000000000001,82.5,0.8088235294117647
Kab. Pangandaran,-7.68,108.65,2019-02-01,30.9,24.7,26.7,16.9,16.9,10.0,8.8,15.92,3.38,95,69,6.199999999999999,82.0,5.0
Kab. Pangandaran,-7.68,108.65,2019-02-02,31.3,24.6,27.5,2.5,2.5,7.0,10.0,15.77,3.41,95,65,6.699999999999999,80.0,0.7331378299120235
Kab. Pangandaran,-7.68,108.65,2019-02-03,30.2,25.6,27.3,5.5,5.5,9.0,7.9,17.05,3.57,93,73,4.599999999999998,83.0,1.5406162464985995
Kab. Pangandaran,-7.68,108.65,2019-02-04,30.8,25.0,27.2,2.1,2.1,6.0,5.7,14.44,3.11,94,68,5.800000000000001,81.0,0.6752411575562701
Kab. Pangandaran,-7.68,108.65,2019-02-05,31.3,24.5,27.2,2.4,2.4,7.0,11.5,21.68,4.47,95,67,6.800000000000001,81.0,0.5369127516778524
Kab. Pangandaran,-7.68,108.65,2019-02-06,31.6,24.7,27.2,3.2,3.2,11.0,12.1,19.12,4.02,95,68,6.900000000000002,81.5,0.7960199004975126
Kab. Pangandaran,-7.68,108.65,2019-02-07,31.4,24.8,27.1,5.0,5.0,16.0,12.7,20.29,4.15,95,74,6.599999999999998,84.5,1.2048192771084336
Kab. Pangandaran,-7.68,108.65,2019-02-08,30.0,25.9,27.2,2.0,2.0,11.0,10.0,14.9,3.08,92,81,4.100000000000001,86.5,0.6493506493506493
Kab. Pangandaran,-7.68,108.65,2019-02-09,30.7,26.0,28.3,1.5,1.5,10.0,5.6,13.98,3.09,91,66,4.699999999999999,78.5,0.4854368932038835
Kab. Pangandaran,-7.68,108.65,2019-02-10,30.9,25.7,27.7,8.6,8.6,8.0,7.1,14.9,3.2,90,71,5.199999999999999,80.5,2.6874999999999996
Kab. Pangandaran,-7.68,108.65,2019-02-11,30.8,25.3,27.3,2.1,2.1,12.0,8.7,17.72,3.66,91,76,5.5,83.5,0.5737704918032787
Kab. Pangandaran,-7.68,108.65,2019-02-12,30.1,25.2,27.1,1.6,1.6,7.0,5.9,16.92,3.49,93,74,4.900000000000002,83.5,0.4584527220630372
Kab. Pangandaran,-7.68,108.65,2019-02-13,31.1,25.3,27.6,3.6,3.6,14.0,5.6,19.16,4.03,96,69,5.800000000000001,82.5,0.8933002481389578
Kab. Pangandaran,-7.68,108.65,2019-02-14,30.3,25.8,27.8,2.6,2.6,10.0,9.9,18.8,3.8,91,81,4.5,86.0,0.6842105263157895
Kab. Pangandaran,-7.68,108.65,2019-02-15,29.0,25.9,27.2,2.8,2.8,11.0,10.2,17.86,3.56,92,79,3.1000000000000014,85.5,0.7865168539325842
Kab. Pangandaran,-7.68,108.65,2019-02-16,29.9,24.9,26.9,19.1,19.1,17.0,9.5,13.06,2.76,96,76,5.0,86.0,6.920289855072465
Kab. Pangandaran,-7.68,108.65,2019-02-17,30.3,24.4,26.4,29.2,29.2,21.0,8.4,9.59,2.17,93,73,5.900000000000002,83.0,13.456221198156681
Kab. Pangandaran,-7.68,108.65,2019-02-18,31.4,24.6,27.5,8.4,8.4,8.0,8.0,14.72,3.23,93,64,6.799999999999997,78.5,2.60061919504644
Kab. Pangandaran,-7.68,108.65,2019-02-19,32.0,24.5,27.5,4.1,4.1,8.0,5.5,20.64,4.31,95,68,7.5,81.5,0.951276102088167
Kab. Pangandaran,-7.68,108.65,2019-02-20,31.6,25.8,28.1,4.8,4.8,11.0,5.8,16.22,3.48,92,72,5.800000000000001,82.0,1.379310344827586
Kab. Pangandaran,-7.68,108.65,2019-02-21,32.1,25.4,28.1,4.8,4.8,6.0,6.1,19.58,4.11,95,71,6.700000000000003,83.0,1.167883211678832
Kab. Pangandaran,-7.68,108.65,2019-02-22,30.6,25.2,27.2,7.1,7.1,15.0,10.4,16.59,3.41,93,77,5.400000000000002,85.0,2.0821114369501466
Kab. Pangandaran,-7.68,108.65,2019-02-23,30.4,24.6,27.1,1.8,1.8,10.0,10.1,19.0,3.87,93,72,5.799999999999997,82.5,0.46511627906976744
Kab. Pangandaran,-7.68,108.65,2019-02-24,31.5,25.4,27.6,10.0,10.0,9.0,8.3,19.9,4.14,93,72,6.100000000000001,82.5,2.4154589371980677
Kab. Pangandaran,-7.68,108.65,2019-02-25,31.4,26.0,28.0,5.5,5.5,9.0,9.1,20.98,4.34,92,75,5.399999999999999,83.5,1.2672811059907834
Kab. Pangandaran,-7.68,108.65,2019-02-26,32.6,25.0,28.5,1.3,1.3,6.0,7.7,23.27,4.96,95,65,7.600000000000001,80.0,0.2620967741935484
Kab. Pangandaran,-7.68,108.65,2019-02-27,31.8,26.3,29.1,6.8,6.8,9.0,10.3,20.79,4.44,90,71,5.5,80.5,1.5315315315315314
Kab. Pangandaran,-7.68,108.65,2019-02-28,31.1,26.0,28.1,4.8,4.8,13.0,10.6,19.8,4.11,91,73,5.100000000000001,82.0,1.167883211678832
Kab. Pangandaran,-7.68,108.65,2019-03-01,30.7,25.8,27.5,25.1,25.1,17.0,5.9,13.4,2.86,93,72,4.899999999999999,82.5,8.776223776223777
Kab. Pangandaran,-7.68,108.65,2019-03-02,32.3,25.3,27.3,19.0,19.0,18.0,10.4,13.98,3.09,95,69,6.9999999999999964,82.0,6.148867313915858
Kab. Pangandaran,-7.68,108.65,2019-03-03,30.2,25.4,27.4,18.3,18.3,15.0,7.3,11.16,2.51,92,72,4.800000000000001,82.0,7.290836653386455
Kab. Pangandaran,-7.68,108.65,2019-03-04,30.7,25.2,27.9,4.6,4.6,9.0,10.1,18.13,3.84,94,70,5.5,82.0,1.1979166666666665
Kab. Pangandaran,-7.68,108.65,2019-03-05,31.9,25.1,27.7,36.8,36.8,12.0,6.6,18.0,3.81,94,73,6.799999999999997,83.5,9.658792650918635
Kab. Pangandaran,-7.68,108.65,2019-03-06,27.1,24.3,25.6,19.5,19.5,24.0,6.6,6.9,1.54,95,82,2.8000000000000007,88.5,12.662337662337663
Kab. Pangandaran,-7.68,108.65,2019-03-07,28.3,24.3,26.2,9.1,9.1,11.0,6.2,8.64,2.0,93,71,4.0,82.0,4.55
Kab. Pangandaran,-7.68,108.65,2019-03-08,30.4,25.3,27.7,0.3,0.3,2.0,11.2,17.11,3.71,93,66,5.099999999999998,79.5,0.08086253369272237
Kab. Pangandaran,-7.68,108.65,2019-03-09,31.1,25.3,27.1,2.4,2.4,8.0,9.0,14.72,3.14,92,64,5.800000000000001,78.0,0.7643312101910827
Kab. Pangandaran,-7.68,108.65,2019-03-10,29.1,24.5,26.3,15.4,15.4,17.0,8.3,9.31,2.02,95,77,4.600000000000001,86.0,7.623762376237623
Kab. Pangandaran,-7.68,108.65,2019-03-11,30.6,24.3,26.8,14.1,14.1,16.0,8.7,14.98,3.17,92,71,6.300000000000001,81.5,4.44794952681388
Kab. Pangandaran,-7.68,108.65,2019-03-12,32.5,25.5,28.1,11.4,11.4,10.0,6.1,21.93,4.59,92,65,7.0,78.5,2.4836601307189543
Kab. Pangandaran,-7.68,108.65,2019-03-13,31.7,25.1,27.8,5.5,5.5,9.0,6.2,16.9,3.66,93,63,6.599999999999998,78.0,1.5027322404371584
Kab. Pangandaran,-7.68,108.65,2019-03-14,31.8,24.9,28.0,3.2,3.2,3.0,8.6,21.16,4.42,95,69,6.900000000000002,82.0,0.7239819004524888
Kab. Pangandaran,-7.68,108.65,2019-03-15,29.2,25.7,26.8,10.5,10.5,18.0,11.6,15.66,3.13,94,81,3.5,87.5,3.354632587859425
Kab. Pangandaran,-7.68,108.65,2019-03-16,29.4,24.8,26.4,7.4,7.4,20.0,8.2,13.49,2.83,93,74,4.599999999999998,83.5,2.614840989399293
Kab. Pangandaran,-7.68,108.65,2019-03-17,28.2,25.2,26.1,34.1,34.1,24.0,11.5,5.28,1.29,91,83,3.0,87.0,26.434108527131784
Kab. Pangandaran,-7.68,108.65,2019-03-18,29.8,24.7,26.5,26.4,26.4,24.0,11.3,10.36,2.26,92,80,5.100000000000001,86.0,11.68141592920354
Kab. Pangandaran,-7.68,108.65,2019-03-19,28.6,25.6,26.6,8.4,8.4,21.0,9.9,11.92,2.42,94,83,3.0,88.5,3.4710743801652897
Kab. Pangandaran,-7.68,108.65,2019-03-20,31.1,25.0,27.7,5.8,5.8,11.0,9.7,17.4,3.69,93,74,6.100000000000001,83.5,1.5718157181571815
Kab. Pangandaran,-7.68,108.65,2019-03-21,31.4,25.2,27.6,4.8,4.8,9.0,9.9,13.62,2.97,92,70,6.199999999999999,81.0,1.616161616161616
Kab. Pangandaran,-7.68,108.65,2019-03-22,31.1,25.5,27.5,32.4,32.4,18.0,10.0,16.18,3.37,92,76,5.600000000000001,84.0,9.614243323442135
Kab. Pangandaran,-7.68,108.65,2019-03-23,31.2,24.9,27.4,16.6,16.6,16.0,11.2,16.77,3.52,94,71,6.300000000000001,82.5,4.715909090909092
Kab. Pangandaran,-7.68,108.65,2019-03-24,29.9,25.2,27.2,2.2,2.2,10.0,8.0,12.23,2.63,95,80,4.699999999999999,87.5,0.8365019011406846
Kab. Pangandaran,-7.68,108.65,2019-03-25,30.1,25.5,27.4,11.4,11.4,18.0,9.5,17.82,3.61,93,77,4.600000000000001,85.0,3.1578947368421053
Kab. Pangandaran,-7.68,108.65,2019-03-26,31.6,25.7,27.9,10.9,10.9,18.0,6.6,14.82,3.22,91,66,5.900000000000002,78.5,3.3850931677018634
Kab. Pangandaran,-7.68,108.65,2019-03-27,31.5,25.6,27.7,7.0,7.0,15.0,7.8,16.25,3.44,94,73,5.899999999999999,83.5,2.0348837209302326
Kab. Pangandaran,-7.68,108.65,2019-03-28,30.0,24.9,27.0,4.7,4.7,16.0,9.4,16.31,3.33,94,77,5.100000000000001,85.5,1.4114114114114114
Kab. Pangandaran,-7.68,108.65,2019-03-29,30.3,24.8,27.3,0.2,0.2,1.0,11.2,21.42,4.31,95,73,5.5,84.0,0.046403712296983764
Kab. Pangandaran,-7.68,108.65,2019-03-30,31.7,24.8,27.6,1.4,1.4,4.0,5.9,21.48,4.48,93,62,6.899999999999999,77.5,0.31249999999999994
Kab. Pangandaran,-7.68,108.65,2019-03-31,31.7,25.5,27.7,2.5,2.5,8.0,8.2,20.0,4.15,91,65,6.199999999999999,78.0,0.6024096385542168
Kab. Pangandaran,-7.68,108.65,2019-04-01,31.0,24.5,27.2,0.9,0.9,6.0,9.8,21.14,4.28,94,68,6.5,81.0,0.2102803738317757
Kab. Pangandaran,-7.68,108.65,2019-04-02,30.6,24.7,27.2,0.9,0.9,5.0,8.1,19.18,3.91,94,70,5.900000000000002,82.0,0.23017902813299232
Kab. Pangandaran,-7.68,108.65,2019-04-03,30.8,24.5,27.5,2.2,2.2,8.0,11.3,20.82,4.25,95,70,6.300000000000001,82.5,0.5176470588235295
Kab. Pangandaran,-7.68,108.65,2019-04-04,31.1,25.3,27.5,4.2,4.2,14.0,11.0,16.35,3.46,94,69,5.800000000000001,81.5,1.2138728323699424
Kab. Pangandaran,-7.68,108.65,2019-04-05,31.8,25.1,27.9,13.0,13.0,15.0,6.8,17.29,3.66,93,66,6.699999999999999,79.5,3.551912568306011
Kab. Pangandaran,-7.68,108.65,2019-04-06,30.9,25.0,27.2,5.7,5.7,14.0,10.5,18.45,3.72,95,76,5.899999999999999,85.5,1.532258064516129
Kab. Pangandaran,-7.68,108.65,2019-04-07,31.2,25.2,27.5,4.3,4.3,13.0,9.7,18.18,3.72,94,75,6.0,84.5,1.1559139784946235
Kab. Pangandaran,-7.68,108.65,2019-04-08,31.9,24.9,28.1,4.3,4.3,11.0,7.4,16.45,3.52,95,72,7.0,83.5,1.221590909090909
Kab. Pangandaran,-7.68,108.65,2019-04-09,31.7,25.4,28.3,0.6,0.6,4.0,6.9,17.85,3.79,92,66,6.300000000000001,79.0,0.15831134564643798
Kab. Pangandaran,-7.68,108.65,2019-04-10,31.4,26.2,28.5,1.8,1.8,8.0,10.5,18.6,3.91,90,68,5.199999999999999,79.0,0.46035805626598464
Kab. Pangandaran,-7.68,108.65,2019-04-11,31.1,26.3,28.2,5.1,5.1,8.0,8.7,15.98,3.42,90,71,4.800000000000001,80.5,1.4912280701754386
Kab. Pangandaran,-7.68,108.65,2019-04-12,32.0,25.6,28.2,11.0,11.0,13.0,7.6,17.3,3.66,91,66,6.399999999999999,78.5,3.0054644808743167
Kab. Pangandaran,-7.68,108.65,2019-04-13,30.6,25.5,27.6,19.4,19.4,21.0,8.2,11.24,2.48,93,71,5.100000000000001,82.0,7.82258064516129
Kab. Pangandaran,-7.68,108.65,2019-04-14,32.2,25.9,28.1,5.5,5.5,13.0,7.7,13.43,2.97,93,69,6.300000000000004,81.0,1.8518518518518516
Kab. Pangandaran,-7.68,108.65,2019-04-15,31.9,25.5,27.9,1.0,1.0,6.0,11.3,19.1,4.05,96,65,6.399999999999999,80.5,0.2469135802469136
Kab. Pangandaran,-7.68,108.65,2019-04-16,30.7,25.6,27.7,3.7,3.7,14.0,5.4,14.54,3.07,93,75,5.099999999999998,84.0,1.205211726384365
Kab. Pangandaran,-7.68,108.65,2019-04-17,32.7,25.3,28.5,11.5,11.5,8.0,6.0,15.35,3.31,96,65,7.400000000000002,80.5,3.474320241691843
Kab. Pangandaran,-7.68,108.65,2019-04-18,31.2,26.2,28.1,3.5,3.5,9.0,8.5,15.69,3.25,94,79,5.0,86.5,1.0769230769230769
Kab. Pangandaran,-7.68,108.65,2019-04-19,30.1,25.7,27.4,30.5,30.5,14.0,9.4,12.93,2.7,96,78,4.400000000000002,87.0,11.296296296296296
Kab. Pangandaran,-7.68,108.65,2019-04-20,30.4,25.7,27.3,5.3,5.3,12.0,8.7,14.12,2.93,93,77,4.699999999999999,85.0,1.8088737201365186
Kab. Pangandaran,-7.68,108.65,2019-04-21,31.6,25.3,28.1,1.3,1.3,7.0,9.4,19.6,4.06,94,71,6.300000000000001,82.5,0.3201970443349754
Kab. Pangandaran,-7.68,108.65,2019-04-22,31.4,25.7,28.4,2.4,2.4,10.0,10.0,16.64,3.56,92,68,5.699999999999999,80.0,0.6741573033707865
Kab. Pangandaran,-7.68,108.65,2019-04-23,32.5,25.5,28.4,11.7,11.7,13.0,16.0,18.95,4.0,94,68,7.0,81.0,2.925
