nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Purwakarta,-6.55,107.44,2019-01-01,30.1,24.0,26.4,0.1,0.1,1.0,14.5,9.37,2.35,91,64,6.100000000000001,77.5,0.0425531914893617
Kab. Purwakarta,-6.55,107.44,2019-01-02,33.6,24.7,27.5,5.0,5.0,4.0,16.3,22.18,4.71,91,55,8.900000000000002,73.0,1.0615711252653928
Kab. Purwakarta,-6.55,107.44,2019-01-03,33.2,24.2,27.6,1.9,1.9,3.0,13.0,16.68,3.83,93,60,9.000000000000004,76.5,0.4960835509138381
Kab. Purwakarta,-6.55,107.44,2019-01-04,33.1,23.9,28.0,0.0,0.0,0.0,9.2,25.45,5.45,94,51,9.200000000000003,72.5,0.0
Kab. Purwakarta,-6.55,107.44,2019-01-05,33.1,24.9,28.1,0.5,0.5,3.0,9.0,22.49,4.77,95,60,8.200000000000003,77.5,0.10482180293501049
Kab. Purwakarta,-6.55,107.44,2019-01-06,32.0,24.5,28.1,3.5,3.5,8.0,9.6,20.39,4.27,96,65,7.5,80.5,0.8196721311475411
Kab. Purwakarta,-6.55,107.44,2019-01-07,32.9,25.2,28.4,6.6,6.6,15.0,9.2,20.33,4.34,94,67,7.699999999999999,80.5,1.5207373271889402
Kab. Purwakarta,-6.55,107.44,2019-01-08,31.9,25.1,27.6,26.6,26.6,18.0,9.0,18.93,4.01,94,69,6.799999999999997,81.5,6.633416458852868
Kab. Purwakarta,-6.55,107.44,2019-01-09,31.1,24.9,27.4,8.9,8.9,10.0,12.6,19.07,3.94,95,67,6.200000000000003,81.0,2.2588832487309647
Kab. Purwakarta,-6.55,107.44,2019-01-10,31.7,24.3,27.2,8.6,8.6,10.0,8.0,21.1,4.32,98,66,7.399999999999999,82.0,1.9907407407407405
Kab. Purwakarta,-6.55,107.44,2019-01-11,32.4,25.1,27.8,6.9,6.9,5.0,11.5,21.07,4.41,97,64,7.299999999999997,80.5,1.564625850340136
Kab. Purwakarta,-6.55,107.44,2019-01-12,32.7,25.2,27.7,9.6,9.6,13.0,9.0,19.72,4.11,94,67,7.5000000000000036,80.5,2.335766423357664
Kab. Purwakarta,-6.55,107.44,2019-01-13,30.8,25.1,26.8,14.6,14.6,14.0,11.6,14.08,2.98,96,72,5.699999999999999,84.0,4.899328859060403
Kab. Purwakarta,-6.55,107.44,2019-01-14,30.2,24.5,26.8,14.8,14.8,14.0,10.8,15.31,3.22,94,69,5.699999999999999,81.5,4.596273291925466
Kab. Purwakarta,-6.55,107.44,2019-01-15,32.0,25.1,27.2,5.7,5.7,9.0,13.2,13.54,3.07,95,62,6.899999999999999,78.5,1.8566775244299676
Kab. Purwakarta,-6.55,107.44,2019-01-16,29.3,25.2,27.0,4.8,4.8,11.0,17.3,14.25,3.06,94,72,4.100000000000001,83.0,1.5686274509803921
Kab. Purwakarta,-6.55,107.44,2019-01-17,31.7,24.9,27.5,6.4,6.4,11.0,17.5,17.87,3.86,96,64,6.800000000000001,80.0,1.6580310880829017
