nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Subang,-6.57,107.76,2019-01-01,30.2,23.9,26.5,0.0,0.0,0.0,14.8,9.91,2.54,90,64,6.300000000000001,77.0,0.0
Kab. Subang,-6.57,107.76,2019-01-02,33.1,24.4,27.4,5.0,5.0,2.0,17.6,21.69,4.58,91,58,8.700000000000003,74.5,1.0917030567685588
Kab. Subang,-6.57,107.76,2019-01-03,32.3,24.3,27.5,5.9,5.9,5.0,12.9,15.51,3.47,92,64,7.9999999999999964,78.0,1.7002881844380404
Kab. Subang,-6.57,107.76,2019-01-04,32.6,23.8,27.9,0.0,0.0,0.0,10.2,24.85,5.27,95,53,8.8,74.0,0.0
Kab. Subang,-6.57,107.76,2019-01-05,32.5,24.8,28.0,3.7,3.7,6.0,8.2,22.29,4.7,91,62,7.699999999999999,76.5,0.7872340425531915
Kab. Subang,-6.57,107.76,2019-01-06,31.6,24.3,28.0,2.1,2.1,8.0,8.6,20.13,4.2,94,68,7.300000000000001,81.0,0.5
Kab. Subang,-6.57,107.76,2019-01-07,32.6,25.4,28.2,9.0,9.0,18.0,8.7,20.1,4.29,93,63,7.200000000000003,78.0,2.097902097902098
Kab. Subang,-6.57,107.76,2019-01-08,31.9,24.6,27.3,19.3,19.3,17.0,8.7,19.61,4.12,94,68,7.299999999999997,81.0,4.684466019417476
Kab. Subang,-6.57,107.76,2019-01-09,30.5,24.5,27.2,11.5,11.5,9.0,10.1,19.22,3.94,94,70,6.0,82.0,2.918781725888325
Kab. Subang,-6.57,107.76,2019-01-10,31.4,24.2,27.2,9.6,9.6,10.0,8.1,21.51,4.4,96,67,7.199999999999999,81.5,2.1818181818181817
Kab. Subang,-6.57,107.76,2019-01-11,32.2,25.1,27.8,9.5,9.5,3.0,9.0,20.9,4.38,95,65,7.100000000000001,80.0,2.1689497716894977
Kab. Subang,-6.57,107.76,2019-01-12,32.5,25.2,27.6,11.6,11.6,14.0,8.2,19.73,4.14,92,66,7.300000000000001,79.0,2.8019323671497585
Kab. Subang,-6.57,107.76,2019-01-13,30.6,25.1,26.6,17.5,17.5,11.0,9.8,13.81,2.88,96,74,5.5,85.0,6.076388888888889
Kab. Subang,-6.57,107.76,2019-01-14,30.4,24.7,26.8,13.5,13.5,13.0,9.9,16.24,3.35,94,68,5.699999999999999,81.0,4.029850746268656
Kab. Subang,-6.57,107.76,2019-01-15,31.8,24.9,27.1,4.1,4.1,9.0,14.1,13.77,3.07,94,65,6.900000000000002,79.5,1.3355048859934853
Kab. Subang,-6.57,107.76,2019-01-16,29.3,25.0,26.9,10.2,10.2,12.0,19.8,14.49,3.09,94,74,4.300000000000001,84.0,3.3009708737864076
Kab. Subang,-6.57,107.76,2019-01-17,31.8,25.3,27.5,5.4,5.4,12.0,19.8,18.15,3.9,94,63,6.5,78.5,1.3846153846153848
Kab. Subang,-6.57,107.76,2019-01-18,31.3,24.9,27.2,8.5,8.5,4.0,16.9,15.04,3.27,93,67,6.400000000000002,80.0,2.599388379204893
Kab. Subang,-6.57,107.76,2019-01-19,30.3,24.9,27.1,2.6,2.6,6.0,15.3,18.31,3.72,94,71,5.400000000000002,82.5,0.6989247311827956
Kab. Subang,-6.57,107.76,2019-01-20,30.5,24.6,27.4,20.3,20.3,9.0,13.4,16.4,3.45,93,71,5.899999999999999,82.0,5.884057971014492
Kab. Subang,-6.57,107.76,2019-01-21,31.9,24.6,26.4,11.5,11.5,12.0,16.8,18.24,3.68,96,68,7.299999999999997,82.0,3.125
Kab. Subang,-6.57,107.76,2019-01-22,27.7,24.1,25.4,16.4,16.4,19.0,15.5,7.83,1.72,96,80,3.599999999999998,88.0,9.534883720930232
Kab. Subang,-6.57,107.76,2019-01-23,29.3,23.9,26.4,2.8,2.8,7.0,12.8,10.19,2.38,97,72,5.400000000000002,84.5,1.1764705882352942
Kab. Subang,-6.57,107.76,2019-01-24,31.4,24.9,27.0,7.1,7.1,9.0,18.2,20.64,4.24,93,68,6.5,80.5,1.6745283018867922
Kab. Subang,-6.57,107.76,2019-01-25,28.9,24.1,25.8,11.8,11.8,14.0,12.8,12.54,2.58,98,73,4.799999999999997,85.5,4.573643410852713
Kab. Subang,-6.57,107.76,2019-01-26,30.7,24.8,27.0,10.4,10.4,13.0,18.7,19.99,3.98,96,74,5.899999999999999,85.0,2.613065326633166
