nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Sukabumi,-7.0051,106.9264,2019-01-01,27.3,20.9,23.0,3.2,3.2,6.0,8.8,8.91,1.93,98,75,6.400000000000002,86.5,1.6580310880829017
Kab. Sukabumi,-7.0051,106.9264,2019-01-02,29.4,21.9,24.1,8.6,8.6,11.0,10.9,19.77,3.84,95,68,7.5,81.5,2.2395833333333335
Kab. Sukabumi,-7.0051,106.9264,2019-01-03,28.9,21.7,24.3,3.4,3.4,11.0,12.9,17.34,3.51,97,69,7.199999999999999,83.0,0.9686609686609687
Kab. Sukabumi,-7.0051,106.9264,2019-01-04,30.3,21.2,25.1,0.0,0.0,0.0,9.1,25.7,5.21,95,52,9.100000000000001,73.5,0.0
Kab. Sukabumi,-7.0051,106.9264,2019-01-05,28.9,21.5,24.9,1.6,1.6,7.0,5.4,22.27,4.45,94,62,7.399999999999999,78.0,0.3595505617977528
Kab. Sukabumi,-7.0051,106.9264,2019-01-06,29.4,22.3,25.5,5.6,5.6,10.0,7.3,20.82,4.2,96,64,7.099999999999998,80.0,1.3333333333333333
Kab. Sukabumi,-7.0051,106.9264,2019-01-07,31.1,22.9,25.9,4.0,4.0,11.0,6.5,20.35,4.23,97,63,8.200000000000003,80.0,0.9456264775413711
Kab. Sukabumi,-7.0051,106.9264,2019-01-08,28.8,22.7,25.0,6.9,6.9,11.0,7.9,19.68,3.98,97,69,6.100000000000001,83.0,1.7336683417085428
Kab. Sukabumi,-7.0051,106.9264,2019-01-09,28.2,22.4,24.7,21.6,21.6,11.0,3.7,18.26,3.69,97,74,5.800000000000001,85.5,5.853658536585367
Kab. Sukabumi,-7.0051,106.9264,2019-01-10,28.7,21.7,24.4,11.1,11.1,7.0,3.3,18.9,3.81,98,65,7.0,81.5,2.9133858267716533
Kab. Sukabumi,-7.0051,106.9264,2019-01-11,30.2,22.2,25.2,12.0,12.0,5.0,3.3,19.03,3.94,98,69,8.0,83.5,3.0456852791878175
Kab. Sukabumi,-7.0051,106.9264,2019-01-12,30.5,22.4,25.2,7.8,7.8,7.0,3.6,20.0,4.12,98,68,8.100000000000001,83.0,1.8932038834951455
Kab. Sukabumi,-7.0051,106.9264,2019-01-13,28.3,22.4,24.2,10.9,10.9,17.0,8.0,14.19,2.86,99,80,5.900000000000002,89.5,3.8111888111888117
Kab. Sukabumi,-7.0051,106.9264,2019-01-14,29.0,21.9,24.5,10.5,10.5,10.0,4.0,14.49,2.98,99,67,7.100000000000001,83.0,3.523489932885906
