nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Sumedang,-6.85,107.92,2019-01-01,28.5,21.4,24.2,3.3,3.3,6.0,8.7,11.11,2.38,95,66,7.100000000000001,80.5,1.3865546218487395
Kab. Sumedang,-6.85,107.92,2019-01-02,29.4,22.1,24.6,27.8,27.8,9.0,11.0,19.3,3.85,97,65,7.299999999999997,81.0,7.220779220779221
Kab. Sumedang,-6.85,107.92,2019-01-03,29.3,21.5,24.5,27.8,27.8,8.0,7.6,13.59,2.84,96,68,7.800000000000001,82.0,9.788732394366198
Kab. Sumedang,-6.85,107.92,2019-01-04,30.2,21.3,25.3,0.8,0.8,5.0,9.3,22.88,4.68,96,55,8.899999999999999,75.5,0.17094017094017097
Kab. Sumedang,-6.85,107.92,2019-01-05,30.2,22.0,25.2,5.0,5.0,7.0,7.9,20.41,4.1,94,62,8.2,78.0,1.2195121951219514
Kab. Sumedang,-6.85,107.92,2019-01-06,29.2,21.7,25.4,2.3,2.3,9.0,8.7,18.82,3.82,95,67,7.5,81.0,0.6020942408376964
Kab. Sumedang,-6.85,107.92,2019-01-07,30.4,22.9,25.8,5.7,5.7,11.0,7.7,18.28,3.81,93,61,7.5,77.0,1.4960629921259843
Kab. Sumedang,-6.85,107.92,2019-01-08,30.3,21.6,24.8,17.1,17.1,10.0,6.3,19.36,3.94,98,65,8.7,81.5,4.34010152284264
Kab. Sumedang,-6.85,107.92,2019-01-09,28.7,21.6,24.6,14.4,14.4,7.0,8.7,18.72,3.71,96,71,7.099999999999998,83.5,3.881401617250674
Kab. Sumedang,-6.85,107.92,2019-01-10,29.6,21.6,24.9,6.0,6.0,9.0,7.9,20.23,4.05,95,65,8.0,80.0,1.4814814814814816
Kab. Sumedang,-6.85,107.92,2019-01-11,29.9,22.5,25.1,13.6,13.6,7.0,5.5,19.32,3.93,96,67,7.399999999999999,81.5,3.460559796437659
Kab. Sumedang,-6.85,107.92,2019-01-12,30.6,22.6,25.4,4.7,4.7,10.0,6.8,19.05,3.87,94,66,8.0,80.0,1.2144702842377262
Kab. Sumedang,-6.85,107.92,2019-01-13,28.5,22.5,24.2,24.0,24.0,12.0,6.3,12.95,2.66,100,73,6.0,86.5,9.022556390977444
Kab. Sumedang,-6.85,107.92,2019-01-14,28.9,22.4,24.6,8.7,8.7,12.0,6.6,15.96,3.2,98,68,6.5,83.0,2.7187499999999996
Kab. Sumedang,-6.85,107.92,2019-01-15,29.8,22.5,24.8,7.3,7.3,9.0,8.4,14.78,3.07,96,67,7.300000000000001,81.5,2.3778501628664497
Kab. Sumedang,-6.85,107.92,2019-01-16,27.4,22.6,24.5,12.2,12.2,9.0,12.3,15.11,2.97,97,79,4.799999999999997,88.0,4.107744107744107
Kab. Sumedang,-6.85,107.92,2019-01-17,29.3,22.9,25.1,8.8,8.8,9.0,12.5,15.94,3.29,98,64,6.400000000000002,81.0,2.6747720364741645
Kab. Sumedang,-6.85,107.92,2019-01-18,28.2,22.5,24.6,13.8,13.8,9.0,11.6,13.57,2.78,96,74,5.699999999999999,85.0,4.9640287769784175
Kab. Sumedang,-6.85,107.92,2019-01-19,27.9,21.8,24.4,8.8,8.8,6.0,11.7,17.79,3.45,97,74,6.099999999999998,85.5,2.5507246376811596
Kab. Sumedang,-6.85,107.92,2019-01-20,27.9,21.9,24.6,19.3,19.3,10.0,9.9,15.36,3.05,96,71,6.0,83.5,6.327868852459017
Kab. Sumedang,-6.85,107.92,2019-01-21,30.0,22.2,24.2,17.0,17.0,15.0,13.3,17.13,3.41,99,69,7.800000000000001,84.0,4.9853372434017595
Kab. Sumedang,-6.85,107.92,2019-01-22,25.5,21.9,23.2,13.2,13.2,19.0,9.2,8.19,1.68,97,86,3.6000000000000014,91.5,7.857142857142857
Kab. Sumedang,-6.85,107.92,2019-01-23,26.9,21.6,23.9,3.4,3.4,6.0,12.3,8.55,1.9,97,72,5.299999999999997,84.5,1.7894736842105263
Kab. Sumedang,-6.85,107.92,2019-01-24,29.2,22.4,24.5,12.2,12.2,7.0,14.6,19.39,3.82,96,66,6.800000000000001,81.0,3.193717277486911
Kab. Sumedang,-6.85,107.92,2019-01-25,26.6,21.3,23.5,16.5,16.5,14.0,9.6,12.12,2.42,98,72,5.300000000000001,85.0,6.818181818181818
Kab. Sumedang,-6.85,107.92,2019-01-26,28.8,22.4,24.7,6.8,6.8,10.0,15.7,21.14,4.11,97,66,6.400000000000002,81.5,1.654501216545012
Kab. Sumedang,-6.85,107.92,2019-01-27,27.1,22.0,24.0,4.2,4.2,9.0,13.7,14.36,2.79,97,72,5.100000000000001,84.5,1.5053763440860215
Kab. Sumedang,-6.85,107.92,2019-01-28,27.5,21.8,24.2,6.1,6.1,9.0,14.8,18.56,3.57,97,72,5.699999999999999,84.5,1.7086834733893557
Kab. Sumedang,-6.85,107.92,2019-01-29,27.6,21.7,24.4,1.2,1.2,5.0,11.6,14.94,2.94,97,74,5.900000000000002,85.5,0.40816326530612246
Kab. Sumedang,-6.85,107.92,2019-01-30,29.2,22.1,24.6,5.7,5.7,10.0,9.7,16.71,3.35,95,68,7.099999999999998,81.5,1.7014925373134329
Kab. Sumedang,-6.85,107.92,2019-01-31,27.6,21.5,23.8,13.0,13.0,10.0,8.2,13.95,2.82,98,71,6.100000000000001,84.5,4.609929078014185
Kab. Sumedang,-6.85,107.92,2019-02-01,28.6,20.7,23.7,13.0,13.0,10.0,11.1,18.4,3.67,97,63,7.900000000000002,80.0,3.542234332425068
Kab. Sumedang,-6.85,107.92,2019-02-02,29.5,21.1,24.5,17.1,17.1,14.0,8.0,18.23,3.69,97,67,8.399999999999999,82.0,4.634146341463415
Kab. Sumedang,-6.85,107.92,2019-02-03,28.0,22.3,24.4,17.2,17.2,16.0,6.4,15.14,3.02,100,77,5.699999999999999,88.5,5.695364238410596
Kab. Sumedang,-6.85,107.92,2019-02-04,28.4,22.2,24.2,17.6,17.6,9.0,6.4,16.06,3.22,97,70,6.199999999999999,83.5,5.465838509316771
Kab. Sumedang,-6.85,107.92,2019-02-05,29.3,21.6,24.4,14.2,14.2,4.0,10.4,19.72,3.95,96,64,7.699999999999999,80.0,3.594936708860759
Kab. Sumedang,-6.85,107.92,2019-02-06,28.8,21.9,24.2,22.6,22.6,9.0,9.9,17.58,3.53,97,70,6.900000000000002,83.5,6.402266288951842
Kab. Sumedang,-6.85,107.92,2019-02-07,30.5,21.5,24.6,20.2,20.2,13.0,7.6,18.93,3.81,98,66,9.0,82.0,5.301837270341207
Kab. Sumedang,-6.85,107.92,2019-02-08,28.8,22.1,24.6,15.3,15.3,18.0,6.5,16.72,3.39,97,70,6.699999999999999,83.5,4.513274336283186
Kab. Sumedang,-6.85,107.92,2019-02-09,29.1,22.3,24.9,28.7,28.7,22.0,4.7,15.92,3.26,97,69,6.800000000000001,83.0,8.803680981595093
Kab. Sumedang,-6.85,107.92,2019-02-10,29.5,22.2,24.6,13.9,13.9,13.0,7.7,17.49,3.55,96,67,7.300000000000001,81.5,3.915492957746479
Kab. Sumedang,-6.85,107.92,2019-02-11,29.5,22.1,24.4,22.7,22.7,22.0,8.3,15.38,3.2,98,65,7.399999999999999,81.5,7.093749999999999
Kab. Sumedang,-6.85,107.92,2019-02-12,27.9,22.0,24.0,13.7,13.7,14.0,6.4,13.18,2.7,98,72,5.899999999999999,85.0,5.0740740740740735
Kab. Sumedang,-6.85,107.92,2019-02-13,28.9,21.5,24.4,8.7,8.7,14.0,8.3,18.27,3.64,97,68,7.399999999999999,82.5,2.3901098901098896
Kab. Sumedang,-6.85,107.92,2019-02-14,29.6,21.7,25.0,4.0,4.0,13.0,7.2,20.25,4.1,96,62,7.900000000000002,79.0,0.9756097560975611
Kab. Sumedang,-6.85,107.92,2019-02-15,26.4,23.1,24.4,20.5,20.5,15.0,7.6,14.22,2.83,97,80,3.299999999999997,88.5,7.243816254416961
Kab. Sumedang,-6.85,107.92,2019-02-16,28.7,21.7,24.6,15.0,15.0,12.0,7.3,18.05,3.6,98,72,7.0,85.0,4.166666666666667
Kab. Sumedang,-6.85,107.92,2019-02-17,29.6,21.4,24.6,9.7,9.7,5.0,8.8,17.12,3.54,97,69,8.200000000000003,83.0,2.7401129943502824
Kab. Sumedang,-6.85,107.92,2019-02-18,29.3,22.2,24.5,9.7,9.7,12.0,8.7,12.93,2.75,95,67,7.100000000000001,81.0,3.527272727272727
Kab. Sumedang,-6.85,107.92,2019-02-19,30.1,20.8,24.6,8.7,8.7,10.0,6.6,19.75,4.01,95,64,9.3,79.5,2.169576059850374
Kab. Sumedang,-6.85,107.92,2019-02-20,28.9,23.0,25.0,26.3,26.3,18.0,6.2,13.48,2.83,95,73,5.899999999999999,84.0,9.293286219081272
