nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Tasikmalaya,-7.35,108.25,2019-01-01,30.0,22.2,25.3,15.5,15.5,9.0,4.7,13.5,2.87,98,65,7.800000000000001,81.5,5.400696864111498
Kab. Tasikmalaya,-7.35,108.25,2019-01-02,31.0,23.3,25.7,26.5,26.5,11.0,5.1,16.8,3.54,98,64,7.699999999999999,81.0,7.4858757062146895
Kab. Tasikmalaya,-7.35,108.25,2019-01-03,31.4,22.4,25.8,17.7,17.7,10.0,6.9,13.58,2.97,99,64,9.0,81.5,5.959595959595959
Kab. Tasikmalaya,-7.35,108.25,2019-01-04,30.7,22.1,26.0,5.1,5.1,7.0,5.1,22.14,4.62,98,61,8.599999999999998,79.5,1.1038961038961037
Kab. Tasikmalaya,-7.35,108.25,2019-01-05,30.6,23.1,26.1,11.2,11.2,9.0,5.5,18.96,3.91,96,68,7.5,82.0,2.8644501278772374
Kab. Tasikmalaya,-7.35,108.25,2019-01-06,30.9,23.5,26.7,5.0,5.0,10.0,8.6,16.47,3.49,96,69,7.399999999999999,82.5,1.4326647564469912
Kab. Tasikmalaya,-7.35,108.25,2019-01-07,32.4,24.4,26.8,7.5,7.5,13.0,5.7,17.86,3.88,95,61,8.0,78.0,1.9329896907216495
Kab. Tasikmalaya,-7.35,108.25,2019-01-08,30.6,23.1,26.1,5.7,5.7,8.0,8.6,20.0,4.02,97,76,7.5,86.5,1.4179104477611941
Kab. Tasikmalaya,-7.35,108.25,2019-01-09,31.4,23.4,26.3,6.7,6.7,8.0,6.1,20.62,4.28,97,65,8.0,81.0,1.5654205607476634
Kab. Tasikmalaya,-7.35,108.25,2019-01-10,31.3,23.0,26.3,15.4,15.4,7.0,5.8,18.95,3.98,97,69,8.3,83.0,3.869346733668342
Kab. Tasikmalaya,-7.35,108.25,2019-01-11,31.5,23.2,26.7,7.9,7.9,8.0,4.7,19.2,4.04,98,72,8.3,85.0,1.9554455445544554
Kab. Tasikmalaya,-7.35,108.25,2019-01-12,32.6,24.4,27.1,5.4,5.4,13.0,5.2,19.1,4.04,97,65,8.200000000000003,81.0,1.3366336633663367
Kab. Tasikmalaya,-7.35,108.25,2019-01-13,29.4,23.9,25.7,24.4,24.4,16.0,6.3,11.66,2.48,99,78,5.5,88.5,9.838709677419354
Kab. Tasikmalaya,-7.35,108.25,2019-01-14,30.7,23.5,26.2,17.4,17.4,13.0,4.6,16.31,3.45,99,65,7.199999999999999,82.0,5.0434782608695645
Kab. Tasikmalaya,-7.35,108.25,2019-01-15,31.7,23.6,26.4,12.7,12.7,6.0,7.1,16.86,3.6,96,65,8.099999999999998,80.5,3.5277777777777777
Kab. Tasikmalaya,-7.35,108.25,2019-01-16,30.3,24.2,26.1,14.1,14.1,8.0,3.7,15.1,3.19,99,73,6.100000000000001,86.0,4.420062695924765
Kab. Tasikmalaya,-7.35,108.25,2019-01-17,29.5,24.4,26.1,21.4,21.4,15.0,5.7,12.03,2.57,99,75,5.100000000000001,87.0,8.326848249027238
Kab. Tasikmalaya,-7.35,108.25,2019-01-18,29.8,23.7,26.2,18.0,18.0,10.0,5.1,13.94,2.99,97,73,6.100000000000001,85.0,6.020066889632107
Kab. Tasikmalaya,-7.35,108.25,2019-01-19,28.8,23.3,25.7,25.0,25.0,7.0,5.4,13.29,2.79,99,73,5.5,86.0,8.960573476702509
Kab. Tasikmalaya,-7.35,108.25,2019-01-20,29.5,23.2,25.9,27.7,27.7,10.0,5.9,14.92,3.11,96,73,6.300000000000001,84.5,8.906752411575562
Kab. Tasikmalaya,-7.35,108.25,2019-01-21,30.4,23.5,25.4,32.3,32.3,13.0,5.1,16.14,3.4,99,76,6.899999999999999,87.5,9.5
Kab. Tasikmalaya,-7.35,108.25,2019-01-22,29.1,23.6,25.3,11.1,11.1,16.0,6.9,9.28,2.09,99,69,5.5,84.0,5.311004784688995
Kab. Tasikmalaya,-7.35,108.25,2019-01-23,28.7,23.3,25.4,2.7,2.7,7.0,6.4,8.41,1.95,98,71,5.399999999999999,84.5,1.3846153846153848
Kab. Tasikmalaya,-7.35,108.25,2019-01-24,31.3,22.9,25.6,26.3,26.3,10.0,5.7,17.58,3.66,99,65,8.400000000000002,82.0,7.185792349726776
Kab. Tasikmalaya,-7.35,108.25,2019-01-25,27.5,22.3,25.1,12.5,12.5,16.0,5.2,11.78,2.47,100,78,5.199999999999999,89.0,5.060728744939271
Kab. Tasikmalaya,-7.35,108.25,2019-01-26,31.0,23.6,26.6,2.1,2.1,10.0,6.1,21.85,4.55,96,66,7.399999999999999,81.0,0.46153846153846156
Kab. Tasikmalaya,-7.35,108.25,2019-01-27,29.1,23.6,25.8,4.4,4.4,5.0,7.2,14.48,3.04,98,74,5.5,86.0,1.4473684210526316
Kab. Tasikmalaya,-7.35,108.25,2019-01-28,29.6,23.1,25.9,14.0,14.0,7.0,7.1,20.11,4.14,97,67,6.5,82.0,3.381642512077295
Kab. Tasikmalaya,-7.35,108.25,2019-01-29,30.8,23.2,26.3,0.4,0.4,3.0,9.1,16.79,3.5,99,67,7.600000000000001,83.0,0.1142857142857143
Kab. Tasikmalaya,-7.35,108.25,2019-01-30,30.4,22.5,25.7,14.4,14.4,8.0,5.6,16.47,3.47,97,69,7.899999999999999,83.0,4.14985590778098
Kab. Tasikmalaya,-7.35,108.25,2019-01-31,29.0,23.0,25.1,17.4,17.4,8.0,4.1,11.97,2.53,98,74,6.0,86.0,6.877470355731226
