nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Bandung,-6.9175,107.6191,2019-01-01,26.4,20.8,23.0,4.0,4.0,12.0,11.2,11.08,2.37,94,72,5.599999999999998,83.0,1.6877637130801686
Kota Bandung,-6.9175,107.6191,2019-01-02,28.4,21.9,23.8,7.9,7.9,10.0,11.9,19.38,3.84,94,67,6.5,80.5,2.057291666666667
Kota Bandung,-6.9175,107.6191,2019-01-03,28.7,21.6,24.0,8.1,8.1,11.0,11.8,15.45,3.19,95,73,7.099999999999998,84.0,2.5391849529780566
Kota Bandung,-6.9175,107.6191,2019-01-04,29.4,21.0,24.5,0.0,0.0,0.0,9.7,24.53,4.98,95,56,8.399999999999999,75.5,0.0
Kota Bandung,-6.9175,107.6191,2019-01-05,28.1,21.6,24.6,1.8,1.8,6.0,9.0,21.03,4.22,95,64,6.5,79.5,0.4265402843601896
Kota Bandung,-6.9175,107.6191,2019-01-06,28.3,22.1,24.9,3.1,3.1,9.0,10.4,18.76,3.83,95,67,6.199999999999999,81.0,0.8093994778067886
Kota Bandung,-6.9175,107.6191,2019-01-07,30.2,22.6,25.3,4.8,4.8,11.0,8.8,19.53,4.04,97,68,7.599999999999998,82.5,1.188118811881188
Kota Bandung,-6.9175,107.6191,2019-01-08,28.5,22.3,24.3,28.6,28.6,14.0,4.0,18.43,3.76,97,72,6.199999999999999,84.5,7.606382978723405
Kota Bandung,-6.9175,107.6191,2019-01-09,27.5,22.0,24.2,16.9,16.9,11.0,4.7,18.14,3.66,97,73,5.5,85.0,4.617486338797813
Kota Bandung,-6.9175,107.6191,2019-01-10,28.5,21.4,24.0,11.7,11.7,8.0,7.1,18.76,3.76,97,68,7.100000000000001,82.5,3.1117021276595747
Kota Bandung,-6.9175,107.6191,2019-01-11,28.5,22.1,24.6,19.3,19.3,6.0,5.5,18.06,3.69,98,73,6.399999999999999,85.5,5.230352303523036
Kota Bandung,-6.9175,107.6191,2019-01-12,29.3,22.5,24.8,10.8,10.8,7.0,4.1,19.69,4.02,97,69,6.800000000000001,83.0,2.686567164179105
Kota Bandung,-6.9175,107.6191,2019-01-13,28.5,22.1,23.8,32.0,32.0,19.0,5.3,13.49,2.8,99,80,6.399999999999999,89.5,11.428571428571429
Kota Bandung,-6.9175,107.6191,2019-01-14,27.4,22.1,24.1,16.4,16.4,14.0,5.7,14.58,2.96,98,76,5.299999999999997,87.0,5.54054054054054
Kota Bandung,-6.9175,107.6191,2019-01-15,28.3,22.5,24.2,11.6,11.6,11.0,7.2,13.53,2.8,97,76,5.800000000000001,86.5,4.142857142857143
Kota Bandung,-6.9175,107.6191,2019-01-16,26.3,22.5,23.8,17.2,17.2,12.0,11.2,14.85,2.89,98,81,3.8000000000000007,89.5,5.951557093425605
Kota Bandung,-6.9175,107.6191,2019-01-17,26.6,22.3,24.2,6.9,6.9,13.0,11.9,13.7,2.78,98,77,4.300000000000001,87.5,2.4820143884892087
Kota Bandung,-6.9175,107.6191,2019-01-18,27.4,22.8,24.3,6.4,6.4,9.0,10.0,13.3,2.74,95,72,4.599999999999998,83.5,2.335766423357664
Kota Bandung,-6.9175,107.6191,2019-01-19,26.3,22.1,23.9,6.5,6.5,6.0,10.2,16.17,3.17,96,76,4.199999999999999,86.0,2.050473186119874
Kota Bandung,-6.9175,107.6191,2019-01-20,27.3,22.0,24.2,15.3,15.3,8.0,9.2,13.78,2.79,96,72,5.300000000000001,84.0,5.483870967741936
Kota Bandung,-6.9175,107.6191,2019-01-21,28.1,22.1,23.7,17.1,17.1,14.0,9.1,16.42,3.23,98,78,6.0,88.0,5.294117647058824
Kota Bandung,-6.9175,107.6191,2019-01-22,25.1,21.6,23.0,12.9,12.9,19.0,8.9,8.51,1.8,97,79,3.5,88.0,7.166666666666667
Kota Bandung,-6.9175,107.6191,2019-01-23,26.3,21.3,23.4,2.6,2.6,7.0,9.2,9.48,2.09,95,73,5.0,84.0,1.244019138755981
Kota Bandung,-6.9175,107.6191,2019-01-24,27.4,21.9,23.7,7.8,7.8,10.0,12.0,18.7,3.6,97,74,5.5,85.5,2.1666666666666665
Kota Bandung,-6.9175,107.6191,2019-01-25,25.2,20.9,22.8,15.6,15.6,17.0,9.0,9.27,1.88,98,80,4.300000000000001,89.0,8.297872340425533
Kota Bandung,-6.9175,107.6191,2019-01-26,28.1,22.1,24.2,3.7,3.7,10.0,13.7,23.06,4.49,97,66,6.0,81.5,0.8240534521158129
Kota Bandung,-6.9175,107.6191,2019-01-27,25.8,21.9,23.6,2.6,2.6,7.0,11.3,14.13,2.74,99,78,3.900000000000002,88.5,0.948905109489051
Kota Bandung,-6.9175,107.6191,2019-01-28,26.6,21.6,23.8,3.3,3.3,9.0,13.7,19.38,3.74,95,71,5.0,83.0,0.8823529411764705
Kota Bandung,-6.9175,107.6191,2019-01-29,26.7,21.7,23.9,2.5,2.5,8.0,11.3,18.14,3.49,95,75,5.0,85.0,0.7163323782234956
Kota Bandung,-6.9175,107.6191,2019-01-30,27.2,21.7,23.7,8.4,8.4,12.0,11.0,15.8,3.13,95,76,5.5,85.5,2.68370607028754
Kota Bandung,-6.9175,107.6191,2019-01-31,26.8,21.6,23.4,7.8,7.8,10.0,9.8,14.79,3.0,97,71,5.199999999999999,84.0,2.6
Kota Bandung,-6.9175,107.6191,2019-02-01,27.6,20.9,23.3,8.7,8.7,9.0,10.3,17.87,3.57,97,65,6.700000000000003,81.0,2.436974789915966
Kota Bandung,-6.9175,107.6191,2019-02-02,28.0,21.4,24.3,12.2,12.2,7.0,7.0,18.77,3.81,96,69,6.600000000000001,82.5,3.202099737532808
Kota Bandung,-6.9175,107.6191,2019-02-03,27.9,22.3,24.1,16.3,16.3,10.0,7.2,16.07,3.28,96,72,5.599999999999998,84.0,4.969512195121951
