nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Banjar,-7.365,108.54,2019-01-01,31.7,23.6,26.9,20.4,20.4,13.0,5.0,14.44,3.1,99,65,8.099999999999998,82.0,6.580645161290322
Kota Banjar,-7.365,108.54,2019-01-02,32.5,24.7,27.2,23.6,23.6,11.0,7.1,17.24,3.69,98,65,7.800000000000001,81.5,6.3956639566395665
Kota Banjar,-7.365,108.54,2019-01-03,32.5,24.0,27.2,34.1,34.1,24.0,9.7,13.97,3.1,98,67,8.5,82.5,11.0
Kota Banjar,-7.365,108.54,2019-01-04,32.6,23.5,27.4,8.0,8.0,13.0,4.8,22.73,4.78,97,64,9.100000000000001,80.5,1.6736401673640167
Kota Banjar,-7.365,108.54,2019-01-05,32.8,24.5,27.9,10.6,10.6,9.0,5.9,19.44,4.1,95,66,8.299999999999997,80.5,2.5853658536585367
Kota Banjar,-7.365,108.54,2019-01-06,32.8,25.2,28.5,3.9,3.9,8.0,9.3,17.59,3.79,96,72,7.599999999999998,84.0,1.029023746701847
Kota Banjar,-7.365,108.54,2019-01-07,33.8,26.2,28.7,6.5,6.5,9.0,6.1,18.29,4.04,95,61,7.599999999999998,78.0,1.608910891089109
Kota Banjar,-7.365,108.54,2019-01-08,31.5,24.8,27.8,2.7,2.7,9.0,10.3,20.95,4.24,97,78,6.699999999999999,87.5,0.6367924528301887
Kota Banjar,-7.365,108.54,2019-01-09,33.4,25.2,28.0,4.9,4.9,6.0,5.6,21.01,4.47,97,62,8.2,79.5,1.0961968680089487
Kota Banjar,-7.365,108.54,2019-01-10,33.4,24.8,28.1,11.1,11.1,8.0,4.5,19.44,4.17,97,64,8.599999999999998,80.5,2.661870503597122
Kota Banjar,-7.365,108.54,2019-01-11,32.8,24.9,28.4,6.1,6.1,7.0,5.1,19.35,4.16,98,74,7.899999999999999,86.0,1.4663461538461537
Kota Banjar,-7.365,108.54,2019-01-12,34.0,25.8,28.5,4.3,4.3,12.0,6.4,19.6,4.22,98,65,8.2,81.5,1.018957345971564
Kota Banjar,-7.365,108.54,2019-01-13,30.6,25.1,27.0,24.7,24.7,16.0,6.7,10.52,2.3,98,78,5.5,88.0,10.73913043478261
Kota Banjar,-7.365,108.54,2019-01-14,32.3,24.9,27.9,14.3,14.3,13.0,5.6,17.21,3.71,98,68,7.399999999999999,83.0,3.8544474393531
Kota Banjar,-7.365,108.54,2019-01-15,33.7,25.3,27.8,9.0,9.0,8.0,8.2,17.68,3.84,96,64,8.400000000000002,80.0,2.34375
