nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Bekasi,-6.2349,106.9896,2019-01-01,28.5,24.9,26.2,5.0,5.0,12.0,16.9,8.06,2.22,88,74,3.6000000000000014,81.0,2.252252252252252
Kota Bekasi,-6.2349,106.9896,2019-01-02,31.9,24.8,27.3,1.8,1.8,5.0,20.5,22.24,4.84,89,61,7.099999999999998,75.0,0.37190082644628103
Kota Bekasi,-6.2349,106.9896,2019-01-03,32.2,24.8,27.7,0.0,0.0,0.0,18.7,17.86,4.28,88,60,7.400000000000002,74.0,0.0
Kota Bekasi,-6.2349,106.9896,2019-01-04,32.5,24.0,28.0,0.0,0.0,0.0,12.6,24.94,5.46,89,53,8.5,71.0,0.0
Kota Bekasi,-6.2349,106.9896,2019-01-05,32.3,24.8,27.9,1.0,1.0,4.0,10.6,23.07,4.89,86,59,7.4999999999999964,72.5,0.20449897750511248
Kota Bekasi,-6.2349,106.9896,2019-01-06,31.5,25.0,28.3,4.9,4.9,10.0,10.6,22.5,4.65,92,68,6.5,80.0,1.053763440860215
Kota Bekasi,-6.2349,106.9896,2019-01-07,31.6,25.0,27.7,7.4,7.4,22.0,11.6,18.85,3.96,93,64,6.600000000000001,78.5,1.8686868686868687
Kota Bekasi,-6.2349,106.9896,2019-01-08,31.4,25.1,27.5,17.0,17.0,9.0,12.4,20.26,4.23,93,67,6.299999999999997,80.0,4.0189125295508275
Kota Bekasi,-6.2349,106.9896,2019-01-09,30.8,24.9,27.4,7.7,7.7,10.0,12.9,21.0,4.25,94,68,5.900000000000002,81.0,1.811764705882353
Kota Bekasi,-6.2349,106.9896,2019-01-10,30.5,24.2,27.2,7.4,7.4,12.0,10.7,21.65,4.4,95,69,6.300000000000001,82.0,1.6818181818181817
Kota Bekasi,-6.2349,106.9896,2019-01-11,31.5,25.4,28.1,7.6,7.6,13.0,13.2,22.87,4.72,94,67,6.100000000000001,80.5,1.6101694915254237
Kota Bekasi,-6.2349,106.9896,2019-01-12,30.7,25.1,27.7,9.3,9.3,15.0,11.7,20.65,4.24,94,71,5.599999999999998,82.5,2.1933962264150946
Kota Bekasi,-6.2349,106.9896,2019-01-13,30.3,25.1,26.8,21.2,21.2,21.0,14.7,17.06,3.49,95,72,5.199999999999999,83.5,6.074498567335243
Kota Bekasi,-6.2349,106.9896,2019-01-14,29.3,24.6,26.5,10.3,10.3,18.0,12.9,11.79,2.54,96,75,4.699999999999999,85.5,4.05511811023622
Kota Bekasi,-6.2349,106.9896,2019-01-15,31.0,24.9,27.3,7.9,7.9,9.0,18.4,16.02,3.57,93,66,6.100000000000001,79.5,2.212885154061625
Kota Bekasi,-6.2349,106.9896,2019-01-16,29.7,25.7,27.4,2.7,2.7,5.0,18.1,14.6,3.43,88,71,4.0,79.5,0.7871720116618076
Kota Bekasi,-6.2349,106.9896,2019-01-17,30.7,25.2,27.4,9.9,9.9,10.0,19.5,18.29,4.0,91,66,5.5,78.5,2.475
