nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Bogor,-6.5971,106.806,2019-01-01,27.8,22.9,24.5,1.8,1.8,8.0,9.7,7.54,1.78,93,75,4.900000000000002,84.0,1.0112359550561798
Kota Bogor,-6.5971,106.806,2019-01-02,31.3,23.6,25.8,8.6,8.6,8.0,14.0,20.04,4.1,92,65,7.699999999999999,78.5,2.097560975609756
Kota Bogor,-6.5971,106.806,2019-01-03,31.2,23.0,26.2,0.4,0.4,4.0,15.0,17.54,3.89,92,62,8.2,77.0,0.10282776349614396
Kota Bogor,-6.5971,106.806,2019-01-04,32.3,22.3,26.7,0.0,0.0,0.0,11.2,24.13,5.18,94,50,9.999999999999996,72.0,0.0
Kota Bogor,-6.5971,106.806,2019-01-05,31.1,23.0,26.6,1.5,1.5,6.0,7.2,21.23,4.41,92,60,8.100000000000001,76.0,0.3401360544217687
Kota Bogor,-6.5971,106.806,2019-01-06,31.2,23.1,26.9,5.3,5.3,9.0,8.9,21.06,4.35,94,63,8.099999999999998,78.5,1.2183908045977012
Kota Bogor,-6.5971,106.806,2019-01-07,31.3,23.6,27.0,9.3,9.3,12.0,8.3,18.53,3.88,96,71,7.699999999999999,83.5,2.3969072164948457
Kota Bogor,-6.5971,106.806,2019-01-08,30.5,23.7,26.3,22.9,22.9,13.0,6.4,18.29,3.82,96,65,6.800000000000001,80.5,5.994764397905759
Kota Bogor,-6.5971,106.806,2019-01-09,30.3,23.6,26.1,11.7,11.7,11.0,9.8,17.59,3.61,95,67,6.699999999999999,81.0,3.240997229916897
Kota Bogor,-6.5971,106.806,2019-01-10,30.4,22.7,25.7,9.6,9.6,10.0,9.0,19.11,3.88,97,66,7.699999999999999,81.5,2.4742268041237114
Kota Bogor,-6.5971,106.806,2019-01-11,31.4,23.3,26.6,8.3,8.3,11.0,9.6,20.71,4.27,98,66,8.099999999999998,82.0,1.9437939110070261
Kota Bogor,-6.5971,106.806,2019-01-12,31.6,23.4,26.5,10.3,10.3,14.0,8.8,18.46,3.83,96,67,8.200000000000003,81.5,2.689295039164491
Kota Bogor,-6.5971,106.806,2019-01-13,29.9,23.5,25.5,20.2,20.2,13.0,7.7,15.08,3.12,98,73,6.399999999999999,85.5,6.474358974358974
Kota Bogor,-6.5971,106.806,2019-01-14,28.9,23.0,25.2,10.6,10.6,17.0,8.2,11.93,2.49,97,72,5.899999999999999,84.5,4.257028112449799
Kota Bogor,-6.5971,106.806,2019-01-15,30.7,23.2,25.9,11.4,11.4,11.0,10.6,14.58,3.12,97,69,7.5,83.0,3.6538461538461537
Kota Bogor,-6.5971,106.806,2019-01-16,28.2,24.3,25.6,7.4,7.4,9.0,10.1,13.12,2.76,93,73,3.8999999999999986,83.0,2.6811594202898554
Kota Bogor,-6.5971,106.806,2019-01-17,29.3,23.5,26.0,9.2,9.2,16.0,13.0,15.94,3.37,95,68,5.800000000000001,81.5,2.729970326409495
Kota Bogor,-6.5971,106.806,2019-01-18,29.3,24.6,26.2,8.4,8.4,5.0,10.9,12.21,2.72,92,71,4.699999999999999,81.5,3.088235294117647
Kota Bogor,-6.5971,106.806,2019-01-19,28.4,23.8,25.6,1.8,1.8,5.0,8.3,13.31,2.75,94,72,4.599999999999998,83.0,0.6545454545454545
Kota Bogor,-6.5971,106.806,2019-01-20,29.8,23.1,26.1,7.5,7.5,12.0,10.6,17.05,3.52,96,70,6.699999999999999,83.0,2.1306818181818183
Kota Bogor,-6.5971,106.806,2019-01-21,29.6,23.3,25.2,20.5,20.5,13.0,8.7,16.06,3.25,97,69,6.300000000000001,83.0,6.3076923076923075
Kota Bogor,-6.5971,106.806,2019-01-22,26.9,22.6,24.3,13.5,13.5,20.0,6.5,9.23,1.95,99,80,4.299999999999997,89.5,6.923076923076923
Kota Bogor,-6.5971,106.806,2019-01-23,28.7,22.5,25.3,3.7,3.7,13.0,10.0,13.4,2.85,99,68,6.199999999999999,83.5,1.2982456140350878
Kota Bogor,-6.5971,106.806,2019-01-24,30.3,23.4,25.9,3.7,3.7,9.0,13.0,21.31,4.28,96,66,6.900000000000002,81.0,0.8644859813084113
Kota Bogor,-6.5971,106.806,2019-01-25,27.9,22.8,24.7,8.9,8.9,16.0,7.4,11.36,2.35,97,75,5.099999999999998,86.0,3.7872340425531914
Kota Bogor,-6.5971,106.806,2019-01-26,29.8,22.3,25.8,3.8,3.8,13.0,11.8,20.83,4.17,98,69,7.5,83.5,0.9112709832134293
Kota Bogor,-6.5971,106.806,2019-01-27,27.8,23.3,25.4,3.9,3.9,13.0,10.5,11.91,2.52,95,74,4.5,84.5,1.5476190476190477
Kota Bogor,-6.5971,106.806,2019-01-28,28.6,22.8,25.5,5.7,5.7,17.0,12.7,20.56,4.03,96,73,5.800000000000001,84.5,1.41439205955335
Kota Bogor,-6.5971,106.806,2019-01-29,29.1,23.2,25.8,5.0,5.0,12.0,8.8,17.56,3.55,97,72,5.900000000000002,84.5,1.4084507042253522
