nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Cimahi,-6.872,107.542,2019-01-01,25.9,20.0,22.3,0.2,0.2,2.0,10.5,10.09,2.21,92,64,5.899999999999999,78.0,0.0904977375565611
Kota Cimahi,-6.872,107.542,2019-01-02,28.9,20.8,23.2,7.5,7.5,7.0,13.0,20.71,4.06,93,58,8.099999999999998,75.5,1.8472906403940887
Kota Cimahi,-6.872,107.542,2019-01-03,28.3,20.3,23.4,4.7,4.7,6.0,11.6,15.97,3.34,95,63,8.0,79.0,1.407185628742515
Kota Cimahi,-6.872,107.542,2019-01-04,28.7,19.8,23.7,0.0,0.0,0.0,9.0,24.96,4.98,93,53,8.899999999999999,73.0,0.0
Kota Cimahi,-6.872,107.542,2019-01-05,27.7,20.7,23.6,1.7,1.7,7.0,9.1,21.37,4.17,95,63,7.0,79.0,0.407673860911271
Kota Cimahi,-6.872,107.542,2019-01-06,27.4,20.9,23.8,4.2,4.2,12.0,10.9,19.32,3.78,95,67,6.5,81.0,1.1111111111111112
Kota Cimahi,-6.872,107.542,2019-01-07,28.7,21.2,24.2,7.2,7.2,13.0,9.1,19.67,3.91,96,70,7.5,83.0,1.8414322250639386
Kota Cimahi,-6.872,107.542,2019-01-08,27.3,21.1,23.3,35.7,35.7,19.0,5.5,17.95,3.57,97,71,6.199999999999999,84.0,10.000000000000002
Kota Cimahi,-6.872,107.542,2019-01-09,26.6,20.8,23.1,13.3,13.3,11.0,9.8,18.08,3.49,97,71,5.800000000000001,84.0,3.810888252148997
Kota Cimahi,-6.872,107.542,2019-01-10,27.3,20.3,23.0,9.9,9.9,9.0,7.9,19.77,3.8,97,67,7.0,82.0,2.605263157894737
Kota Cimahi,-6.872,107.542,2019-01-11,27.5,21.0,23.6,13.9,13.9,6.0,8.3,19.48,3.82,98,70,6.5,84.0,3.6387434554973823
Kota Cimahi,-6.872,107.542,2019-01-12,28.4,21.2,23.7,8.6,8.6,10.0,7.9,19.23,3.76,96,68,7.199999999999999,82.0,2.2872340425531914
Kota Cimahi,-6.872,107.542,2019-01-13,27.0,21.1,22.8,27.7,27.7,17.0,8.2,13.44,2.69,98,72,5.899999999999999,85.0,10.297397769516728
