nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Depok,-6.4025,106.7942,2019-01-01,28.9,24.0,25.7,1.8,1.8,8.0,9.7,7.54,1.81,93,75,4.899999999999999,84.0,0.994475138121547
Kota Depok,-6.4025,106.7942,2019-01-02,32.4,24.7,26.9,8.6,8.6,8.0,14.0,20.04,4.2,92,65,7.699999999999999,78.5,2.0476190476190474
Kota Depok,-6.4025,106.7942,2019-01-03,32.3,24.1,27.3,0.4,0.4,4.0,15.0,17.54,3.98,92,62,8.199999999999996,77.0,0.10050251256281408
Kota Depok,-6.4025,106.7942,2019-01-04,33.4,23.4,27.8,0.0,0.0,0.0,11.2,24.13,5.29,94,50,10.0,72.0,0.0
Kota Depok,-6.4025,106.7942,2019-01-05,32.2,24.1,27.8,1.5,1.5,6.0,7.2,21.23,4.49,93,60,8.100000000000001,76.5,0.33407572383073497
Kota Depok,-6.4025,106.7942,2019-01-06,32.3,24.2,28.1,5.3,5.3,9.0,8.9,21.06,4.44,94,63,8.099999999999998,78.5,1.1936936936936935
Kota Depok,-6.4025,106.7942,2019-01-07,32.4,24.7,28.1,9.3,9.3,12.0,8.3,18.53,3.95,96,71,7.699999999999999,83.5,2.3544303797468356
Kota Depok,-6.4025,106.7942,2019-01-08,31.6,24.8,27.4,22.9,22.9,13.0,6.4,18.29,3.89,96,65,6.800000000000001,80.5,5.886889460154241
Kota Depok,-6.4025,106.7942,2019-01-09,31.4,24.7,27.2,11.7,11.7,11.0,9.8,17.59,3.68,95,67,6.699999999999999,81.0,3.179347826086956
Kota Depok,-6.4025,106.7942,2019-01-10,31.5,23.8,26.8,9.6,9.6,10.0,9.0,19.11,3.95,97,66,7.699999999999999,81.5,2.4303797468354427
Kota Depok,-6.4025,106.7942,2019-01-11,32.5,24.4,27.7,8.3,8.3,11.0,9.6,20.71,4.35,98,66,8.100000000000001,82.0,1.9080459770114946
Kota Depok,-6.4025,106.7942,2019-01-12,32.7,24.5,27.6,10.3,10.3,14.0,8.8,18.46,3.91,96,67,8.200000000000003,81.5,2.634271099744246
Kota Depok,-6.4025,106.7942,2019-01-13,31.0,24.6,26.6,20.2,20.2,13.0,7.7,15.08,3.17,98,73,6.399999999999999,85.5,6.37223974763407
Kota Depok,-6.4025,106.7942,2019-01-14,30.0,24.1,26.3,10.6,10.6,17.0,8.2,11.93,2.53,97,72,5.899999999999999,84.5,4.189723320158103
Kota Depok,-6.4025,106.7942,2019-01-15,31.8,24.3,27.0,11.4,11.4,11.0,10.6,14.58,3.19,97,69,7.5,83.0,3.573667711598746
Kota Depok,-6.4025,106.7942,2019-01-16,29.3,25.4,26.7,7.4,7.4,9.0,10.1,13.12,2.81,93,73,3.900000000000002,83.0,2.6334519572953736
Kota Depok,-6.4025,106.7942,2019-01-17,30.4,24.6,27.1,9.2,9.2,16.0,13.0,15.94,3.44,95,69,5.799999999999997,82.0,2.6744186046511627
Kota Depok,-6.4025,106.7942,2019-01-18,30.4,25.7,27.3,8.4,8.4,5.0,10.9,12.21,2.77,92,71,4.699999999999999,81.5,3.032490974729242
Kota Depok,-6.4025,106.7942,2019-01-19,29.5,24.9,26.7,1.8,1.8,5.0,8.3,13.31,2.8,94,72,4.600000000000001,83.0,0.6428571428571429
Kota Depok,-6.4025,106.7942,2019-01-20,30.9,24.2,27.2,7.5,7.5,12.0,10.6,17.05,3.59,96,70,6.699999999999999,83.0,2.0891364902506964
Kota Depok,-6.4025,106.7942,2019-01-21,30.7,24.4,26.3,20.5,20.5,13.0,8.7,16.06,3.31,97,70,6.300000000000001,83.5,6.193353474320242
Kota Depok,-6.4025,106.7942,2019-01-22,28.0,23.7,25.4,13.5,13.5,20.0,6.5,9.23,1.98,99,80,4.300000000000001,89.5,6.818181818181818
Kota Depok,-6.4025,106.7942,2019-01-23,29.8,23.6,26.4,3.7,3.7,13.0,10.0,13.4,2.91,99,69,6.199999999999999,84.0,1.2714776632302405
Kota Depok,-6.4025,106.7942,2019-01-24,31.4,24.5,27.0,3.7,3.7,9.0,13.0,21.31,4.37,96,66,6.899999999999999,81.0,0.8466819221967964
Kota Depok,-6.4025,106.7942,2019-01-25,29.0,23.9,25.8,8.9,8.9,16.0,7.4,11.36,2.39,97,75,5.100000000000001,86.0,3.723849372384937
Kota Depok,-6.4025,106.7942,2019-01-26,30.9,23.4,26.9,3.8,3.8,13.0,11.8,20.83,4.26,98,69,7.5,83.5,0.892018779342723
Kota Depok,-6.4025,106.7942,2019-01-27,28.9,24.4,26.5,3.9,3.9,13.0,10.5,11.91,2.57,95,74,4.5,84.5,1.5175097276264593
Kota Depok,-6.4025,106.7942,2019-01-28,29.7,23.9,26.6,5.7,5.7,17.0,12.7,20.56,4.12,97,73,5.800000000000001,85.0,1.383495145631068
