nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Sukabumi,-6.92,106.93,2019-01-01,26.6,20.2,22.3,3.2,3.2,6.0,8.8,8.91,1.91,98,75,6.400000000000002,86.5,1.6753926701570683
Kota Sukabumi,-6.92,106.93,2019-01-02,28.7,21.2,23.4,8.6,8.6,11.0,10.9,19.77,3.79,95,67,7.5,81.0,2.2691292875989446
Kota Sukabumi,-6.92,106.93,2019-01-03,28.3,21.1,23.6,3.4,3.4,11.0,12.9,17.34,3.46,97,69,7.199999999999999,83.0,0.9826589595375722
Kota Sukabumi,-6.92,106.93,2019-01-04,29.7,20.5,24.5,0.0,0.0,0.0,9.1,25.7,5.14,95,52,9.2,73.5,0.0
Kota Sukabumi,-6.92,106.93,2019-01-05,28.3,20.9,24.2,1.6,1.6,7.0,5.4,22.27,4.4,94,62,7.400000000000002,78.0,0.36363636363636365
Kota Sukabumi,-6.92,106.93,2019-01-06,28.8,21.7,24.8,5.6,5.6,10.0,7.3,20.82,4.15,96,64,7.100000000000001,80.0,1.3493975903614457
Kota Sukabumi,-6.92,106.93,2019-01-07,30.4,22.2,25.2,4.0,4.0,11.0,6.5,20.35,4.18,97,63,8.2,80.0,0.9569377990430623
Kota Sukabumi,-6.92,106.93,2019-01-08,28.2,22.1,24.3,6.9,6.9,11.0,7.9,19.68,3.93,97,69,6.099999999999998,83.0,1.7557251908396947
Kota Sukabumi,-6.92,106.93,2019-01-09,27.5,21.8,24.0,21.6,21.6,11.0,3.7,18.26,3.65,97,74,5.699999999999999,85.5,5.917808219178083
Kota Sukabumi,-6.92,106.93,2019-01-10,28.1,21.0,23.7,11.1,11.1,7.0,3.3,18.9,3.77,98,65,7.100000000000001,81.5,2.9442970822281165
Kota Sukabumi,-6.92,106.93,2019-01-11,29.5,21.6,24.5,12.0,12.0,5.0,3.3,19.03,3.89,98,69,7.899999999999999,83.5,3.0848329048843186
Kota Sukabumi,-6.92,106.93,2019-01-12,29.8,21.7,24.5,7.8,7.8,7.0,3.6,20.0,4.08,98,68,8.100000000000001,83.0,1.9117647058823528
Kota Sukabumi,-6.92,106.93,2019-01-13,27.7,21.8,23.5,10.9,10.9,17.0,8.0,14.19,2.82,99,80,5.899999999999999,89.5,3.8652482269503547
Kota Sukabumi,-6.92,106.93,2019-01-14,28.3,21.2,23.8,10.5,10.5,10.0,4.0,14.49,2.94,99,67,7.100000000000001,83.0,3.5714285714285716
Kota Sukabumi,-6.92,106.93,2019-01-15,29.7,21.6,24.0,10.0,10.0,11.0,7.7,15.62,3.22,97,65,8.099999999999998,81.0,3.105590062111801
Kota Sukabumi,-6.92,106.93,2019-01-16,25.8,22.0,23.7,12.5,12.5,8.0,10.5,14.99,2.89,97,79,3.8000000000000007,88.0,4.325259515570934
Kota Sukabumi,-6.92,106.93,2019-01-17,26.5,21.9,23.8,7.7,7.7,17.0,11.2,13.41,2.66,97,77,4.600000000000001,87.0,2.8947368421052633
Kota Sukabumi,-6.92,106.93,2019-01-18,27.4,22.5,24.2,6.1,6.1,8.0,9.3,14.08,2.87,95,75,4.899999999999999,85.0,2.1254355400696863
Kota Sukabumi,-6.92,106.93,2019-01-19,26.2,21.6,23.7,5.5,5.5,9.0,10.0,16.23,3.14,97,75,4.599999999999998,86.0,1.751592356687898
Kota Sukabumi,-6.92,106.93,2019-01-20,27.8,21.2,24.1,17.6,17.6,10.0,6.6,15.53,3.14,97,70,6.600000000000001,83.5,5.605095541401274
Kota Sukabumi,-6.92,106.93,2019-01-21,27.9,21.6,23.4,19.6,19.6,14.0,9.8,16.97,3.33,98,73,6.299999999999997,85.5,5.8858858858858865
Kota Sukabumi,-6.92,106.93,2019-01-22,26.1,21.3,22.9,10.6,10.6,20.0,7.6,8.83,1.87,99,78,4.800000000000001,88.5,5.668449197860962
Kota Sukabumi,-6.92,106.93,2019-01-23,27.1,20.9,23.5,2.7,2.7,9.0,8.6,11.79,2.49,99,69,6.200000000000003,84.0,1.0843373493975903
Kota Sukabumi,-6.92,106.93,2019-01-24,28.6,21.8,23.9,5.5,5.5,9.0,9.8,19.48,3.86,96,66,6.800000000000001,81.0,1.4248704663212435
Kota Sukabumi,-6.92,106.93,2019-01-25,25.9,20.5,22.7,10.1,10.1,17.0,7.5,9.43,1.93,99,75,5.399999999999999,87.0,5.233160621761658
Kota Sukabumi,-6.92,106.93,2019-01-26,28.7,21.1,24.3,0.6,0.6,4.0,11.6,23.09,4.55,98,63,7.599999999999998,80.5,0.13186813186813187
Kota Sukabumi,-6.92,106.93,2019-01-27,26.0,22.4,23.9,0.7,0.7,4.0,10.8,12.72,2.59,95,74,3.6000000000000014,84.5,0.2702702702702703
Kota Sukabumi,-6.92,106.93,2019-01-28,27.4,21.6,24.1,2.1,2.1,7.0,13.1,21.45,4.17,96,67,5.799999999999997,81.5,0.5035971223021583
Kota Sukabumi,-6.92,106.93,2019-01-29,28.5,21.5,24.6,1.9,1.9,5.0,11.9,20.36,4.04,96,66,7.0,81.0,0.47029702970297027
Kota Sukabumi,-6.92,106.93,2019-01-30,27.6,21.7,23.8,10.4,10.4,10.0,7.8,16.45,3.29,94,73,5.900000000000002,83.5,3.161094224924012
Kota Sukabumi,-6.92,106.93,2019-01-31,27.7,21.3,23.6,4.9,4.9,7.0,9.0,17.79,3.52,98,64,6.399999999999999,81.0,1.3920454545454546
Kota Sukabumi,-6.92,106.93,2019-02-01,27.7,20.7,23.2,18.7,18.7,8.0,9.5,17.93,3.56,97,65,7.0,81.0,5.252808988764045
Kota Sukabumi,-6.92,106.93,2019-02-02,29.4,20.9,24.5,9.0,9.0,5.0,7.0,20.96,4.25,97,63,8.5,80.0,2.1176470588235294
