nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kota Tasikmalaya,-7.3274,108.2207,2019-01-01,29.9,22.0,25.1,15.5,15.5,9.0,4.7,13.5,2.87,98,65,7.899999999999999,81.5,5.400696864111498
Kota Tasikmalaya,-7.3274,108.2207,2019-01-02,30.8,23.1,25.6,26.5,26.5,11.0,5.1,16.8,3.54,98,64,7.699999999999999,81.0,7.4858757062146895
Kota Tasikmalaya,-7.3274,108.2207,2019-01-03,31.3,22.3,25.6,17.7,17.7,10.0,6.9,13.58,2.97,99,64,9.0,81.5,5.959595959595959
Kota Tasikmalaya,-7.3274,108.2207,2019-01-04,30.6,22.0,25.8,5.1,5.1,7.0,5.1,22.14,4.6,98,61,8.600000000000001,79.5,1.108695652173913
Kota Tasikmalaya,-7.3274,108.2207,2019-01-05,30.5,22.9,26.0,11.2,11.2,9.0,5.5,18.96,3.9,96,68,7.600000000000001,82.0,2.871794871794872
Kota Tasikmalaya,-7.3274,108.2207,2019-01-06,30.7,23.3,26.6,5.0,5.0,10.0,8.6,16.47,3.48,96,69,7.399999999999999,82.5,1.4367816091954022
Kota Tasikmalaya,-7.3274,108.2207,2019-01-07,32.2,24.2,26.7,7.5,7.5,13.0,5.7,17.86,3.87,95,61,8.000000000000004,78.0,1.937984496124031
Kota Tasikmalaya,-7.3274,108.2207,2019-01-08,30.4,23.0,25.9,5.7,5.7,8.0,8.6,20.0,4.01,97,76,7.399999999999999,86.5,1.4214463840399003
Kota Tasikmalaya,-7.3274,108.2207,2019-01-09,31.2,23.3,26.1,6.7,6.7,8.0,6.1,20.62,4.27,97,65,7.899999999999999,81.0,1.5690866510538644
Kota Tasikmalaya,-7.3274,108.2207,2019-01-10,31.1,22.9,26.2,15.4,15.4,7.0,5.8,18.95,3.97,97,68,8.200000000000003,82.5,3.879093198992443
Kota Tasikmalaya,-7.3274,108.2207,2019-01-11,31.4,23.1,26.5,7.9,7.9,8.0,4.7,19.2,4.03,98,72,8.299999999999997,85.0,1.9602977667493797
Kota Tasikmalaya,-7.3274,108.2207,2019-01-12,32.4,24.3,27.0,5.4,5.4,13.0,5.2,19.1,4.03,97,65,8.099999999999998,81.0,1.3399503722084367
Kota Tasikmalaya,-7.3274,108.2207,2019-01-13,29.3,23.7,25.5,24.4,24.4,16.0,6.3,11.66,2.48,99,78,5.600000000000001,88.5,9.838709677419354
Kota Tasikmalaya,-7.3274,108.2207,2019-01-14,30.5,23.3,26.1,17.4,17.4,13.0,4.6,16.31,3.45,99,65,7.199999999999999,82.0,5.0434782608695645
Kota Tasikmalaya,-7.3274,108.2207,2019-01-15,31.6,23.4,26.2,12.7,12.7,6.0,7.1,16.86,3.6,96,65,8.200000000000003,80.5,3.5277777777777777
Kota Tasikmalaya,-7.3274,108.2207,2019-01-16,30.1,24.1,26.0,14.1,14.1,8.0,3.7,15.1,3.18,99,73,6.0,86.0,4.433962264150943
Kota Tasikmalaya,-7.3274,108.2207,2019-01-17,29.3,24.2,26.0,21.4,21.4,15.0,5.7,12.03,2.56,99,75,5.100000000000001,87.0,8.359375
Kota Tasikmalaya,-7.3274,108.2207,2019-01-18,29.6,23.5,26.0,18.0,18.0,10.0,5.1,13.94,2.98,97,73,6.100000000000001,85.0,6.040268456375839
Kota Tasikmalaya,-7.3274,108.2207,2019-01-19,28.7,23.1,25.5,25.0,25.0,7.0,5.4,13.29,2.79,99,73,5.599999999999998,86.0,8.960573476702509
Kota Tasikmalaya,-7.3274,108.2207,2019-01-20,29.3,23.0,25.7,27.7,27.7,10.0,5.9,14.92,3.1,96,73,6.300000000000001,84.5,8.935483870967742
Kota Tasikmalaya,-7.3274,108.2207,2019-01-21,30.3,23.3,25.2,32.3,32.3,13.0,5.1,16.14,3.39,99,76,7.0,87.5,9.528023598820058
Kota Tasikmalaya,-7.3274,108.2207,2019-01-22,28.9,23.4,25.2,11.1,11.1,16.0,6.9,9.28,2.09,99,69,5.5,84.0,5.311004784688995
Kota Tasikmalaya,-7.3274,108.2207,2019-01-23,28.6,23.1,25.2,2.7,2.7,7.0,6.4,8.41,1.95,98,71,5.5,84.5,1.3846153846153848
Kota Tasikmalaya,-7.3274,108.2207,2019-01-24,31.2,22.7,25.5,26.3,26.3,10.0,5.7,17.58,3.65,99,65,8.5,82.0,7.205479452054795
Kota Tasikmalaya,-7.3274,108.2207,2019-01-25,27.3,22.2,25.0,12.5,12.5,16.0,5.2,11.78,2.47,100,78,5.100000000000001,89.0,5.060728744939271
Kota Tasikmalaya,-7.3274,108.2207,2019-01-26,30.8,23.5,26.5,2.1,2.1,10.0,6.1,21.85,4.54,96,66,7.300000000000001,81.0,0.4625550660792952
Kota Tasikmalaya,-7.3274,108.2207,2019-01-27,28.9,23.5,25.7,4.4,4.4,5.0,7.2,14.48,3.03,98,74,5.399999999999999,86.0,1.4521452145214524
Kota Tasikmalaya,-7.3274,108.2207,2019-01-28,29.4,22.9,25.7,14.0,14.0,7.0,7.1,20.11,4.13,97,67,6.5,82.0,3.3898305084745766
Kota Tasikmalaya,-7.3274,108.2207,2019-01-29,30.6,23.0,26.1,0.4,0.4,3.0,9.1,16.79,3.49,99,67,7.600000000000001,83.0,0.1146131805157593
Kota Tasikmalaya,-7.3274,108.2207,2019-01-30,30.3,22.3,25.6,14.4,14.4,8.0,5.6,16.47,3.46,97,69,8.0,83.0,4.1618497109826595
Kota Tasikmalaya,-7.3274,108.2207,2019-01-31,28.8,22.8,25.0,17.4,17.4,8.0,4.1,11.97,2.53,98,74,6.0,86.0,6.877470355731226
Kota Tasikmalaya,-7.3274,108.2207,2019-02-01,30.6,22.3,25.0,23.8,23.8,11.0,4.7,14.77,3.12,98,65,8.3,81.5,7.628205128205128
Kota Tasikmalaya,-7.3274,108.2207,2019-02-02,31.3,22.2,25.9,11.1,11.1,9.0,6.5,17.57,3.7,97,67,9.100000000000001,82.0,2.9999999999999996
Kota Tasikmalaya,-7.3274,108.2207,2019-02-03,30.4,23.7,25.8,10.6,10.6,8.0,5.1,16.36,3.4,97,67,6.699999999999999,82.0,3.1176470588235294
Kota Tasikmalaya,-7.3274,108.2207,2019-02-04,30.4,22.8,25.4,16.6,16.6,9.0,4.3,18.43,3.84,97,68,7.599999999999998,82.5,4.322916666666667
Kota Tasikmalaya,-7.3274,108.2207,2019-02-05,30.7,22.4,25.5,17.9,17.9,9.0,4.3,19.85,4.15,97,65,8.3,81.0,4.313253012048192
Kota Tasikmalaya,-7.3274,108.2207,2019-02-06,30.9,22.6,25.5,9.5,9.5,9.0,6.6,18.12,3.81,99,66,8.299999999999997,82.5,2.493438320209974
Kota Tasikmalaya,-7.3274,108.2207,2019-02-07,32.0,22.7,26.0,3.3,3.3,7.0,5.5,19.27,4.05,99,64,9.3,81.5,0.8148148148148148
Kota Tasikmalaya,-7.3274,108.2207,2019-02-08,29.9,23.7,25.9,14.3,14.3,14.0,6.4,14.46,3.07,97,71,6.199999999999999,84.0,4.657980456026059
Kota Tasikmalaya,-7.3274,108.2207,2019-02-09,29.7,24.0,26.2,12.3,12.3,18.0,4.4,13.91,2.98,97,70,5.699999999999999,83.5,4.12751677852349
Kota Tasikmalaya,-7.3274,108.2207,2019-02-10,30.0,23.4,25.9,15.4,15.4,17.0,5.3,13.72,2.95,96,71,6.600000000000001,83.5,5.220338983050847
Kota Tasikmalaya,-7.3274,108.2207,2019-02-11,30.7,23.1,25.7,8.2,8.2,8.0,6.8,15.65,3.3,97,70,7.599999999999998,83.5,2.484848484848485
Kota Tasikmalaya,-7.3274,108.2207,2019-02-12,30.1,23.0,25.5,9.7,9.7,13.0,6.1,14.34,3.02,98,70,7.100000000000001,84.0,3.2119205298013243
Kota Tasikmalaya,-7.3274,108.2207,2019-02-13,31.3,23.0,26.0,3.4,3.4,5.0,6.9,17.65,3.72,98,62,8.3,80.0,0.9139784946236559
